MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err
53972.65	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53972.700000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53972.75000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53972.80000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53972.85000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53972.900000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53972.95000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.00000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.050000000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.10000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.15000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.20000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.25000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.30000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.35000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.400000000045	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.45000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.50000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.550000000054	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.60000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53973.65000000006	nan	nan	4.461032776317462e-19	4.9073193027194646e-20	nan	nan	nan	nan	nan	nan	nan	nan
53973.70000000006	nan	nan	2.71534836613024e-18	3.158335304829755e-19	nan	nan	nan	nan	nan	nan	nan	nan
53973.750000000065	nan	nan	4.999220895511386e-18	6.086983262091531e-19	nan	nan	nan	nan	nan	nan	nan	nan
53973.80000000007	nan	nan	7.3013677648016e-18	8.856455014676914e-19	nan	nan	nan	nan	nan	nan	nan	nan
53973.85000000007	nan	nan	9.625436087753821e-18	1.1462462996691584e-18	nan	nan	nan	nan	nan	nan	nan	nan
53973.900000000074	nan	nan	1.1975073236080258e-17	1.3908691930912217e-18	nan	nan	nan	nan	nan	nan	nan	nan
53973.95000000008	nan	nan	1.4353926882358495e-17	1.6200715592560702e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.00000000008	nan	nan	1.6765645042728556e-17	1.8345148352924656e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.05000000008	nan	nan	1.921387611989047e-17	2.03494587014993e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.100000000086	nan	nan	2.17022689458928e-17	2.222192785453786e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.15000000009	nan	nan	2.423447282528699e-17	2.397164769932e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.20000000009	nan	nan	2.681413757756312e-17	2.5608526908680847e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.250000000095	nan	nan	2.944491358035652e-17	2.7143292304656075e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.3000000001	nan	nan	3.213045181240616e-17	2.8587477712246465e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.3500000001	nan	nan	3.487440389604262e-17	2.9953394122966144e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.4000000001	nan	nan	3.768042214081285e-17	3.1254075541153244e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.450000000106	nan	nan	4.0552159585641516e-17	3.250319532438893e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.50000000011	nan	nan	4.349327004215522e-17	3.371494862509997e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.55000000011	nan	nan	4.650740813761473e-17	3.490389791012621e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.600000000115	nan	nan	4.9598229357651253e-17	3.60847806256676e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.65000000012	nan	nan	5.276939008948609e-17	3.727228088670031e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.70000000012	nan	nan	5.602386158749479e-17	3.847815213229686e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.750000000124	nan	nan	5.936187177556875e-17	3.970318464879461e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.80000000013	nan	nan	6.278296348198947e-17	4.094517018144609e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.85000000013	nan	nan	6.628668051192323e-17	4.2201695710367785e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.90000000013	nan	nan	6.9872567640771e-17	4.3470281448116604e-18	nan	nan	nan	nan	nan	nan	nan	nan
53974.950000000135	nan	nan	7.354017060983076e-17	4.4748487245782986e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.00000000014	nan	nan	7.728903612002619e-17	4.6033992753286655e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.05000000014	nan	nan	8.111871182674593e-17	4.732465600241047e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.100000000144	nan	nan	8.502874633444769e-17	4.861855440372825e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.15000000015	nan	nan	8.901868919092252e-17	4.991401150485338e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.20000000015	nan	nan	9.308809088229099e-17	5.120961227886174e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.25000000015	nan	nan	9.723650282708453e-17	5.2504209183374095e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.300000000156	nan	nan	1.0146347737126764e-16	5.379692078619292e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.35000000016	nan	nan	1.0576856778259376e-16	5.50871243762873e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.40000000016	nan	nan	1.1015132824501326e-16	5.637444366747537e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.450000000164	nan	nan	1.1461131385368266e-16	5.765873245129051e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.50000000017	nan	nan	1.191480806093596e-16	5.8940054862495635e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.55000000017	nan	nan	1.2376118541295458e-16	6.021866276098454e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.60000000017	nan	nan	1.2845018606037037e-16	6.1494970626779535e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.650000000176	nan	nan	1.3321464123681856e-16	6.2769528273177335e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.70000000018	nan	nan	1.380539605761541e-16	6.404239864778146e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.75000000018	nan	nan	1.4296695484611766e-16	6.5311359823794335e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.800000000185	nan	nan	1.4795228574182315e-16	6.657369768246174e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.85000000019	nan	nan	1.5300861580523144e-16	6.782681938570528e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.90000000019	nan	nan	1.5813460840921078e-16	6.90682688225445e-18	nan	nan	nan	nan	nan	nan	nan	nan
53975.95000000019	nan	nan	1.6332892774188475e-16	7.029573783673123e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.0000000002	nan	nan	1.685902387902614e-16	7.150707395651772e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.0500000002	nan	nan	1.7391720732477734e-16	7.270028524197937e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.1000000002	nan	nan	1.7930849988337113e-16	7.387354276776835e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.150000000205	nan	nan	1.8476278375523016e-16	7.50251811703724e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.20000000021	nan	nan	1.9027872696519093e-16	7.615369761305458e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.25000000021	nan	nan	1.9585499825776017e-16	7.725774945386666e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.300000000214	nan	nan	2.0149026708147588e-16	7.833615084660975e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.35000000022	nan	nan	2.0718320357273259e-16	7.938786845316551e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.40000000022	nan	nan	2.1293247854007698e-16	8.041201640457683e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.45000000022	nan	nan	2.1873676344833374e-16	8.140785061508912e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.500000000226	nan	nan	2.2459473040274426e-16	8.237476252217738e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.55000000023	nan	nan	2.305050521331841e-16	8.331227230094658e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.60000000023	nan	nan	2.3646640197824935e-16	8.422002158401923e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.650000000234	nan	nan	2.424774538697092e-16	8.509776569620733e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.70000000024	nan	nan	2.485367976143924e-16	8.594512122349966e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.75000000024	nan	nan	2.5464268477364666e-16	8.676082784507873e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.80000000024	nan	nan	2.607932827465912e-16	8.754348393938969e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.850000000246	nan	nan	2.6698675944994925e-16	8.829179600828051e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.90000000025	nan	nan	2.732212832965426e-16	8.900458303207977e-18	nan	nan	nan	nan	nan	nan	nan	nan
53976.95000000025	nan	nan	2.794950231732114e-16	8.968078007826857e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.000000000255	nan	nan	2.8580614841919153e-16	9.03194412877884e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.05000000026	nan	nan	2.9215282880430845e-16	9.091974234905995e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.10000000026	nan	nan	2.9853323450709323e-16	9.148098255037182e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.15000000026	nan	nan	3.049455360931987e-16	9.200258648630716e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.200000000266	nan	nan	3.1138790449356747e-16	9.248410548602743e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.25000000027	nan	nan	3.1785851098257416e-16	9.292521881110376e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.30000000027	nan	nan	3.243555271563629e-16	9.33257346685715e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.350000000275	nan	nan	3.308771249111593e-16	9.368559106835836e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.40000000028	nan	nan	3.374214764211642e-16	9.400485654745636e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.45000000028	nan	nan	3.439867541174532e-16	9.428373077593701e-18	nan	nan	nan	nan	nan	nan	nan	nan
53977.500000000284	nan	nan	3.5057113066555705e-16	9.452254504929116e-18	nan	nan	nan	nan	nan	nan	nan	nan
