MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56340.26829998315	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.318299983155	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.36829998316	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.41829998316	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.468299983164	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.51829998317	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.56829998317	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.61829998317	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.668299983176	nan	nan	nan	nan	nan	nan	2.052841905738272e-15	9.62287759298204e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.71829998318	nan	nan	nan	nan	1.1430152284251347e-15	6.181504673360264e-17	2.0921698576863296e-15	9.428756568664506e-17	2.437781063747174e-15	5.2303812570985795e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.76829998318	nan	nan	nan	nan	1.1689872653190424e-15	6.018169359831461e-17	2.1317637082621985e-15	9.244622273439892e-17	2.503270123289699e-15	5.008544382770238e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.818299983184	nan	nan	7.518448309863532e-16	3.2189118165087006e-17	1.1950835510856908e-15	5.865228581259282e-17	2.171616570196825e-15	9.070581221588721e-17	2.56918290439222e-15	4.8118256918753917e-17	nan	nan	1.4773716759497044e-15	3.8851355384767524e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.86829998319	nan	nan	7.624735666715246e-16	3.1663912381343226e-17	1.221298602325123e-15	5.722770036214237e-17	2.211721563066971e-15	8.906723626952019e-17	2.6354865157633625e-15	4.6405567115783806e-17	nan	nan	1.5101336939809892e-15	3.788496799741683e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.91829998319	nan	nan	7.731701237036933e-16	3.1159423066487613e-17	1.2476269372777563e-15	5.590855343383887e-17	2.2520709176316646e-15	8.753090052392376e-17	2.702148056074018e-15	4.4948919639746705e-17	nan	nan	1.5429117721111252e-15	3.6981231592554724e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56340.96829998319	nan	nan	7.839330503199596e-16	3.067588488153729e-17	1.274062706885103e-15	5.469489385023041e-17	2.2926540978143843e-15	8.609604822821926e-17	2.7691318550286776e-15	4.374533564691927e-17	nan	nan	1.5757015875334048e-15	3.614089311716578e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.018299983196	nan	nan	7.947608935307316e-16	3.021351529472121e-17	1.3005983695129744e-15	5.358523258445048e-17	2.333460038905941e-15	8.476151714786516e-17	2.8363967338469972e-15	4.278480383853982e-17	8.357150759003085e-16	2.0678753193945482e-17	1.6084988006816676e-15	3.536455222130025e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.0682999832	nan	nan	8.056518919062618e-16	2.977242922842284e-17	1.3272258988638918e-15	5.2577376537716357e-17	2.3744776823641545e-15	8.352591799381766e-17	2.9039008705420137e-15	4.205445929782243e-17	8.546840298811678e-16	2.0018027726033924e-17	1.64129835933571e-15	3.4652334298895284e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.1182999832	nan	nan	8.166037122195948e-16	2.935256609528781e-17	1.3539372698486225e-15	5.166877112166414e-17	2.4156958228055907e-15	8.238755089663195e-17	2.9716024496653723e-15	4.153951341089404e-17	8.736812993866155e-16	1.9402715356322662e-17	1.674094250310976e-15	3.400376106877221e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.168299983205	nan	nan	8.276139608643414e-16	2.895382611505418e-17	1.3807244515713323e-15	5.085649913379864e-17	2.4571020487690998e-15	8.134384650253888e-17	3.039459793410031e-15	4.122344735154817e-17	8.92705252468094e-16	1.8833095789744383e-17	1.7068803932121607e-15	3.3418118630065645e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.21829998321	nan	nan	8.386802458032428e-16	2.857608619291835e-17	1.4075790811725645e-15	5.013681663451957e-17	2.498683376490874e-15	8.039171487057216e-17	3.1074324857566253e-15	4.108585239994542e-17	9.11754257207788e-16	1.8309341009377952e-17	1.7396507073295233e-15	3.289447719919767e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.26829998321	nan	nan	8.498001751867196e-16	2.8219198684031453e-17	1.4344923235152353e-15	4.950498269760204e-17	2.540426823360463e-15	7.952787036548732e-17	3.1754808087820196e-15	4.110462962855058e-17	9.308266817290768e-16	1.783149141564309e-17	1.7723991064978535e-15	3.2431680513178736e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.31829998321	nan	nan	8.609712122770911e-16	2.788293298524491e-17	1.4614553081641776e-15	4.895596417370911e-17	2.582319410962633e-15	7.874885726508481e-17	3.2435650534656155e-15	4.12585178505218e-17	9.49920894162103e-16	1.7399431346893662e-17	1.8051192990206854e-15	3.2028132344564773e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.368299983216	nan	nan	8.721905436913326e-16	2.7566923153370908e-17	1.4884591653224468e-15	4.8484554906881614e-17	2.6243480072839485e-15	7.805090714557862e-17	3.311645511149776e-15	4.152776532167723e-17	9.690352391825444e-16	1.701268991610948e-17	1.8378047288392728e-15	3.1681744239585115e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
