spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_i_fitflux	sdss_i_fitfluxerr	sdss_i_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-02-24_16-57-25_FTS_FLOYDS-S_None.txt	56347.21	9.006322966550294e-15	8.276486543365544e-17	True	1.8514552418679133e-15	2.9015450605715606e-17	True	3.318256278556045e-15	4.6251609412766956e-17	True	5.580615735900213e-15	6.73258635253881e-17	True	7.340230804003243e-15	7.818617630521239e-17	True	2.6099193301222282e-15	2.4658805153059664e-17	True	4.21675449719475e-15	4.0230234359538693e-17	True	8.214763124622313e-15	2.008289096426559e-16	True	1.4384610248834678e-14	4.3821799204697396e-16	True	1.9104103138333e-14	7.454334615095658e-16	True	1.7796036063655273e-14	4.651247684011034e-16	True	1.643400397664539e-14	6.294424352849072e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-02-28_14-04-19_FTN_FLOYDS-N_None.txt	56351.09	8.23453501851348e-15	7.24665065597886e-17	True	1.8380551720103925e-15	2.6462617293281693e-17	True	3.2231227847594555e-15	3.759310033213517e-17	True	4.981566311126777e-15	5.156567071011572e-17	True	6.664683966813682e-15	7.047507401382976e-17	True	2.452233335636765e-15	2.2842402631316973e-17	True	4.1261952342157965e-15	3.722492784749909e-17	True	7.535831339605888e-15	1.6473426420271553e-16	True	1.1202449055736686e-14	3.925528533582436e-16	True	7.271449515220839e-15	5.6691165004029785e-16	True	9.547347743595928e-15	3.677205973731954e-16	True	7.458056469971727e-15	5.495744025591524e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-03-01_12-04-07_FTN_FLOYDS-N_None.txt	56352.5	7.798402305597316e-15	7.548579694726641e-17	True	1.7896185597439878e-15	3.041587224877636e-17	True	3.1552390567767646e-15	5.461015994846727e-17	True	4.7473459210285674e-15	4.93886776868616e-17	True	6.41369211621971e-15	6.835997430145455e-17	True	2.3476942434522665e-15	2.1987986574178318e-17	True	4.0121482161587695e-15	3.555571584035852e-17	True	7.264489669144064e-15	1.6246963061207476e-16	True	9.875501810699885e-15	3.7117944892303876e-16	True	4.9700017535152245e-15	5.900360367545752e-16	True	7.103815648096214e-15	3.187106830223163e-16	True	5.137891011531555e-15	6.112435671169223e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-03-02_12-12-05_FTN_FLOYDS-N_None.txt	56353.51	7.532755461939531e-15	7.767156927602213e-17	True	1.7585506630779767e-15	3.3020168358552655e-17	True	3.1186904630364602e-15	6.704318121326332e-17	True	4.681801302548822e-15	4.865949462662362e-17	True	6.307203914261376e-15	6.686539372161043e-17	True	2.293022501341729e-15	2.1409752027626547e-17	True	3.960320325570239e-15	3.496157874561394e-17	True	7.063246001038527e-15	1.627086689006297e-16	True	9.011927247653884e-15	3.2649471735172555e-16	True	3.788118192155725e-15	2.4364531918461525e-16	True	5.689297977130541e-15	2.7333217133213886e-16	True	3.787617549527844e-15	2.7868897460826763e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-03-03_12-13-02_FTN_FLOYDS-N_None.txt	56354.51	7.28931844164836e-15	7.506615646513919e-17	True	1.73338964466062e-15	3.3038332125079724e-17	True	3.0928276829714712e-15	6.49097109093015e-17	True	4.657092685309409e-15	4.861000931102493e-17	True	6.224271751147395e-15	6.633489983074872e-17	True	2.2643793843609316e-15	2.1530484718812546e-17	True	3.936827890768869e-15	3.545235590648902e-17	True	6.859076341328708e-15	1.640698670851721e-16	True	8.282210293297131e-15	3.3547640064864437e-16	True	2.8933311441861584e-15	5.247393332383987e-16	True	4.62058664206915e-15	2.6373136345319887e-16	True	2.8667420169214567e-15	5.57036126969588e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-03-04_14-05-07_FTN_FLOYDS-N_None.txt	56355.09	7.185174472159095e-15	7.254139509489301e-17	True	1.722179170219531e-15	3.190842888875145e-17	True	3.0825139686097377e-15	5.780571501017977e-17	True	4.6366395129469166e-15	4.821229890482525e-17	True	6.164857355148807e-15	6.566286736149981e-17	True	2.258769314067243e-15	2.214001532225018e-17	True	3.934421679879305e-15	3.65040549439152e-17	True	6.738577117242085e-15	1.651715206860145e-16	True	7.904183021908061e-15	3.352726312940302e-16	True	2.4744466931060377e-15	6.180149939488143e-16	True	4.130540672764624e-15	2.5208641231757574e-16	True	2.496479604260711e-15	6.468862414279163e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-03-06_17-04-21_FTS_FLOYDS-S_None.txt	56357.21	6.8223374367793294e-15	7.125408258364275e-17	True	1.7077353742207171e-15	2.7367848131284945e-17	True	3.073299568784849e-15	4.274428322923425e-17	True	4.604750830775867e-15	5.739258449231418e-17	True	5.917679371887743e-15	7.456478205352917e-17	True	2.269434976431946e-15	2.908749086080624e-17	True	3.953125046647982e-15	4.5473801165442304e-17	True	6.286287208942056e-15	1.6977501823623092e-16	True	6.589551115851868e-15	3.592759802173772e-16	True	1.3876192656974002e-15	4.960297615591606e-16	True	2.822961721122295e-15	2.4692629589395027e-16	True	1.6699871045201352e-15	5.130010176601402e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-03-17_22-54-16_HCT-2m_HFOSC_None.txt	56368.45	4.546167888301784e-15	1.3157154328841954e-16	True	1.704499427008767e-15	3.530742270609556e-17	True	2.9292351358520423e-15	6.621457387608585e-17	True	3.846564813697792e-15	8.018573448860565e-17	True	4.440797483644211e-15	1.6600216092019458e-16	True	2.1130760218945074e-15	4.7405675005089896e-17	True	3.5096093622606347e-15	7.0472776992666e-17	True	3.960644649108814e-15	1.2687875627711897e-16	True	1.4994825969552832e-15	1.2400223019313214e-16	True	1.0198000013084498e-16	5.393146896947945e-15	False	4.926303966408575e-16	7.744942413543984e-17	True	1.3482610363756126e-16	1.9550189721658244e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-03-19_15-09-01_FTS_FLOYDS-S_None.txt	56370.13	4.239598894417845e-15	9.969848307301176e-17	True	1.67470694870011e-15	3.274308339067073e-17	True	2.843599506648509e-15	5.589735214912117e-17	True	3.72617500103062e-15	6.418263016728826e-17	True	4.253801625818366e-15	1.2295221716392553e-16	True	2.0853472829611483e-15	4.0755688021761886e-17	True	3.4551971037489853e-15	6.319180088311453e-17	True	3.684673095144977e-15	1.2123939443162292e-16	True	1.2879338400597439e-15	1.9703255677223512e-16	True	6.360567053654923e-17	7.868268565267038e-15	False	4.337504773121422e-16	1.426179038124411e-16	True	1.6505248549062737e-16	5.682766563303516e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ab/SN2013ab_2013-03-31_14-01-27_FTS_FLOYDS-S_None.txt	56382.08	2.9255484878522815e-15	5.337487268348445e-17	True	1.5691992004919704e-15	2.853250451496495e-17	True	2.5109197049719665e-15	4.2607670623548056e-17	True	3.1673634127350636e-15	4.048054662237025e-17	True	3.3715144816712628e-15	1.2747526828576346e-16	True	1.979781263370632e-15	4.8455463783999023e-17	True	3.0422822458747294e-15	6.38921853051354e-17	True	2.519311807594101e-15	9.956202893219734e-17	True	5.695064791797523e-16	1.9768140296651354e-16	True	-7.304033737634542e-17	2.2502337818562784e-14	False	2.1348895534928605e-16	1.4916061634555288e-16	True	1.566326364934557e-16	1.1322101669116225e-15	True
