MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i	sdss_i_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56372.95460000003	nan	nan	nan	nan	2.835531800610595e-15	3.8557168972818104e-17	nan	nan	4.407919733292325e-15	1.7167383568137273e-16	2.1743871934630287e-15	6.062327431974083e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.00460000003	nan	nan	nan	nan	2.8545969001767854e-15	3.7504319521834697e-17	nan	nan	4.438975716553397e-15	1.7300131772685262e-16	2.1797534378372015e-15	6.008073411712678e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.05460000003	nan	nan	nan	nan	2.873843139360621e-15	3.654537287530664e-17	nan	nan	4.469555989022978e-15	1.7417016287544718e-16	2.185118257698411e-15	5.956001035000995e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.104600000035	nan	nan	nan	nan	2.8932726705926737e-15	3.568655430412562e-17	nan	nan	4.499648655313137e-15	1.7518159620746085e-16	2.190481157577493e-15	5.906147299125726e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.15460000004	nan	nan	nan	nan	2.9128876519241074e-15	3.493390269430659e-17	nan	nan	4.5292418077142044e-15	1.7603783261781782e-16	2.195841641456028e-15	5.858548643051894e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.20460000004	nan	nan	nan	nan	2.9326897773579017e-15	3.429287025866453e-17	nan	nan	4.5583284441405735e-15	1.767396638341422e-16	2.2011992127502532e-15	5.813240751383438e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.254600000044	nan	nan	nan	nan	2.952675759100899e-15	3.3766333532017005e-17	nan	nan	4.58690932819128e-15	1.7728506452504928e-16	2.2065533742949734e-15	5.770258348245124e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.30460000005	nan	nan	nan	nan	2.9728393085020294e-15	3.335520339491914e-17	nan	nan	4.614985816272906e-15	1.7767260315658768e-16	2.211903628327418e-15	5.729634982403213e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.35460000005	nan	nan	nan	nan	2.9931741009245613e-15	3.3059485231871786e-17	nan	nan	4.642559168114859e-15	1.7790179951200223e-16	2.217249476471123e-15	5.691402805181519e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.40460000005	nan	nan	nan	nan	3.0136735891988448e-15	3.2878175761650775e-17	nan	nan	4.669630546758747e-15	1.7797315859063864e-16	2.222590419719763e-15	5.65559234298671e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
