time,mag,mag_err
56450.05,-14.446622711189715,0.0011296493764196523
56450.25,-14.802126183701276,0.0005320799490461075
56450.55,-15.19662757729632,0.00031713417802779954
56451.94,-15.879912804347443,0.00032050045663769395
56453.83,-15.863406322756584,0.0004042649000496974
56455.72,-15.552057828695883,0.0003546729737202145
56457.61,-15.273881102352467,0.00042347044160238905
56459.5,-15.148589388787565,1.0694517592363115e-06
56461.45,-15.272249739111338,0.0003561160455863719
56463.4,-15.385252655082283,0.0005110590997332865
56465.35,-15.477444427784752,1.8456219235547657e-06
56466.5,-15.503511673665216,1.9784446914764073e-06
56468.5,-15.558385445223768,0.0004822865995176783
56470.5,-15.557638605934708,0.00021616829494134712
56472.5,-15.526655800283624,0.000430448228949401
56474.5,-15.363077123410005,1.7020122772614995e-06
56476.25,-15.19734525912501,0.0006592003364475519
56478.0,-15.003521918041052,0.0006136328017626063
56479.75,-14.81785307786942,0.0006209500290390659
56481.5,-14.710731759372413,5.3091969908512175e-06
56483.0,-14.5475185167493,0.0011103911692637474
56484.5,-14.447566929694,7.099374337254033e-06
56486.38,-14.435989901195597,0.001288375713827238
56488.27,-14.318116462336956,4.6266926040451705e-06
56490.27,-14.15857071378804,0.0017126501042851194
56492.26,-14.125789575810867,0.0009771587545632865
56494.26,-14.104616298793358,0.0012980793528665103
56496.26,-14.051217464056311,0.0010151416092834605
56498.25,-13.970500719969268,0.0015164321928332674
56500.25,-13.964625818230733,0.0014311868325133997
56502.25,-13.88628491500052,0.0011033850568875243
56504.24,-13.861047625929924,0.0007496314627332606
56506.24,-13.817788401529613,2.944773058043115e-06
56508.18,-13.79667606226074,0.00036955964177174695
56510.18,-13.760622393705496,0.0007174698450444055
56512.18,-13.720368635939128,0.00025102846481173227
56514.18,-13.69124662703525,0.0006418416501868435
56516.18,-13.654654667964214,0.0004703915361117619
56518.17,-13.623293667530254,0.0006247486242954984
56520.17,-13.588978494778747,0.0006297173067960013
56522.16,-13.554683646121703,0.0006406934169401447
56524.16,-13.519921274651034,0.0006522693558808317
56526.15,-13.48437217842514,0.0006611913502312798
56528.15,-13.44807409893751,0.0006669823324291367
56530.14,-13.411202541497023,0.0006704364037359797
56532.13,-13.373978813845804,0.0006727779495399917
56534.13,-13.336623523930186,0.0006753072853676526
56536.12,-13.302263992449967,0.0006561325652293512
56538.12,-13.265512385011602,0.0006635952154299793
56540.11,-13.228920112606739,0.000674661314816455
56542.11,-13.192008705036834,0.0006857819378279136
56544.1,-13.15454671203171,0.0006935705579367577
56546.09,-13.116739087231124,0.0006967675547555668
56548.09,-13.079158099871627,0.0006955244713673722
56550.08,-13.041832362455407,0.0006891675119091083
56552.08,-13.00357220642434,0.0006752353960598871
56554.07,-12.9677397558759,0.0006200581552913742
56556.06,-12.92763380489523,0.000599617594910558
56558.06,-12.887540052282523,0.0005805082698067874
56560.05,-12.847962845772297,0.0005658834148692494
56562.05,-12.809143561080443,0.000556719983161714
56564.04,-12.771116870703246,0.0005523982728029501
56566.04,-12.73381154828776,0.0005517727682066736
56568.03,-12.697124129006646,0.0005537811042120102
56570.02,-12.663917230885616,0.0005329797122811521
56572.02,-12.628122909461585,0.0005381988564636426
56574.01,-12.592673621546309,0.000544094455424206
56576.01,-12.557504907289976,0.0005502889785896925
56578.0,-12.52257197625803,0.0005564357598765654
56580.0,-12.487848829468371,0.0005622010863122947
56581.99,-12.453326937976637,0.0005672583015675365
56583.98,-12.419012509404032,0.0005712955456292231
56585.98,-12.384919894529279,0.0005740582106710274
56587.97,-12.35361589861163,0.0005501832976770626
56589.97,-12.31978505661776,0.0005509855335505659
56591.96,-12.286180047246194,0.0005512047083878185
56593.96,-12.252772975589446,0.0005518956779292905
56595.95,-12.219493417071455,0.0005545007467763843
56597.94,-12.186229427258539,0.0005604494296047373
56599.94,-12.152851745276223,0.0005705550469642539
56601.93,-12.119242983927755,0.0005846718253121578
56603.93,-12.085325728182667,0.0006019546257826459
56605.92,-12.051597731437004,0.0005884234183475706
56607.92,-12.016736941690962,0.0006045612490601995
56609.91,-11.981547280030359,0.0006209450959730181
56611.9,-11.946066561495993,0.0006372927978127434
56613.9,-11.910337447022616,0.0006541351820136832
56615.89,-11.87440159204738,0.0006936897334345014
56617.89,-11.83843352006958,0.0007065850053379373
56619.88,-11.801999522534516,0.0007038848578757829
56621.87,-11.769354864701691,0.000795153705283213
56623.87,-11.733182932538321,0.0008199948334392269
56625.86,-11.696902398692737,0.0008458592970820065
56627.86,-11.660520854677772,0.0008728367268390934
56629.85,-11.623891484083726,0.0009011637222691778
56631.85,-11.585880819954504,0.0009026111583699118
56633.84,-11.54670656051044,0.0009741644443503538
56635.83,-11.513872590252568,0.0009920970133738562
56637.83,-11.469460023952681,0.0009372528768663271
56639.82,-11.457053377782977,0.001230059868898984
56641.82,-11.418566759083342,0.00128312972410476
56643.81,-11.381388183891609,0.001335072584899757
56645.81,-11.34370716054656,0.0013616254688892434
56647.8,-11.310993174774843,0.0014226181363243193
56649.79,-11.27534433173288,0.0014714302010358576
