#MJD,band,Flux,Flux_err,FilterSet,Instr
49076.89,Bessell_B,6.194448322655619e-13,5.705297746832057e-14,GeneralFilters,Rich1994
49076.89,Bessell_U,9.333010502841253e-13,8.596020342628414e-14,GeneralFilters,Rich1994
49077.06,Bessell_U,8.750276057694642e-13,8.059302084021353e-14,GeneralFilters,Rich1994
49077.98,Bessell_I,8.231379409551993e-14,7.581380609275663e-15,GeneralFilters,Rich1994
49077.98,Bessell_R,1.579299917913086e-13,1.4545889793390832e-14,GeneralFilters,Rich1994
49077.98,Bessell_U,5.37058697892365e-13,4.946493407307057e-14,GeneralFilters,Rich1994
49077.98,Bessell_V,2.397097801737664e-13,2.2078086658849506e-14,GeneralFilters,Rich1994
49078.9,Bessell_B,2.964849372564926e-13,2.7307271872929984e-14,GeneralFilters,Rich1994
49078.9,Bessell_I,7.1692317608343e-14,6.603106472285034e-15,GeneralFilters,Rich1994
49078.9,Bessell_U,3.3886112985087496e-13,3.1210263447730985e-14,GeneralFilters,Rich1994
49079.99,Bessell_B,2.1677172529150834e-13,1.9965413729559295e-14,GeneralFilters,Rich1994
49079.99,Bessell_R,1.0056911138958806e-13,9.262757468052637e-15,GeneralFilters,Rich1994
49079.99,Bessell_U,2.2804563011260194e-13,2.100377873676648e-14,GeneralFilters,Rich1994
49079.99,Bessell_V,1.3793858088235233e-13,1.2704612803526828e-14,GeneralFilters,Rich1994
49080.16,Bessell_B,2.1281519540999871e-13,1.960100386056174e-14,GeneralFilters,Rich1994
49080.16,Bessell_I,6.360227058310506e-14,5.857985605008578e-15,GeneralFilters,Rich1994
49080.16,Bessell_R,1.0628319780263475e-13,9.78904427583476e-15,GeneralFilters,Rich1994
49080.16,Bessell_V,1.3542091804434692e-13,1.2472727486730885e-14,GeneralFilters,Rich1994
49080.9,Bessell_B,1.7538911399155593e-13,1.6153934374014134e-14,GeneralFilters,Rich1994
49080.9,Bessell_I,5.193649293649913e-14,4.783527776720803e-15,GeneralFilters,Rich1994
49080.9,Bessell_R,9.256879551018212e-14,8.525901144719408e-15,GeneralFilters,Rich1994
49080.9,Bessell_U,1.7620643090370046e-13,1.622921204355254e-14,GeneralFilters,Rich1994
49081.09,Bessell_B,1.6749530353082194e-13,1.5426887562264112e-14,GeneralFilters,Rich1994
49081.09,Bessell_I,5.0057899277516467e-14,4.610502906518641e-15,GeneralFilters,Rich1994
49081.09,Bessell_R,8.759203429456056e-14,8.067524497266613e-15,GeneralFilters,Rich1994
49081.09,Bessell_U,1.6983287225420823e-13,1.564218559811781e-14,GeneralFilters,Rich1994
49081.09,Bessell_V,1.1579391924793942e-13,1.0665014092788467e-14,GeneralFilters,Rich1994
