#MJD,band,Flux,Flux_err,FilterSet,Instr
55669.3,Bessell_V,9.514013804566412e-16,7.010184435496261e-17,GeneralFilters,LTetal
55669.95,Bessell_B,1.2987828778354042e-15,9.569785899355344e-17,GeneralFilters,LTetal
55669.95,Bessell_I,3.6325967570493663e-16,2.676596205327508e-17,GeneralFilters,LTetal
55669.95,Bessell_R,7.031176443107251e-16,5.180762260517564e-17,GeneralFilters,LTetal
55669.95,Bessell_U,1.1387804557643134e-15,8.390844485227814e-17,GeneralFilters,LTetal
55669.95,Bessell_V,9.169882635997645e-16,6.756619219885136e-17,GeneralFilters,LTetal
55671.08,Bessell_B,1.2750774187485145e-15,1.4092676432711767e-16,GeneralFilters,LTetal
55671.08,Bessell_I,4.367341886316999e-16,6.033705794056841e-17,GeneralFilters,LTetal
55671.08,Bessell_R,7.362545579962687e-16,1.1527963635264026e-16,GeneralFilters,LTetal
55671.08,Bessell_U,1.1179953699974438e-15,1.132682968116569e-16,GeneralFilters,LTetal
55671.08,Bessell_V,9.69089252715405e-16,8.925641868328829e-17,GeneralFilters,LTetal
55671.3,Bessell_B,1.2403280191886208e-15,1.7135764844462434e-16,GeneralFilters,LTetal
55671.3,Bessell_I,4.3273018552225027e-16,3.188473838309997e-17,GeneralFilters,LTetal
55671.3,Bessell_R,7.709531663108344e-16,6.390666965322475e-17,GeneralFilters,LTetal
55671.3,Bessell_U,1.21461881704993e-15,6.712231636350188e-17,GeneralFilters,LTetal
55671.3,Bessell_V,1.0054576371558892e-15,1.3890910601771977e-16,GeneralFilters,LTetal
55671.9,Bessell_B,1.2750774187485145e-15,5.871948513649232e-17,GeneralFilters,LTetal
55671.9,Bessell_I,4.094653823866846e-16,2.6399208796210173e-17,GeneralFilters,LTetal
55671.9,Bessell_R,7.499425521906503e-16,2.762890466038158e-17,GeneralFilters,LTetal
55671.9,Bessell_U,1.1815170822326661e-15,7.61752213786978e-17,GeneralFilters,LTetal
55671.9,Bessell_V,1.0054576371558892e-15,4.6303035338997515e-17,GeneralFilters,LTetal
55671.92,Bessell_B,1.2987828778354042e-15,2.2728241510948e-16,GeneralFilters,LTetal
55671.92,Bessell_I,4.448536834081362e-16,4.506979223911518e-17,GeneralFilters,LTetal
55671.92,Bessell_R,8.45333337107714e-16,9.342969315044475e-17,GeneralFilters,LTetal
55671.92,Bessell_U,1.2718620383327767e-15,2.2257136330601635e-16,GeneralFilters,LTetal
55671.92,Bessell_V,1.0336268380724028e-15,1.9040109992454057e-16,GeneralFilters,LTetal
55671.92,sdss_g',1.1485971523326436e-15,6.347382433963332e-17,GeneralFilters,LTetal
55671.92,sdss_i',5.501807946467532e-16,5.574087623303081e-17,GeneralFilters,LTetal
55671.92,sdss_r',8.202038131732324e-16,8.309791923098687e-17,GeneralFilters,LTetal
55671.92,sdss_u',1.2675361873979882e-15,7.00466383183268e-17,GeneralFilters,LTetal
55671.92,sdss_z',3.3497468184432598e-16,9.255692507342448e-18,GeneralFilters,LTetal
55672.4,Bessell_B,1.2750774187485145e-15,7.046338216381653e-17,GeneralFilters,LTetal
55672.4,Bessell_I,4.489698638616563e-16,4.135165262926377e-17,GeneralFilters,LTetal
55672.4,Bessell_R,8.375832744883507e-16,5.400098933545244e-17,GeneralFilters,LTetal
55672.4,Bessell_U,1.2258575465910096e-15,2.0323017452976726e-16,GeneralFilters,LTetal
55672.4,Bessell_V,1.0724172158519906e-15,2.963198273629884e-17,GeneralFilters,LTetal
55674.39,Bessell_B,1.2750774187485145e-15,8.220727919101192e-17,GeneralFilters,LTetal
55674.39,Bessell_I,5.014379403083459e-16,1.8473656422643318e-17,GeneralFilters,LTetal
55674.39,Bessell_R,8.299042648713756e-16,2.293110226685424e-17,GeneralFilters,LTetal
55674.39,Bessell_V,1.0823401701773548e-15,6.978104955917493e-17,GeneralFilters,LTetal
55674.88,Bessell_B,1.2518046330469217e-15,1.0376592074624829e-16,GeneralFilters,LTetal
55674.88,Bessell_I,4.922856664496612e-16,2.720471128945358e-17,GeneralFilters,LTetal
55674.88,Bessell_R,8.610492572127598e-16,5.551389715180933e-17,GeneralFilters,LTetal
55674.88,Bessell_V,1.0724172158519906e-15,8.88959482088965e-17,GeneralFilters,LTetal
55674.88,sdss_g',1.2364248789595844e-15,1.0249104581636469e-16,GeneralFilters,LTetal
55674.88,sdss_i',5.708282082824081e-16,7.360530929095366e-17,GeneralFilters,LTetal
55674.88,sdss_r',8.668057508863288e-16,6.386860801636809e-17,GeneralFilters,LTetal
55674.88,sdss_z',3.4754575099348543e-16,6.40202932296185e-18,GeneralFilters,LTetal
55675.91,Bessell_B,1.1845040625588667e-15,6.54581135289297e-17,GeneralFilters,LTetal
55675.91,Bessell_I,4.922856664496612e-16,2.2670592741248698e-17,GeneralFilters,LTetal
55675.91,Bessell_R,8.851726699045766e-16,4.0763707888994825e-17,GeneralFilters,LTetal
55675.91,Bessell_U,9.385123782266098e-16,8.644018446778064e-17,GeneralFilters,LTetal
55675.91,Bessell_V,1.0724172158519906e-15,4.938663789379099e-17,GeneralFilters,LTetal
55675.91,sdss_g',1.1485971523326436e-15,4.231588289308888e-17,GeneralFilters,LTetal
55675.91,sdss_i',6.032612452659622e-16,2.7781207010606444e-17,GeneralFilters,LTetal
55675.91,sdss_r',9.076570473673832e-16,3.3439321389125154e-17,GeneralFilters,LTetal
55675.91,sdss_u',1.1560067421817154e-15,2.4488595805960635e-16,GeneralFilters,LTetal
55675.91,sdss_z',3.672924349024488e-16,1.0148665024509667e-17,GeneralFilters,LTetal
55676.94,Bessell_B,1.1736444640384786e-15,2.1619329978955574e-17,GeneralFilters,LTetal
55676.94,Bessell_I,5.107603676414974e-16,1.411283050353605e-17,GeneralFilters,LTetal
55676.94,Bessell_R,8.851726699045766e-16,3.261096631114904e-17,GeneralFilters,LTetal
55676.94,Bessell_U,8.024906942524989e-16,3.695606219705022e-17,GeneralFilters,LTetal
55676.94,Bessell_V,1.0923549404679562e-15,2.0121921617478394e-17,GeneralFilters,LTetal
55676.94,sdss_g',1.1485971523326436e-15,9.521073650932418e-17,GeneralFilters,LTetal
55676.94,sdss_i',6.144767091751258e-16,3.961677749504913e-17,GeneralFilters,LTetal
55676.94,sdss_r',9.160554946230613e-16,6.749746324075559e-17,GeneralFilters,LTetal
55676.94,sdss_u',1.073891406378673e-15,1.4836358062987549e-16,GeneralFilters,LTetal
55676.94,sdss_z',3.507615522338065e-16,9.691899856427502e-18,GeneralFilters,LTetal
55682.91,Bessell_B,9.672451362887624e-16,8.017791235522734e-17,GeneralFilters,LTetal
55682.91,Bessell_I,5.348317621705198e-16,3.4481877999314264e-17,GeneralFilters,LTetal
55682.91,Bessell_R,9.016292585055588e-16,4.9825874160953087e-17,GeneralFilters,LTetal
55682.91,Bessell_V,1.0336268380724028e-15,1.6184093493640493e-16,GeneralFilters,LTetal
55684.87,Bessell_B,8.90300371476651e-16,2.2139917527479273e-16,GeneralFilters,LTetal
55684.87,Bessell_I,5.299283951022302e-16,2.440410445833289e-17,GeneralFilters,LTetal
55684.87,Bessell_R,9.099719313172105e-16,5.0286907298329603e-17,GeneralFilters,LTetal
55684.87,Bessell_U,5.063373974157172e-16,3.730831818603889e-17,GeneralFilters,LTetal
55684.87,Bessell_V,1.0054576371558892e-15,1.8521214135574758e-16,GeneralFilters,LTetal
55684.87,sdss_g',9.553614989018395e-16,5.2795227498984445e-17,GeneralFilters,LTetal
55684.87,sdss_i',6.144767091751258e-16,2.8297698210749384e-17,GeneralFilters,LTetal
55684.87,sdss_r',9.861018737161325e-16,6.357633728857191e-17,GeneralFilters,LTetal
55684.87,sdss_u',5.139967429787598e-16,4.734084952923155e-17,GeneralFilters,LTetal
55684.87,sdss_z',3.741209110895594e-16,6.891561862813526e-18,GeneralFilters,LTetal
55688.99,Bessell_B,7.612662121194883e-16,1.1218433483681879e-16,GeneralFilters,LTetal
55688.99,Bessell_I,4.573168368261511e-16,3.790839352501241e-17,GeneralFilters,LTetal
55688.99,Bessell_R,8.299042648713756e-16,1.0701181057869215e-16,GeneralFilters,LTetal
55688.99,Bessell_U,4.410014373818031e-16,6.905014682789667e-17,GeneralFilters,LTetal
55688.99,Bessell_V,9.871059670716646e-16,1.272821471597002e-16,GeneralFilters,LTetal
55689.1,Bessell_B,7.4051959439427e-16,3.410218758241386e-17,GeneralFilters,LTetal
55689.1,Bessell_I,5.154863751363164e-16,1.899121988852332e-17,GeneralFilters,LTetal
55689.1,Bessell_R,9.016292585055588e-16,4.152156180085275e-17,GeneralFilters,LTetal
55689.1,Bessell_U,3.9485714858826457e-16,1.4547074947182912e-17,GeneralFilters,LTetal
55689.1,Bessell_V,9.69089252715405e-16,4.462820934170475e-17,GeneralFilters,LTetal
55689.1,sdss_g',7.588706129455976e-16,2.795782657408459e-17,GeneralFilters,LTetal
55689.1,sdss_i',6.259006841258519e-16,1.7294275019524825e-17,GeneralFilters,LTetal
55689.1,sdss_r',9.952261620138924e-16,3.666548679698655e-17,GeneralFilters,LTetal
55689.1,sdss_u',3.863317194737939e-16,7.116493265696911e-17,GeneralFilters,LTetal
55689.1,sdss_z',3.8107633812591847e-16,1.0529528345552737e-17,GeneralFilters,LTetal
55692.87,Bessell_B,6.816109435348959e-16,1.8833606373705334e-17,GeneralFilters,LTetal
55692.87,Bessell_I,5.154863751363164e-16,1.899121988852332e-17,GeneralFilters,LTetal
55692.87,Bessell_R,8.610492572127598e-16,3.1722226943807444e-17,GeneralFilters,LTetal
55692.87,Bessell_U,3.194772996837939e-16,5.0022409410523905e-17,GeneralFilters,LTetal
55692.87,Bessell_V,8.838199027797934e-16,2.4420846396372327e-17,GeneralFilters,LTetal
55692.88,sdss_g',6.920982246753191e-16,1.912338066027366e-17,GeneralFilters,LTetal
55692.88,sdss_i',5.977305129257178e-16,5.5053014747643415e-18,GeneralFilters,LTetal
55692.88,sdss_r',9.245316517550802e-16,2.5545753591934e-17,GeneralFilters,LTetal
55692.88,sdss_u',3.183906950575753e-16,7.624465349143099e-17,GeneralFilters,LTetal
