spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-02-24_00-00-00_IUE_IUE_SUSPECT.dat	46850.0	1.2914572492521697e-10	7.908893904478348e-13	True	2.049651664127254e-11	5.425837791597999e-14	True	5.383539530720818e-11	1.0602807403672849e-12	True	1.3632284753486604e-10	2.1415064172037345e-12	True	8.486483545248452e-11	1.2705587903742952e-12	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-02-26_00-00-00_IUE_IUE_SUSPECT.dat	46852.0	1.4991451758994702e-10	3.1143740071926323e-13	True	3.4781168266041064e-11	5.434999371482e-14	True	6.814055397945334e-11	4.316022978506768e-13	True	1.5648390789506115e-10	1.5652678721486337e-12	True	9.283715784104462e-11	5.563326500133734e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-02-26_00-00-01_IUE_IUE_SUSPECT.dat	46852.01	1.4984727213051577e-10	3.1081265451720796e-13	True	3.481903955699833e-11	5.440766649911531e-14	True	6.820615691887645e-11	4.3097254868960317e-13	True	1.5620656207607196e-10	1.5604228566893328e-12	True	9.287378594654888e-11	5.55039202996408e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-02-27_00-00-00_IUE_IUE_SUSPECT.dat	46853.0	1.3969486018984377e-10	2.662461028669862e-13	True	3.7884382657114093e-11	6.058478907575018e-14	True	7.389150937657801e-11	4.1698323745654405e-13	True	1.1920184245764616e-10	1.1021962461486339e-12	True	9.601598825426939e-11	5.062507293847312e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-02-27_00-00-01_IUE_IUE_SUSPECT.dat	46853.01	1.3956960340380773e-10	2.661454035100615e-13	True	3.79094401018316e-11	6.071660295808902e-14	True	7.393942955247201e-11	4.173938437850923e-13	True	1.1876697209522868e-10	1.099652003935157e-12	True	9.604179285978996e-11	5.064528715113729e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-02-28_00-00-00_IUE_IUE_SUSPECT.dat	46854.0	1.2624990660721376e-10	2.5708894690987514e-13	True	4.008018126548622e-11	7.088459385861658e-14	True	7.770555898336281e-11	4.780077713121018e-13	True	7.710504683129638e-11	8.87507417188117e-13	True	9.79822334144259e-11	5.524704920503049e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-03-03_00-00-00_IUE_IUE_SUSPECT.dat	46857.0	8.9539919175566e-11	2.3720811425280074e-13	True	4.5451305874300917e-11	9.32801668608751e-14	True	8.264795446445488e-11	5.663682199256756e-13	True	1.9399119527428952e-11	1.36004364692107e-12	True	1.0020123084620096e-10	6.158128906565044e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-03-09_00-00-00_IUE_IUE_SUSPECT.dat	46863.0	6.796692476635109e-11	6.430594500001196e-13	True	6.086180472571641e-11	5.241337214504827e-13	True	9.934569504413492e-11	6.252847324265305e-13	True	9.420066114441721e-12	3.328831035709856e-13	True	1.1309150075223928e-10	6.576538258511995e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-03-13_00-00-00_IUE_IUE_SUSPECT.dat	46867.0	6.43740184455859e-11	5.035279133897939e-13	True	7.210357723429094e-11	5.176031010638737e-13	True	1.1184624630418468e-10	6.71589906159999e-13	True	7.660888379564715e-12	2.773915752218431e-13	True	1.211300769153782e-10	6.944526438668939e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-03-16_00-00-00_IUE_IUE_SUSPECT.dat	46870.0	6.422331595059413e-11	1.1435685120276685e-12	True	8.086539195101603e-11	9.967976622646385e-13	True	1.2207186384352913e-10	9.032917399728659e-13	True	6.893809872775494e-12	1.6304717872291679e-12	True	1.2644368101019588e-10	8.623487984582816e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-03-22_00-00-00_IUE_IUE_SUSPECT.dat	46876.0	6.687708449087961e-11	6.494280739573518e-13	True	9.679707414047428e-11	7.459708453742824e-13	True	1.4498405281515262e-10	8.10893021250002e-13	True	6.485076945117535e-12	4.218164762476088e-13	True	1.403999346017594e-10	7.587879384038651e-13	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN1987A/1987A_1987-04-08_00-00-00_IUE_IUE_SUSPECT.dat	46893.0	9.883438412371527e-11	8.621699923860452e-13	True	1.4982184454602105e-10	1.0475016958717202e-12	True	2.3089190890361862e-10	1.345334329136915e-12	True	6.7627834580756225e-12	3.2820311650953727e-13	True	2.1713997411322852e-10	1.1315199303186584e-12	True
