MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
46848.05	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.100000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.15000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.20000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.250000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.30000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.35000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.40000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.450000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.50000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.55000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.600000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.65000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.70000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.750000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.80000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.85000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.90000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46848.950000000055	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46849.00000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
46849.05000000006	1.0109587950778366e-10	1.9338054188861332e-12	2.210190732103139e-12	8.930431311239052e-14	nan	nan	8.954779103140177e-11	3.3228590151946742e-12	8.109958430800028e-11	1.8932997729615215e-12
46849.100000000064	1.0255626632393114e-10	1.8507693732240007e-12	3.4135692384981783e-12	7.493192905455483e-14	nan	nan	9.182981237580344e-11	3.2096432477957542e-12	8.129593013685777e-11	1.8574082458067384e-12
46849.15000000007	1.0402421545726901e-10	1.7699531492214772e-12	4.6136115956822625e-12	6.623974227449858e-14	nan	nan	9.415326018941428e-11	3.1014996046969967e-12	8.149247781504325e-11	1.8218283007305717e-12
46849.20000000007	1.0549943198260243e-10	1.6914412237102402e-12	5.8034703430072715e-12	6.208184651275358e-14	nan	nan	9.651737929003999e-11	2.998800164929518e-12	8.168922751138962e-11	1.7865651299286763e-12
46849.25000000007	1.0698143842317369e-10	1.6153140508812008e-12	6.976229502980652e-12	6.075418945119472e-14	nan	nan	9.892039286377031e-11	2.901865298549945e-12	8.188617939507599e-11	1.7516241211814232e-12
46849.300000000076	1.0846956868544369e-10	1.541647023989641e-12	8.125598462154192e-12	6.073022401354987e-14	nan	nan	1.013594875359113e-10	2.8109496821020702e-12	8.208333363517534e-11	1.7170108679478607e-12
46849.35000000008	1.0996296554294285e-10	1.470509496315734e-12	9.246239465145392e-12	6.103084358175007e-14	nan	nan	1.0383090377363489e-10	2.7262338997890855e-12	8.228069040090023e-11	1.682731179624313e-12
46849.40000000008	1.1146058091153731e-10	1.4019638319127373e-12	1.0333907339768094e-11	6.11798390118497e-14	nan	nan	1.0633008031096916e-10	2.647820455301058e-12	8.247824986177036e-11	1.6487910925325892e-12
46849.450000000084	1.1296117849951895e-10	1.336064472613469e-12	1.1385474607192204e-11	6.102331878935694e-14	nan	nan	1.088518148606303e-10	2.5757330488891216e-12	8.267601218732212e-11	1.6151968812542535e-12
46849.50000000009	1.1446333857104915e-10	1.2728570172890942e-12	1.2398881414148521e-11	6.057472845106566e-14	nan	nan	1.1139041856280874e-10	2.509918289808095e-12	8.287397754718129e-11	1.581955070406274e-12
46849.55000000009	1.1596546463941501e-10	1.2123773163916008e-12	1.3373036014787517e-11	5.99157783374605e-14	nan	nan	1.139398533706043e-10	2.4502493495155787e-12	8.307214611109086e-11	1.5490724469262253e-12
46849.60000000009	1.1746579194716527e-10	1.1546505915961641e-12	1.4307684775524664e-11	5.914122537073629e-14	nan	nan	1.16493848902837e-10	2.3965312846377136e-12	8.327051804910652e-11	1.5165560728141065e-12
46849.650000000096	1.189623976102267e-10	1.099690597443547e-12	1.5203266711598328e-11	5.833208346302884e-14	nan	nan	1.190459991676861e-10	2.348507849495262e-12	8.346909353123371e-11	1.4844132980209038e-12
46849.7000000001	1.2045321231069405e-10	1.0474988493973077e-12	1.6060764472361178e-11	5.754601458539566e-14	nan	nan	1.2158984126290413e-10	2.3058696075723424e-12	8.36678727275951e-11	1.4526517739888833e-12
46849.7500000001	1.2193603342289123e-10	9.980639506742012e-13	1.6881561095195096e-11	5.6817426955019417e-14	nan	nan	1.2411891867807757e-10	2.2682630856979535e-12	8.386685580860373e-11	1.4212794671120593e-12
46849.800000000105	1.234085394512258e-10	9.513610573957119e-13	1.766730940025942e-11	5.616218430371981e-14	nan	nan	1.266268317737398e-10	2.2353006362960232e-12	8.406604294465585e-11	1.390304672551741e-12
