MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err
53456.55	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53456.600000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53456.65000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53456.70000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53456.750000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53456.80000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53456.85000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53456.90000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53456.950000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.00000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.05000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.100000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.15000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.20000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.250000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.30000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.35000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.40000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.450000000055	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.50000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53457.55000000006	nan	nan	1.3201414227253692e-19	4.071723312992708e-21	nan	nan	nan	nan	nan	nan	nan	nan
53457.600000000064	nan	nan	6.565543590955215e-19	1.4714902625006808e-19	nan	nan	nan	nan	nan	nan	nan	nan
53457.65000000007	nan	nan	1.1836954562796758e-18	2.7725900756775937e-19	nan	nan	nan	nan	nan	nan	nan	nan
53457.70000000007	nan	nan	1.714890738601683e-18	3.9061213489467455e-19	nan	nan	nan	nan	nan	nan	nan	nan
53457.75000000007	nan	nan	2.251593520493902e-18	4.87423065447593e-19	nan	nan	nan	nan	nan	nan	nan	nan
