spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_u'_fitflux	sdss_u'_fitfluxerr	sdss_u'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/2010al_2010-03-18_00-00-00_P200_DBSP_None.flm	55273.0	2.0731758279405696e-15	1.0493108459932462e-16	True	3.144828594354917e-16	2.312946502874098e-17	True	6.167146502631027e-16	1.8465599598873993e-17	True	8.540956938314776e-16	2.58328934604159e-17	True	3.7415994511431606e-16	4.4304513441392296e-17	False	5.850963221844856e-16	1.1032520549098413e-16	False	4.5861399590887576e-15	5.116973834970816e-16	False	4.20610729289554e-15	7.2528714368253e-16	False	8.014432897948552e-15	1.752371207217664e-15	False	2.3253678532262763e-14	3.5347431920632347e-15	False	1.733265512624889e-14	2.1396259386474206e-15	False	2.4934066505460556e-14	4.207425814701638e-15	False	2.2613756122105327e-15	4.523129252153793e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/2010al_2010-03-20_00-00-00_LCO-duPont_BC-duPont_None.ascii	55275.0	2.6416086247465384e-15	6.102268006370159e-17	True	4.267898217851662e-16	4.6642285225225286e-17	True	9.59044610699666e-16	2.6058644463020723e-17	True	1.2190849971546089e-15	2.5554729584396397e-17	True	4.864116000666725e-16	2.1171531295997986e-17	True	8.211219274257753e-16	4.335840826454479e-17	True	4.7740539912856504e-15	2.8868514388252114e-16	True	4.0833694927463585e-15	6.037964819219289e-16	False	7.8095765528982e-15	1.445948234892315e-15	False	2.1076643274133846e-14	2.338447677723735e-15	False	1.575904370325449e-14	1.4650459883034556e-15	False	2.254053976973858e-14	2.784967960150328e-15	False	2.234143691609936e-15	3.818339555506872e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/2010al_2010-03-25_00-00-00_VLT-UT2_X-Shooter_None_0.ascii	55280.0	3.841777079178351e-15	6.960179370785783e-17	True	7.0384306167968e-16	4.190756720805875e-17	True	1.508853290346361e-15	4.363091313807511e-17	True	2.029653849134866e-15	3.6713519418626015e-17	True	7.453986298782595e-16	1.6976429057674765e-17	True	1.4476788197315255e-15	5.2413235257876535e-17	True	5.123013464577581e-15	3.6220475196772703e-16	True	3.679181494826909e-15	3.202300680766909e-16	False	6.938173622885216e-15	6.974539490639214e-16	False	1.2808564725452724e-14	6.594894890435074e-16	True	1.0565867301770414e-14	4.686036491539e-16	True	1.293678978513526e-14	7.334317993953005e-16	True	2.1207104329358666e-15	2.1424712535692905e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/2010al_2010-03-29_00-00-00_VLT-UT2_X-Shooter_None_0.ascii	55284.0	3.753902532996917e-15	8.077455063299235e-17	True	8.175308927920919e-16	3.7793681275598977e-17	True	1.5403622713783832e-15	5.670257883771743e-17	True	2.1217477110661465e-15	4.322616676317745e-17	True	8.014156561053581e-16	2.0225518076671892e-17	True	1.4931449648233683e-15	6.936234507157118e-17	True	5.035907646995427e-15	3.262733526052837e-16	True	3.240157543402199e-15	1.4960275140321986e-16	True	5.775603236304434e-15	2.4396816870831524e-16	True	5.4012784236368716e-15	2.8824936973925107e-16	True	5.989854173411151e-15	2.6658149416054236e-16	True	4.4331227854727865e-15	2.8983928087572926e-16	True	1.9743543688395385e-15	1.1031587639187311e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/2010al_2010-03-30_00-00-00_WHT-4.2m_ISIS_None.ascii	55285.0	3.620393875767366e-15	7.273310727974097e-17	True	8.253006825163186e-16	4.6687968450247046e-17	True	1.5499821791379237e-15	7.371382990199086e-17	True	2.067214926237265e-15	3.9789630385568303e-17	True	8.164494335628694e-16	1.8744363814886848e-17	True	1.4637073890314507e-15	5.657099525679975e-17	True	4.923697151474735e-15	2.7767164663321702e-16	True	3.1125132781093414e-15	1.2444487216247234e-16	True	5.408246465370342e-15	1.944793675424211e-16	True	4.2275872144656606e-15	2.2679412452767375e-16	True	5.102349163587481e-15	2.241174896737116e-16	True	3.3077597823985596e-15	2.306864634215419e-16	True	1.928929174761236e-15	9.417738459737271e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/2010al_2010-04-01_00-00-00_NOT_ALFOSC_None.ascii	55287.0	3.294824394072762e-15	4.812095673802073e-17	True	8.214067026640582e-16	5.925552856348311e-17	True	1.5489169713905006e-15	8.604520068105594e-17	True	1.9192992830451013e-15	2.754496478195618e-17	True	8.309597729250974e-16	1.2735090373139972e-17	True	1.385526797139956e-15	2.4327162506439476e-17	True	4.552488204589794e-15	1.7285625316437256e-16	True	2.840730820521651e-15	9.741872932003217e-17	True	4.602229835880919e-15	1.6169816939007008e-16	True	2.8642554753533266e-15	1.9680820371432755e-16	True	3.65646956956097e-15	1.8264503445564542e-16	True	2.3168291687054295e-15	2.086408121624403e-16	True	1.828359168114572e-15	7.595805816225669e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/2010al_2010-04-07_00-00-00_VLT-UT2_X-Shooter_None_0.ascii	55293.0	2.2870852770987012e-15	3.9720908063695386e-17	True	7.046465273430333e-16	3.0279275767703474e-17	True	1.1830655282894493e-15	3.745638355428704e-17	True	1.4768534821407568e-15	3.171487810448263e-17	True	7.08485196676026e-16	8.225903167741334e-18	True	1.0997278560179483e-15	1.3393610809778671e-17	True	2.5853469834427687e-15	6.868289865382778e-17	True	2.072043642674283e-15	8.208427372912785e-17	True	2.4819261797830964e-15	1.225408439328762e-16	True	8.481739009471693e-16	1.0204128182730112e-16	True	1.3396201325786447e-15	1.1255820703377808e-16	True	7.042759288194016e-16	1.11283116554615e-16	True	1.442119009938256e-15	6.693236370859231e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/2010al_2010-04-18_00-00-00_ESO-NTT_EFOSC2-NTT_None.ascii	55304.0	5.245130206863397e-16	1.5719461230438636e-17	True	2.6765896049514697e-16	2.3932567167420182e-17	True	3.7286055318117795e-16	4.976716597383986e-17	True	4.740230980446734e-16	1.0543183785614555e-17	True	3.002087062042597e-16	6.402699887804714e-18	True	4.2050844048643317e-16	8.107521549177253e-18	True	2.9165242024181104e-16	4.7363642416645374e-17	True	5.035843249189622e-16	6.074778291411044e-17	True	2.5136686635736703e-16	8.059611818410958e-17	True	3.087379297639863e-16	2.5193751655051076e-15	False	3.393585901393496e-16	1.2948211105965258e-15	False	-5.407356549280889e-17	4.164460566408003e-15	False	5.041992645960198e-16	6.454876217829245e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/2010al_2010-04-29_00-00-00_TNG_DOLORES_None.ascii	55315.0	8.125713362541515e-17	8.044167914706842e-17	True	6.292107393892393e-17	9.768865896970173e-17	True	1.0033705827465715e-16	8.717881675452315e-17	True	8.22894989256277e-17	1.8523997568292007e-17	True	5.234444012504889e-17	7.145921250335808e-17	True	9.265382366309853e-17	2.1775247904987064e-16	True	-7.013535634734118e-16	1.2800877795973422e-15	False	-5.501202374132e-16	5.483757909282822e-16	False	-7.577447984099324e-16	1.6527777170912557e-15	False	3.051243910982362e-16	9.093495142965673e-15	False	1.5461603367381126e-16	5.305104028314179e-15	False	-3.212508892310222e-16	1.1441279790896892e-14	False	-2.0669177011703618e-16	3.606119361028522e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2010al/SN_2010al_2010-05-07_05-18-14_Lick-3m_KAST_UCB-SNDB_0.flm	55323.22	6.10132063106094e-17	2.96506802171302e-17	True	3.403076735829905e-17	3.450175410346549e-17	True	3.968049372184932e-17	7.087336328669075e-17	True	5.670186412720496e-17	1.5627815152975943e-17	True	2.6507914509434148e-17	4.304726447578375e-17	True	7.056645190019183e-17	1.6535125006752032e-16	True	-8.602407189428878e-16	2.1002768263117574e-15	False	-1.0324485630331673e-15	1.0597401498227322e-15	False	-1.0744169832594792e-15	2.8547954083266554e-15	False	2.716452970889758e-16	1.2966873606615894e-14	False	6.996955128336313e-17	8.139340776140679e-15	False	-3.5770567548287427e-16	1.5328653647872436e-14	False	-5.151653109028501e-16	6.531160470559024e-16	False
