MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
51405.29759999248	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.347599992485	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.39759999249	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.44759999249	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.49759999249	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.5475999925	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.5975999925	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.6475999925	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.697599992505	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.74759999251	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.79759999251	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.847599992514	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.89759999252	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.94759999252	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51405.99759999252	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51406.047599992526	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51406.09759999253	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51406.14759999253	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51406.197599992534	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51406.24759999254	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
51406.29759999254	nan	nan	nan	nan	nan	nan	nan	nan	3.588557178563521e-17	3.494549742343526e-18
51406.34759999254	nan	nan	nan	nan	2.7505580812309518e-17	2.098686172776186e-18	nan	nan	4.251413946736648e-17	3.4184514509373104e-18
51406.397599992546	nan	nan	nan	nan	3.184122536138671e-17	2.07170373029986e-18	nan	nan	4.9198101302545495e-17	3.482858959112696e-18
51406.44759999255	nan	nan	nan	nan	3.621276429765367e-17	2.1433560406496608e-18	nan	nan	5.59363641297569e-17	3.659802456755138e-18
51406.49759999255	nan	nan	nan	nan	4.0619333878108383e-17	2.2880936468917745e-18	nan	nan	6.272783680659165e-17	3.916875897126164e-18
51406.547599992555	nan	nan	nan	nan	4.5060071660681e-17	2.4797354630489667e-18	nan	nan	6.957143016634269e-17	4.2253942264952414e-18
51406.59759999256	nan	nan	nan	nan	4.953411647032436e-17	2.6974389815877136e-18	nan	nan	7.64660569747812e-17	4.5635862116745676e-18
51406.64759999256	nan	nan	nan	nan	5.404060836516831e-17	2.9267311020279564e-18	nan	nan	8.341063188697315e-17	4.916349229143797e-18
51406.69759999256	nan	nan	nan	nan	5.857868860269166e-17	3.158302245669916e-18	nan	nan	9.040407140416118e-17	5.2738042299159275e-18
51406.74759999257	nan	nan	nan	nan	6.314749960594506e-17	3.386492245777007e-18	nan	nan	9.74452938306879e-17	5.629828569016789e-18
51406.79759999257	nan	nan	nan	nan	6.774618492978557e-17	3.608103948961351e-18	nan	nan	1.04533219230988e-16	5.980915320526983e-18
51406.84759999257	nan	nan	nan	nan	7.237388922716039e-17	3.821594427231876e-18	nan	nan	1.1166676938657854e-16	6.3253649540752664e-18
51406.897599992575	nan	nan	nan	nan	7.702975821541207e-17	4.0265465069993954e-18	nan	nan	1.1884486775317042e-16	6.662727916120978e-18
51406.94759999258	nan	nan	nan	nan	8.171293864261807e-17	4.223322652015859e-18	nan	nan	1.2606644191906047e-16	6.99339878692619e-18
51406.99759999258	nan	nan	nan	nan	8.642257825396092e-17	4.412831300361732e-18	nan	nan	1.3333054109403223e-16	7.317457295554456e-18
51407.047599992584	nan	nan	nan	nan	9.115782575810239e-17	4.596360651583037e-18	nan	nan	1.4063638660710637e-16	7.634121739464115e-18
51407.09759999259	nan	nan	nan	nan	9.591784152999901e-17	4.7753878283979746e-18	nan	nan	1.4798321430713462e-16	7.94285671131355e-18
51407.14759999259	nan	nan	nan	nan	1.0070197284066556e-16	4.950433905434004e-18	nan	nan	1.5537026153037048e-16	8.243416939005809e-18
51407.19759999259	nan	nan	nan	nan	1.0550972519982784e-16	5.121194688161463e-18	nan	nan	1.6279676706926066e-16	8.535804873114441e-18
51407.247599992595	nan	nan	nan	nan	1.1034060992756212e-16	5.287452581413656e-18	nan	nan	1.702619711413323e-16	8.82023662813281e-18
51407.2975999926	nan	nan	nan	nan	1.151941391743144e-16	5.449108299649305e-18	nan	nan	1.7776511535806662e-16	9.097113726636482e-18
51407.3475999926	nan	nan	nan	nan	1.2006982590089863e-16	5.6061803542560624e-18	nan	nan	1.853054426938543e-16	9.366998722523554e-18
51407.397599992604	nan	nan	nan	nan	1.2496718385855335e-16	5.7588025564914704e-18	nan	nan	1.9288219745495487e-16	9.630593246409795e-18
51407.44759999261	nan	nan	nan	nan	1.2988572756896215e-16	5.907219867120803e-18	nan	nan	2.0049462524850032e-16	9.888717367537551e-18
51407.49759999261	nan	nan	nan	nan	1.3482497230435138e-16	6.051782745061532e-18	nan	nan	2.081419729515767e-16	1.0142289436112041e-17
51407.54759999261	nan	nan	nan	nan	1.3978443406757791e-16	6.1929400261287365e-18	nan	nan	2.158234975552867e-16	1.0392261089471763e-17
51407.597599992616	nan	nan	nan	nan	1.4476362957222375e-16	6.3312302853775236e-18	nan	nan	2.235385839439506e-16	1.0639005495426663e-17
51407.64759999262	nan	nan	nan	nan	1.4976207622275766e-16	6.467271595076273e-18	nan	nan	2.312867126722592e-16	1.0882475262930668e-17
51407.69759999262	nan	nan	nan	nan	1.5477929209467267e-16	6.6017495794162126e-18	nan	nan	2.390673677169426e-16	1.1122672765893724e-17
51407.747599992625	nan	nan	nan	nan	1.5981479591764164e-16	6.7354036710472674e-18	nan	nan	2.468800341931665e-16	1.1359665966350577e-17
51407.79759999263	nan	nan	nan	nan	1.6486815275353678e-16	6.868813561087023e-18	nan	nan	2.5472419833247694e-16	1.1593590670658218e-17
51407.84759999263	nan	nan	nan	nan	1.699390894785199e-16	7.001888518740515e-18	nan	nan	2.625993474607861e-16	1.1824650921855105e-17
51407.89759999263	nan	nan	nan	nan	1.7502736909462987e-16	7.134418999372928e-18	nan	nan	2.7050496997640685e-16	1.2053117761802043e-17
51407.947599992636	nan	nan	nan	nan	1.8013275519451185e-16	7.266240512047894e-18	nan	nan	2.7844055532806683e-16	1.227932653636658e-17
51407.99759999264	nan	nan	nan	nan	1.8525501195077622e-16	7.397240729767316e-18	nan	nan	2.864055939930171e-16	1.2503672871494441e-17
51408.04759999264	nan	nan	nan	nan	1.9039390410535288e-16	7.527364190491287e-18	nan	nan	2.943995774551128e-16	1.272660741488216e-17
51408.097599992645	nan	nan	nan	nan	1.9554919695887503e-16	7.656614917575012e-18	nan	nan	3.024219987686955e-16	1.2948625702604201e-17
51408.14759999265	nan	nan	nan	nan	2.0072065636006186e-16	7.785057226063133e-18	nan	nan	3.1047239316373135e-16	1.3170003547446793e-17
51408.19759999265	nan	nan	nan	nan	2.0590804869513707e-16	7.912814925460114e-18	nan	nan	3.185503644498708e-16	1.3390626858031759e-17
51408.247599992654	nan	nan	nan	nan	2.1111114087723518e-16	8.040069082145617e-18	nan	nan	3.26655523642408e-16	1.3610384369806745e-17
51408.29759999266	nan	nan	nan	nan	2.163297003358609e-16	8.167054465981249e-18	nan	nan	3.3478748266418973e-16	1.3829211253675868e-17
51408.34759999266	nan	nan	nan	nan	2.2156349500630683e-16	8.294054776404943e-18	nan	nan	3.4294585432821664e-16	1.4047091501209148e-17
51408.39759999266	nan	nan	nan	nan	2.2681229332017046e-16	8.42139671856778e-18	nan	nan	3.511302523202749e-16	1.4264059052787987e-17
51408.447599992665	nan	nan	nan	nan	2.320758885323645e-16	8.549321684437241e-18	nan	nan	3.5934029118156226e-16	1.4480197806087468e-17
51408.49759999267	nan	nan	nan	nan	2.3735416177436575e-16	8.677666749869564e-18	nan	nan	3.6757558629137167e-16	1.469564061776045e-17
51408.54759999267	nan	nan	nan	nan	2.426470142582729e-16	8.806206188307938e-18	nan	nan	3.758357538497815e-16	1.4910567390771254e-17
51408.597599992674	nan	nan	nan	nan	2.479543476594612e-16	8.93475416080043e-18	nan	nan	3.8412041086034915e-16	1.51252023225405e-17
51408.64759999268	nan	nan	nan	nan	2.532760641110305e-16	9.06316817780521e-18	nan	nan	3.9242917527328627e-16	1.5339807746656277e-17
51408.69759999268	nan	nan	nan	nan	2.5861206619828696e-16	9.191351281323015e-18	nan	nan	4.0076167709541816e-16	1.55544977862505e-17
51408.74759999268	nan	nan	nan	nan	2.6396225695319637e-16	9.319253095484413e-18	nan	nan	4.0911756561059745e-16	1.5769118229592023e-17
51408.797599992686	nan	nan	nan	nan	2.6932653984887847e-16	9.446869870932807e-18	nan	nan	4.1749649255898616e-16	1.5983524095080587e-17
51408.84759999269	nan	nan	nan	nan	2.747048187941205e-16	9.574243626348516e-18	nan	nan	4.258981104008517e-16	1.6197609958724143e-17
51408.89759999269	nan	nan	nan	nan	2.8009699812787575e-16	9.70146047123082e-18	nan	nan	4.3432207230060613e-16	1.641131122860785e-17
