#wls	flux	flux_err
3639.9600	1.2214e-15	1.4865e-16
3644.8900	1.1474e-15	1.4865e-16
3649.8200	1.1062e-15	1.4865e-16
3654.7700	1.0717e-15	1.4865e-16
3659.7200	1.0409e-15	1.6540e-16
3664.6800	9.4650e-16	1.6725e-16
3669.6400	9.5472e-16	1.7467e-16
3674.6100	9.3461e-16	1.7805e-16
3679.5900	9.5097e-16	2.1840e-16
3684.5800	9.5449e-16	2.1697e-16
3689.5700	1.0162e-15	1.9571e-16
3694.5700	1.0509e-15	2.3998e-16
3699.5700	1.0895e-15	3.0662e-16
3704.5800	1.1773e-15	3.2841e-16
3709.6000	1.2811e-15	3.2523e-16
3714.6300	1.3665e-15	2.9855e-16
3719.6600	1.4651e-15	3.3664e-16
3724.7000	1.5980e-15	3.4199e-16
3729.7400	1.7180e-15	3.0845e-16
3734.8000	1.8184e-15	2.5732e-16
3739.8600	1.8389e-15	2.2151e-16
3744.9200	1.9088e-15	2.2133e-16
3750.0000	2.0113e-15	2.1747e-16
3755.0800	2.1096e-15	1.5563e-16
3760.1600	2.1076e-15	1.4787e-16
3765.2600	2.0170e-15	1.3128e-16
3770.3600	2.0219e-15	1.1578e-16
3775.4700	1.9555e-15	2.2890e-16
3780.5800	1.8830e-15	2.4882e-16
3785.7000	1.8131e-15	2.4689e-16
3790.8300	1.7646e-15	3.2033e-16
3795.9700	1.7012e-15	3.1754e-16
3801.1100	1.6465e-15	3.2168e-16
3806.2600	1.6395e-15	2.9554e-16
3811.4200	1.6515e-15	2.4152e-16
3816.5800	1.6359e-15	2.2920e-16
3821.7500	1.6206e-15	2.3939e-16
3826.9300	1.6223e-15	1.4608e-16
3832.1100	1.6271e-15	1.4584e-16
3837.3000	1.5953e-15	1.2734e-16
3842.5000	1.5264e-15	1.4184e-16
3847.7100	1.4924e-15	1.6351e-16
3852.9200	1.5235e-15	1.4345e-16
3858.1400	1.5727e-15	1.2589e-16
3863.3700	1.5867e-15	1.3639e-16
3868.6000	1.5552e-15	1.3332e-16
3873.8400	1.6342e-15	1.4210e-16
3879.0900	1.7855e-15	1.2228e-16
3884.3400	1.9975e-15	2.1352e-16
3889.6100	2.3728e-15	2.0450e-16
3894.8700	2.8379e-15	2.0591e-16
3900.1500	3.3638e-15	3.2655e-16
3905.4300	3.9275e-15	3.2262e-16
3910.7300	4.4882e-15	3.4062e-16
3916.0200	5.0001e-15	3.5687e-16
3921.3300	5.3671e-15	2.9601e-16
3926.6400	5.5267e-15	3.1599e-16
3931.9600	5.5889e-15	3.1374e-16
3937.2900	5.5196e-15	2.2328e-16
3942.6200	5.3196e-15	2.3560e-16
3947.9600	5.0343e-15	2.0077e-16
3953.3100	4.6777e-15	1.4950e-16
3958.6700	4.3837e-15	2.6678e-16
3964.0300	4.1228e-15	2.4791e-16
3969.4000	3.9724e-15	2.7587e-16
3974.7800	3.8225e-15	2.7727e-16
3980.1600	3.8160e-15	2.6623e-16
3985.5500	3.8929e-15	2.6624e-16
3990.9500	4.0492e-15	2.6123e-16
3996.3600	4.3161e-15	1.4523e-16
4001.7700	4.6724e-15	1.3669e-16
4007.1900	5.0665e-15	1.0654e-16
4012.6200	5.5038e-15	9.7041e-17
4018.0600	5.9866e-15	1.0015e-16
4023.5000	6.5120e-15	1.2211e-16
4028.9500	6.9626e-15	1.2190e-16
4034.4100	7.3134e-15	1.0628e-16
4039.8800	7.6348e-15	1.1472e-16
4045.3500	7.8928e-15	1.1146e-16
4050.8300	8.0557e-15	1.0983e-16
4056.3200	8.1444e-15	1.6982e-16
4061.8100	8.2031e-15	1.6025e-16
4067.3200	8.2593e-15	1.9462e-16
4072.8300	8.3113e-15	1.8758e-16
4078.3400	8.3199e-15	2.0531e-16
4083.8700	8.2480e-15	2.5435e-16
4089.4000	8.1154e-15	2.7778e-16
4094.9400	7.9915e-15	2.3951e-16
4100.4900	7.8904e-15	3.0094e-16
4106.0400	7.7913e-15	3.5466e-16
4111.6100	7.7319e-15	3.5466e-16
4117.1800	7.7313e-15	3.4519e-16
4122.7500	7.7511e-15	3.2853e-16
4128.3400	7.8116e-15	2.9567e-16
4133.9300	7.9068e-15	3.1151e-16
4139.5300	7.9716e-15	2.7926e-16
4145.1400	8.0076e-15	1.3174e-16
4150.7500	7.9822e-15	1.9255e-16
4156.3800	7.8896e-15	2.1302e-16
4162.0100	7.7626e-15	2.0252e-16
4167.6500	7.5805e-15	1.9886e-16
4173.2900	7.3232e-15	1.7381e-16
4178.9500	7.0069e-15	2.7930e-16
4184.6100	6.6914e-15	3.5054e-16
4190.2800	6.2963e-15	3.2307e-16
4195.9500	5.8880e-15	3.9530e-16
4201.6400	5.4866e-15	4.3945e-16
4207.3300	5.1339e-15	4.4163e-16
4213.0300	4.8245e-15	4.4193e-16
4218.7400	4.5885e-15	3.7780e-16
4224.4500	4.4726e-15	3.2772e-16
4230.1800	4.4950e-15	3.2252e-16
4235.9100	4.6567e-15	2.6055e-16
4241.6400	4.9875e-15	1.4875e-16
4247.3900	5.4184e-15	1.3421e-16
4253.1500	5.9577e-15	1.4497e-16
4258.9100	6.4861e-15	1.4791e-16
4264.6800	6.9672e-15	6.4423e-17
4270.4500	7.4420e-15	4.9853e-17
4276.2400	7.9316e-15	5.0906e-17
4282.0300	8.3359e-15	1.3422e-16
