#wls	flux	flux_err
4429.4400	1.1759e+01	2.4290e-01
4435.4400	1.2364e+01	2.1935e-01
4441.4500	1.2939e+01	3.3090e-01
4447.4600	1.3493e+01	3.1344e-01
4453.4900	1.3931e+01	2.7838e-01
4459.5200	1.4291e+01	2.1510e-01
4465.5600	1.4520e+01	2.6998e-01
4471.6100	1.4686e+01	2.7493e-01
4477.6700	1.4862e+01	1.6505e-01
4483.7400	1.5009e+01	1.8947e-01
4489.8100	1.5139e+01	2.4631e-01
4495.8900	1.5265e+01	2.5101e-01
4501.9800	1.5403e+01	2.0193e-01
4508.0800	1.5608e+01	2.4220e-01
4514.1900	1.5928e+01	2.4613e-01
4520.3100	1.6415e+01	2.7833e-01
4526.4300	1.7020e+01	2.6080e-01
4532.5600	1.7733e+01	2.4811e-01
4538.7000	1.8473e+01	2.5134e-01
4544.8500	1.9178e+01	2.0681e-01
4551.0100	1.9789e+01	2.4854e-01
4557.1700	2.0297e+01	1.6923e-01
4563.3500	2.0698e+01	1.2677e-01
4569.5300	2.0994e+01	1.6545e-01
4575.7200	2.1205e+01	2.3862e-01
4581.9200	2.1345e+01	2.3287e-01
4588.1300	2.1408e+01	1.6550e-01
4594.3400	2.1441e+01	1.4197e-01
4600.5700	2.1376e+01	1.9291e-01
4606.8000	2.1221e+01	2.3799e-01
4613.0400	2.0968e+01	2.2312e-01
4619.2900	2.0648e+01	1.8654e-01
4625.5500	2.0281e+01	1.9084e-01
4631.8100	1.9814e+01	2.9696e-01
4638.0900	1.9230e+01	3.4378e-01
4644.3700	1.8643e+01	3.3408e-01
4650.6600	1.8232e+01	2.7362e-01
4656.9600	1.8040e+01	2.4184e-01
4663.2700	1.7993e+01	2.8439e-01
4669.5900	1.7964e+01	2.8740e-01
4675.9200	1.7643e+01	5.7657e-01
4682.2500	1.6927e+01	1.0167e+00
4688.5900	1.5852e+01	1.0740e+00
4694.9400	1.4489e+01	1.0416e+00
4701.3000	1.3046e+01	1.2571e+00
4707.6700	1.1743e+01	1.6719e+00
4714.0500	1.0742e+01	1.7501e+00
4720.4400	1.0206e+01	1.3669e+00
4726.8300	1.0096e+01	1.2771e+00
4733.2400	1.0416e+01	1.5325e+00
4739.6500	1.1090e+01	1.5689e+00
4746.0700	1.2062e+01	1.1526e+00
4752.5000	1.3175e+01	6.4232e-01
4758.9400	1.4243e+01	7.4522e-01
4765.3800	1.5034e+01	8.4299e-01
4771.8400	1.5490e+01	6.9554e-01
4778.3000	1.5751e+01	3.8610e-01
4784.7800	1.5917e+01	3.5901e-01
4791.2600	1.6152e+01	4.6638e-01
4797.7500	1.6457e+01	5.3347e-01
4804.2500	1.6718e+01	4.0417e-01
4810.7600	1.6846e+01	2.2600e-01
4817.2800	1.6876e+01	2.3785e-01
4823.8000	1.6891e+01	3.5779e-01
4830.3400	1.6941e+01	3.7005e-01
4836.8800	1.6928e+01	2.5059e-01
4843.4300	1.6800e+01	2.4879e-01
4849.9900	1.6670e+01	3.3209e-01
4856.5600	1.6565e+01	5.2077e-01
4863.1400	1.6473e+01	4.7353e-01
4869.7300	1.6320e+01	5.3211e-01
4876.3300	1.6049e+01	6.2357e-01
4882.9400	1.5601e+01	6.2263e-01
4889.5500	1.5010e+01	6.7451e-01
4896.1700	1.4278e+01	6.2133e-01
4902.8100	1.3456e+01	6.1530e-01
4909.4500	1.2729e+01	5.6121e-01
4916.1000	1.2245e+01	4.7828e-01
4922.7600	1.2124e+01	5.6275e-01
4929.4300	1.2360e+01	4.5482e-01
4936.1100	1.2926e+01	3.1498e-01
4942.7900	1.3741e+01	3.8768e-01
4949.4900	1.4881e+01	4.4462e-01
4956.2000	1.6394e+01	4.0761e-01
4962.9100	1.8204e+01	3.7781e-01
4969.6300	2.0006e+01	3.7983e-01
4976.3700	2.1469e+01	4.0675e-01
4983.1100	2.2442e+01	5.8713e-01
4989.8600	2.2876e+01	7.0780e-01
4996.6200	2.2856e+01	6.8106e-01
5003.3900	2.2499e+01	7.1915e-01
5010.1700	2.1963e+01	1.0366e+00
5016.9500	2.1319e+01	1.1801e+00
5023.7500	2.0605e+01	1.0063e+00
5030.5500	1.9849e+01	8.8973e-01
5037.3700	1.9087e+01	1.0824e+00
5044.1900	1.8344e+01	1.1965e+00
5051.0300	1.7556e+01	9.3647e-01
5057.8700	1.6749e+01	6.0555e-01
5064.7200	1.5968e+01	6.5031e-01
5071.5800	1.5204e+01	7.0819e-01
5078.4500	1.4500e+01	6.1807e-01
5085.3300	1.3973e+01	3.5374e-01
5092.2200	1.3747e+01	1.6424e-01
5099.1200	1.3992e+01	4.4403e-01
5106.0300	1.4737e+01	5.6810e-01
5112.9500	1.5854e+01	5.6281e-01
5119.8700	1.7141e+01	4.9725e-01
5126.8100	1.8390e+01	3.5465e-01
5133.7500	1.9522e+01	2.7680e-01
5140.7100	2.0448e+01	2.2508e-01
5147.6700	2.1155e+01	8.4748e-02
5154.6500	2.1583e+01	1.2900e-01
5161.6300	2.1749e+01	1.8843e-01
5168.6200	2.1723e+01	1.8819e-01
5175.6200	2.1647e+01	2.1055e-01
5182.6400	2.1585e+01	1.9515e-01
5189.6600	2.1482e+01	1.8912e-01
5196.6900	2.1382e+01	2.0061e-01
5203.7300	2.1362e+01	1.7270e-01
5210.7800	2.1428e+01	1.7070e-01
5217.8400	2.1553e+01	2.0062e-01
5224.9100	2.1646e+01	2.1009e-01
5231.9800	2.1697e+01	2.1166e-01
5239.0700	2.1727e+01	1.6140e-01
5246.1700	2.1720e+01	1.2272e-01
5253.2800	2.1711e+01	1.4840e-01
5260.3900	2.1685e+01	1.5043e-01
5267.5200	2.1656e+01	1.5390e-01
5274.6600	2.1719e+01	1.4931e-01
5281.8000	2.1818e+01	1.2752e-01
5288.9600	2.1963e+01	1.1315e-01
5296.1200	2.2110e+01	2.1860e-01
5303.3000	2.2247e+01	2.4717e-01
5310.4800	2.2284e+01	2.0135e-01
5317.6700	2.2246e+01	2.1378e-01
5324.8800	2.2120e+01	2.4756e-01
5332.0900	2.1864e+01	2.3791e-01
5339.3200	2.1505e+01	2.0944e-01
5346.5500	2.1136e+01	1.5583e-01
5353.7900	2.0829e+01	1.4546e-01
5361.0500	2.0711e+01	1.6828e-01
5368.3100	2.0788e+01	2.3210e-01
5375.5800	2.1047e+01	2.4287e-01
5382.8600	2.1402e+01	2.5080e-01
5390.1600	2.1768e+01	3.7347e-01
5397.4600	2.2082e+01	4.5912e-01
5404.7700	2.2227e+01	4.7085e-01
5412.0900	2.2185e+01	3.8333e-01
5419.4200	2.1928e+01	4.1156e-01
5426.7700	2.1488e+01	4.5454e-01
5434.1200	2.0963e+01	4.1417e-01
5441.4800	2.0410e+01	3.3160e-01
5448.8500	1.9796e+01	1.7717e-01
5456.2300	1.9372e+01	2.0668e-01
5463.6200	1.9264e+01	1.5435e-01
5471.0300	1.9604e+01	1.3572e-01
5478.4400	2.0228e+01	1.8157e-01
5485.8600	2.1177e+01	3.2499e-01
5493.2900	2.2408e+01	3.2857e-01
5500.7300	2.3729e+01	5.5508e-01
5508.1800	2.5177e+01	5.5762e-01
5515.6500	2.6476e+01	5.5343e-01
5523.1200	2.7613e+01	5.5279e-01
5530.6000	2.8507e+01	4.6684e-01
5538.0900	2.9051e+01	4.4684e-01
5545.6000	2.9140e+01	2.8925e-01
5553.1100	2.8691e+01	3.2291e-01
5560.6300	2.7768e+01	3.2556e-01
5568.1700	2.6429e+01	4.6423e-01
5575.7100	2.4884e+01	5.0662e-01
5583.2600	2.3372e+01	6.9876e-01
5590.8300	2.2012e+01	7.5717e-01
5598.4000	2.0749e+01	7.2741e-01
5605.9800	1.9834e+01	7.1752e-01
5613.5800	1.9254e+01	4.9049e-01
5621.1800	1.8965e+01	6.1340e-01
5628.8000	1.8769e+01	4.9136e-01
5636.4200	1.8785e+01	3.1942e-01
5644.0600	1.8924e+01	3.2552e-01
5651.7100	1.8987e+01	3.7925e-01
5659.3600	1.8909e+01	4.1804e-01
5667.0300	1.8418e+01	3.1464e-01
5674.7100	1.7593e+01	4.5140e-01
5682.3900	1.6462e+01	6.0597e-01
5690.0900	1.5040e+01	5.6560e-01
5697.8000	1.3418e+01	5.6040e-01
5705.5200	1.1740e+01	5.8702e-01
5713.2500	1.0089e+01	6.7831e-01
5720.9900	8.5346e+00	6.0506e-01
5728.7400	7.1582e+00	3.5990e-01
5736.5000	6.0445e+00	4.9619e-01
5744.2700	5.3011e+00	5.9328e-01
5752.0500	5.0020e+00	5.4483e-01
5759.8400	5.2694e+00	5.1534e-01
5767.6500	6.0935e+00	5.2268e-01
5775.4600	7.2458e+00	5.4631e-01
5783.2900	8.6219e+00	4.5416e-01
5791.1200	1.0224e+01	4.3725e-01
5798.9700	1.2034e+01	5.4966e-01
5806.8200	1.3933e+01	4.8359e-01
5814.6900	1.5937e+01	5.2808e-01
5822.5700	1.8245e+01	6.5923e-01
5830.4500	2.0407e+01	6.5889e-01
5838.3500	2.2174e+01	6.3669e-01
5846.2600	2.3516e+01	6.6222e-01
5854.1800	2.4477e+01	7.6059e-01
5862.1100	2.5075e+01	7.4018e-01
5870.0500	2.5380e+01	5.5353e-01
5878.0100	2.5475e+01	1.2992e+00
5885.9700	2.5341e+01	1.2968e+00
5893.9400	2.5046e+01	1.2682e+00
5901.9300	2.4642e+01	1.2153e+00
5909.9200	2.4218e+01	1.0932e+00
5917.9300	2.3909e+01	1.1233e+00
5925.9500	2.3709e+01	3.7832e-01
5933.9700	2.3532e+01	3.2780e-01
5942.0100	2.3275e+01	2.6152e-01
5950.0600	2.2854e+01	2.1364e-01
5958.1200	2.2214e+01	2.4251e-01
5966.2000	2.1261e+01	2.2298e-01
5974.2800	2.0157e+01	2.5384e-01
5982.3700	1.9236e+01	2.2698e-01
5990.4800	1.8275e+01	2.4384e-01
5998.5900	1.7290e+01	2.2748e-01
6006.7200	1.6400e+01	1.4532e-01
6014.8500	1.5675e+01	1.4309e-01
6023.0000	1.5042e+01	1.2065e-01
6031.1600	1.4587e+01	1.1581e-01
6039.3300	1.4302e+01	4.7744e-02
6047.5200	1.4094e+01	1.3166e-02
6055.7100	1.3947e+01	1.3164e-02
6063.9100	1.3867e+01	7.4774e-02
6072.1300	1.3867e+01	1.2579e-01
6080.3500	1.3993e+01	1.2402e-01
6088.5900	1.4202e+01	1.4062e-01
6096.8400	1.4486e+01	1.1904e-01
6105.1000	1.4767e+01	1.4598e-01
6113.3700	1.4999e+01	2.7183e-01
6121.6500	1.5128e+01	2.6820e-01
6129.9400	1.5193e+01	2.6008e-01
6138.2500	1.5179e+01	2.1568e-01
6146.5600	1.5063e+01	1.8328e-01
6154.8900	1.4655e+01	1.8338e-01
6163.2300	1.4285e+01	1.0826e-01
6171.5800	1.4052e+01	8.0304e-02
6179.9400	1.4192e+01	1.4365e-01
6188.3100	1.4735e+01	5.4152e-01
6196.6900	1.5802e+01	7.2291e-01
6205.0900	1.7489e+01	6.7390e-01
6213.5000	1.9447e+01	1.1271e+00
6221.9100	2.1440e+01	1.2301e+00
6230.3400	2.3150e+01	1.3616e+00
6238.7800	2.4600e+01	1.1816e+00
6247.2300	2.5899e+01	8.2686e-01
6255.7000	2.6846e+01	1.0358e+00
6264.1700	2.7407e+01	1.4100e+00
6272.6600	2.7607e+01	1.3219e+00
6281.1600	2.7457e+01	1.0949e+00
6289.6700	2.6998e+01	1.4666e+00
6298.1900	2.6353e+01	1.5735e+00
6306.7200	2.5433e+01	1.4975e+00
6315.2600	2.4011e+01	9.2736e-01
6323.8200	2.2108e+01	6.4693e-01
6332.3800	2.0158e+01	8.4104e-01
6340.9600	1.8276e+01	9.0230e-01
6349.5500	1.6738e+01	1.0550e+00
6358.1500	1.5573e+01	1.1358e+00
6366.7700	1.5048e+01	9.4232e-01
6375.3900	1.5409e+01	1.4645e+00
6384.0300	1.6434e+01	1.6664e+00
6392.6800	1.7962e+01	1.5968e+00
6401.3400	1.9570e+01	1.3217e+00
6410.0100	2.1171e+01	1.0324e+00
6418.7000	2.2703e+01	1.0516e+00
6427.3900	2.3882e+01	7.4393e-01
6436.1000	2.4766e+01	4.1606e-01
6444.8200	2.5383e+01	1.6451e-01
6453.5500	2.5853e+01	1.6742e-01
6462.2900	2.6265e+01	1.2387e-01
6471.0400	2.6697e+01	2.9740e-01
6479.8100	2.6950e+01	3.9559e-01
6488.5900	2.6823e+01	4.0038e-01
6497.3800	2.6406e+01	3.7545e-01
6506.1800	2.5605e+01	3.0454e-01
6515.0000	2.4489e+01	3.3791e-01
6523.8200	2.3214e+01	3.1172e-01
6532.6600	2.1833e+01	2.3301e-01
6541.5100	2.0535e+01	8.9969e-02
6550.3700	1.9439e+01	2.8298e-01
6559.2500	1.8669e+01	3.3621e-01
6568.1300	1.8293e+01	4.0495e-01
6577.0300	1.8253e+01	5.2207e-01
6585.9400	1.8463e+01	5.4642e-01
6594.8600	1.8819e+01	5.5149e-01
6603.8000	1.9233e+01	4.3406e-01
6612.7400	1.9654e+01	2.3123e-01
6621.7000	1.9932e+01	2.6435e-01
6630.6700	2.0085e+01	1.4500e-01
6639.6500	2.0011e+01	9.6984e-02
6648.6500	1.9734e+01	7.4729e-02
6657.6600	1.9308e+01	7.5280e-02
6666.6800	1.8852e+01	9.9436e-02
6675.7100	1.8369e+01	9.4854e-02
6684.7500	1.7833e+01	1.0921e-01
6693.8100	1.7256e+01	1.0974e-01
6702.8800	1.6694e+01	1.1249e-01
6711.9600	1.6118e+01	1.2228e-01
6721.0500	1.5529e+01	1.0138e-01
6730.1500	1.4868e+01	1.0956e-01
6739.2700	1.4187e+01	1.7557e-01
6748.4000	1.3489e+01	1.5144e-01
6757.5400	1.2755e+01	1.8116e-01
6766.7000	1.2018e+01	2.1142e-01
6775.8600	1.1298e+01	2.1268e-01
6785.0400	1.0621e+01	2.0927e-01
6794.2400	9.9796e+00	1.7185e-01
6803.4400	9.3748e+00	1.7621e-01
6812.6600	8.8653e+00	1.6265e-01
6821.8900	8.4267e+00	1.1574e-01
6831.1300	8.0684e+00	1.2528e-01
6840.3800	7.8279e+00	1.6383e-01
6849.6500	7.6843e+00	1.1058e-01
6858.9300	7.5925e+00	1.0373e-01
6868.2200	7.5277e+00	1.9996e-01
6877.5200	7.3945e+00	3.1580e-01
6886.8400	7.1364e+00	3.4477e-01
6896.1700	6.9292e+00	2.7910e-01
6905.5100	6.9908e+00	3.7568e-01
6914.8700	7.3433e+00	6.4724e-01
6924.2400	8.0427e+00	8.0121e-01
6933.6200	8.8853e+00	6.9819e-01
6943.0100	9.9739e+00	8.1131e-01
6952.4200	1.1296e+01	1.2073e+00
6961.8300	1.2800e+01	1.2300e+00
6971.2700	1.4467e+01	1.1830e+00
6980.7100	1.6120e+01	1.1452e+00
6990.1700	1.7585e+01	1.1800e+00
6999.6400	1.8771e+01	1.1832e+00
7009.1200	1.9591e+01	8.8800e-01
7018.6100	2.0068e+01	8.4400e-01
7028.1200	2.0293e+01	7.7672e-01
7037.6400	2.0379e+01	6.9849e-01
7047.1800	2.0447e+01	6.3790e-01
7056.7300	2.0390e+01	5.0078e-01
7066.2900	2.0128e+01	4.7782e-01
7075.8600	1.9590e+01	4.7004e-01
7085.4400	1.9122e+01	4.6895e-01
7095.0400	1.8798e+01	4.3090e-01
7104.6500	1.8555e+01	4.7946e-01
7114.2800	1.8416e+01	4.6222e-01
7123.9200	1.8000e+01	6.5832e-01
7133.5700	1.7399e+01	8.5481e-01
7143.2300	1.6688e+01	8.8723e-01
7152.9100	1.6035e+01	9.6858e-01
7162.6000	1.5526e+01	1.0286e+00
7172.3000	1.5131e+01	1.1010e+00
7182.0200	1.4868e+01	1.0247e+00
7191.7500	1.4772e+01	8.7243e-01
7201.4900	1.4821e+01	1.0052e+00
7211.2500	1.5030e+01	9.7158e-01
7221.0200	1.5461e+01	8.9194e-01
7230.8000	1.6125e+01	8.0804e-01
7240.5900	1.6938e+01	7.1010e-01
7250.4000	1.7669e+01	6.7809e-01
7260.2300	1.8252e+01	3.5498e-01
7270.0600	1.8596e+01	2.4385e-01
7279.9100	1.8890e+01	3.2909e-01
7289.7700	1.9057e+01	2.9616e-01
7299.6500	1.9105e+01	2.7534e-01
7309.5400	1.9058e+01	2.4842e-01
7319.4400	1.8758e+01	2.3739e-01
7329.3600	1.8182e+01	2.4096e-01
7339.2800	1.7406e+01	1.3744e-01
7349.2300	1.6602e+01	1.2802e-01
7359.1800	1.5766e+01	1.2089e-01
7369.1500	1.4939e+01	1.3633e-01
7379.1400	1.4174e+01	1.2223e-01
7389.1300	1.3524e+01	1.2162e-01
7399.1400	1.2999e+01	1.0855e-01
7409.1700	1.2514e+01	1.6904e-01
7419.2000	1.2103e+01	1.5814e-01
7429.2500	1.1822e+01	1.4135e-01
7439.3200	1.1581e+01	1.4074e-01
7449.4000	1.1304e+01	1.3314e-01
7459.4900	1.1079e+01	1.4162e-01
7469.5900	1.0863e+01	9.6593e-02
7479.7100	1.0598e+01	1.2399e-01
7489.8500	1.0313e+01	1.1980e-01
7499.9900	1.0025e+01	1.5246e-01
7510.1500	9.6907e+00	1.6422e-01
7520.3300	9.3275e+00	2.3745e-01
7530.5200	8.9213e+00	2.4040e-01
7540.7200	8.4666e+00	2.7571e-01
7550.9300	8.0330e+00	2.8520e-01
7561.1600	7.6375e+00	2.6833e-01
7571.4100	7.2890e+00	2.8536e-01
7581.6600	7.0310e+00	1.7400e-01
7591.9300	6.8522e+00	2.0831e-01
7602.2200	6.6309e+00	2.1221e-01
7612.5200	6.4321e+00	2.2683e-01
7622.8300	6.3550e+00	2.1491e-01
7633.1600	6.4208e+00	1.5157e-01
7643.5000	6.6034e+00	2.7677e-01
7653.8500	6.8555e+00	4.2471e-01
7664.2200	7.2979e+00	3.7927e-01
7674.6000	7.8911e+00	5.5130e-01
7685.0000	8.5589e+00	5.5963e-01
7695.4100	9.3809e+00	5.6114e-01
7705.8400	1.0263e+01	5.3153e-01
7716.2800	1.1113e+01	3.9833e-01
7726.7300	1.1915e+01	3.8366e-01
7737.2000	1.2579e+01	1.4158e-01
7747.6800	1.3044e+01	1.6561e-01
7758.1800	1.3240e+01	1.7680e-01
7768.6900	1.3176e+01	1.9787e-01
7779.2100	1.2922e+01	1.8115e-01
7789.7500	1.2605e+01	1.7691e-01
7800.3000	1.2217e+01	2.4471e-01
7810.8700	1.1658e+01	2.4020e-01
7821.4500	1.1062e+01	1.9410e-01
7832.0500	1.0471e+01	2.3366e-01
7842.6600	9.8778e+00	2.8140e-01
7853.2800	9.3361e+00	3.0020e-01
7863.9200	8.8440e+00	2.5834e-01
7874.5700	8.4336e+00	2.4193e-01
7885.2400	8.0525e+00	2.4806e-01
7895.9200	7.7163e+00	2.4056e-01
7906.6200	7.4670e+00	1.8385e-01
7917.3300	7.2321e+00	1.5461e-01
7928.0600	7.0092e+00	1.6782e-01
7938.8000	6.8514e+00	1.3756e-01
7949.5500	6.7472e+00	1.0097e-01
7960.3200	6.6807e+00	8.2610e-02
7971.1100	6.5964e+00	7.7866e-02
7981.9100	6.4748e+00	5.5413e-02
7992.7200	6.3144e+00	3.3708e-02
8003.5500	6.1519e+00	3.6490e-02
8014.3900	6.0059e+00	2.4977e-02
8025.2500	5.8806e+00	4.8530e-02
8036.1200	5.7820e+00	4.8530e-02
8047.0000	5.6997e+00	4.8530e-02
