#wls	flux	flux_err
4021.0000	1.5568e-15	3.0599e-16
4022.0000	1.5687e-15	3.0599e-16
4023.0000	1.5796e-15	3.0599e-16
4024.0000	1.5896e-15	3.0599e-16
4025.0000	1.5989e-15	3.0599e-16
4026.0000	1.6080e-15	3.0599e-16
4027.0000	1.6173e-15	3.0599e-16
4028.0000	1.6272e-15	3.0599e-16
4029.0000	1.6380e-15	3.0599e-16
4030.0000	1.6497e-15	3.0599e-16
4031.0000	1.6621e-15	3.0599e-16
4032.0000	1.6751e-15	3.0599e-16
4033.0000	1.6881e-15	3.0599e-16
4034.0000	1.7008e-15	3.0599e-16
4035.0000	1.7126e-15	3.0599e-16
4036.0000	1.7231e-15	3.0599e-16
4037.0000	1.7321e-15	3.0599e-16
4038.0000	1.7396e-15	3.0599e-16
4039.0000	1.7457e-15	3.0599e-16
4040.0000	1.7509e-15	3.0599e-16
4041.0000	1.7555e-15	3.0599e-16
4042.0000	1.7601e-15	3.0599e-16
4043.0000	1.7652e-15	3.0599e-16
4044.0000	1.7711e-15	3.0599e-16
4045.0000	1.7779e-15	3.0599e-16
4046.0000	1.7856e-15	3.0719e-16
4047.0000	1.7939e-15	3.0983e-16
4048.0000	1.8025e-15	3.1133e-16
4049.0000	1.8111e-15	3.1163e-16
4050.0000	1.8193e-15	3.1128e-16
4051.0000	1.8266e-15	3.1095e-16
4052.0000	1.8330e-15	3.1112e-16
4053.0000	1.8382e-15	3.1188e-16
4054.0000	1.8425e-15	3.1283e-16
4055.0000	1.8457e-15	3.1353e-16
4056.0000	1.8481e-15	3.1385e-16
4057.0000	1.8498e-15	3.1391e-16
4058.0000	1.8511e-15	3.1400e-16
4059.0000	1.8520e-15	3.1435e-16
4060.0000	1.8527e-15	3.1693e-16
4061.0000	1.8531e-15	3.2424e-16
4062.0000	1.8511e-15	3.3253e-16
4063.0000	1.8464e-15	3.3834e-16
4064.0000	1.8399e-15	3.4061e-16
4065.0000	1.8330e-15	3.4069e-16
4066.0000	1.8269e-15	3.4087e-16
4067.0000	1.8221e-15	3.4151e-16
4068.0000	1.8192e-15	3.4261e-16
4069.0000	1.8183e-15	3.4384e-16
4070.0000	1.8185e-15	3.4474e-16
4071.0000	1.8178e-15	3.4508e-16
4072.0000	1.8163e-15	3.4502e-16
4073.0000	1.8142e-15	3.4497e-16
4074.0000	1.8120e-15	3.4493e-16
4075.0000	1.8097e-15	3.4397e-16
4076.0000	1.8073e-15	3.4034e-16
4077.0000	1.8049e-15	3.3205e-16
4078.0000	1.8023e-15	3.1772e-16
4079.0000	1.7993e-15	2.9755e-16
4080.0000	1.7956e-15	2.7404e-16
4081.0000	1.7909e-15	2.5228e-16
4082.0000	1.7851e-15	2.3759e-16
4083.0000	1.7780e-15	2.3236e-16
4084.0000	1.7699e-15	2.3462e-16
4085.0000	1.7609e-15	2.3958e-16
4086.0000	1.7513e-15	2.4285e-16
4087.0000	1.7416e-15	2.4269e-16
4088.0000	1.7322e-15	2.4014e-16
4089.0000	1.7236e-15	2.3749e-16
4090.0000	1.7161e-15	2.3651e-16
4091.0000	1.7097e-15	2.3778e-16
4092.0000	1.7046e-15	2.4041e-16
4093.0000	1.7006e-15	2.4266e-16
4094.0000	1.6975e-15	2.4298e-16
4095.0000	1.6950e-15	2.4055e-16
4096.0000	1.6929e-15	2.3477e-16
4097.0000	1.6906e-15	2.3049e-16
4098.0000	1.6880e-15	2.2887e-16
4099.0000	1.6853e-15	2.2957e-16
4100.0000	1.6826e-15	2.3126e-16
4101.0000	1.6806e-15	2.3248e-16
4102.0000	1.6797e-15	2.3226e-16
4103.0000	1.6805e-15	2.3043e-16
4104.0000	1.6833e-15	2.2725e-16
4105.0000	1.6885e-15	2.2303e-16
4106.0000	1.6961e-15	2.1818e-16
4107.0000	1.7059e-15	2.1311e-16
4108.0000	1.7176e-15	2.0827e-16
4109.0000	1.7307e-15	2.0123e-16
4110.0000	1.7448e-15	1.8727e-16
4111.0000	1.7594e-15	1.7048e-16
4112.0000	1.7741e-15	1.5621e-16
4113.0000	1.7886e-15	1.5426e-16
4114.0000	1.8031e-15	1.6585e-16
4115.0000	1.8176e-15	1.8138e-16
4116.0000	1.8326e-15	1.9360e-16
4117.0000	1.8483e-15	2.0058e-16
4118.0000	1.8652e-15	2.0099e-16
4119.0000	1.8835e-15	1.9807e-16
4120.0000	1.9033e-15	1.9581e-16
4121.0000	1.9246e-15	1.9462e-16
4122.0000	1.9469e-15	1.9430e-16
4123.0000	1.9691e-15	1.9439e-16
4124.0000	1.9885e-15	1.9453e-16
4125.0000	2.0049e-15	1.9483e-16
4126.0000	2.0185e-15	1.9578e-16
4127.0000	2.0297e-15	1.9794e-16
4128.0000	2.0389e-15	2.0126e-16
4129.0000	2.0465e-15	2.0494e-16
4130.0000	2.0531e-15	2.0777e-16
4131.0000	2.0595e-15	2.0854e-16
4132.0000	2.0666e-15	2.0669e-16
4133.0000	2.0749e-15	2.0281e-16
4134.0000	2.0849e-15	1.9847e-16
4135.0000	2.0967e-15	1.9544e-16
4136.0000	2.1104e-15	1.9456e-16
4137.0000	2.1255e-15	1.9552e-16
4138.0000	2.1413e-15	1.9683e-16
4139.0000	2.1574e-15	1.9697e-16
4140.0000	2.1730e-15	1.9513e-16
4141.0000	2.1877e-15	1.9172e-16
4142.0000	2.2011e-15	1.8800e-16
4143.0000	2.2127e-15	1.8523e-16
4144.0000	2.2221e-15	1.8406e-16
4145.0000	2.2291e-15	1.8429e-16
4146.0000	2.2335e-15	1.8511e-16
4147.0000	2.2371e-15	1.8564e-16
4148.0000	2.2405e-15	1.8545e-16
4149.0000	2.2442e-15	1.8470e-16
4150.0000	2.2486e-15	1.8384e-16
4151.0000	2.2540e-15	1.8325e-16
4152.0000	2.2604e-15	1.8311e-16
4153.0000	2.2675e-15	1.8324e-16
4154.0000	2.2735e-15	1.8334e-16
4155.0000	2.2774e-15	1.8324e-16
4156.0000	2.2794e-15	1.8303e-16
4157.0000	2.2797e-15	1.8300e-16
4158.0000	2.2786e-15	1.8344e-16
4159.0000	2.2773e-15	1.8449e-16
4160.0000	2.2772e-15	1.8599e-16
4161.0000	2.2773e-15	1.8928e-16
4162.0000	2.2764e-15	1.8952e-16
4163.0000	2.2733e-15	1.8268e-16
4164.0000	2.2671e-15	1.6909e-16
4165.0000	2.2581e-15	1.5318e-16
4166.0000	2.2471e-15	1.3818e-16
4167.0000	2.2341e-15	1.2990e-16
4168.0000	2.2196e-15	1.2794e-16
4169.0000	2.2041e-15	1.2791e-16
4170.0000	2.1881e-15	1.2773e-16
4171.0000	2.1724e-15	1.2749e-16
