#wls	flux	flux_err
3957.0000	2.1738e-14	7.2820e-15
3958.0000	2.1405e-14	7.0497e-15
3959.0000	2.1079e-14	6.8025e-15
3960.0000	2.0751e-14	6.5190e-15
3961.0000	2.0423e-14	6.2418e-15
3962.0000	2.0089e-14	5.9502e-15
3963.0000	1.9772e-14	5.9737e-15
3964.0000	1.9461e-14	5.9853e-15
3965.0000	1.9217e-14	5.9929e-15
3966.0000	1.8983e-14	5.9533e-15
3967.0000	1.8754e-14	5.9561e-15
3968.0000	1.8566e-14	5.9524e-15
3969.0000	1.8381e-14	6.0545e-15
3970.0000	1.8202e-14	5.7409e-15
3971.0000	1.8049e-14	5.3016e-15
3972.0000	1.7904e-14	5.2405e-15
3973.0000	1.7765e-14	5.2362e-15
3974.0000	1.7737e-14	5.2251e-15
3975.0000	1.7738e-14	5.2068e-15
3976.0000	1.7837e-14	5.1937e-15
3977.0000	1.7930e-14	5.2058e-15
3978.0000	1.8104e-14	5.2090e-15
3979.0000	1.8364e-14	5.2134e-15
3980.0000	1.8658e-14	5.2112e-15
3981.0000	1.8952e-14	5.2057e-15
3982.0000	1.9304e-14	5.3431e-15
3983.0000	1.9622e-14	5.5029e-15
3984.0000	1.9938e-14	5.5300e-15
3985.0000	2.0335e-14	5.3701e-15
3986.0000	2.0715e-14	5.2162e-15
3987.0000	2.1131e-14	5.0408e-15
3988.0000	2.1615e-14	4.9016e-15
3989.0000	2.2120e-14	4.9855e-15
3990.0000	2.2626e-14	5.1206e-15
3991.0000	2.3125e-14	5.1175e-15
3992.0000	2.3625e-14	5.0444e-15
3993.0000	2.4138e-14	5.0501e-15
3994.0000	2.4664e-14	4.9911e-15
3995.0000	2.5199e-14	4.9117e-15
3996.0000	2.5732e-14	4.8555e-15
3997.0000	2.6198e-14	4.7558e-15
3998.0000	2.6588e-14	4.6167e-15
3999.0000	2.6999e-14	4.4521e-15
4000.0000	2.7408e-14	4.3420e-15
4001.0000	2.7882e-14	4.2286e-15
4002.0000	2.8376e-14	4.2276e-15
4003.0000	2.8901e-14	4.2312e-15
4004.0000	2.9312e-14	4.2832e-15
4005.0000	2.9832e-14	4.4509e-15
4006.0000	3.0431e-14	4.5595e-15
4007.0000	3.0965e-14	4.6979e-15
4008.0000	3.1770e-14	4.8095e-15
4009.0000	3.2714e-14	4.8033e-15
4010.0000	3.3683e-14	4.8015e-15
4011.0000	3.4610e-14	4.8151e-15
4012.0000	3.5701e-14	4.8280e-15
4013.0000	3.6555e-14	4.8702e-15
4014.0000	3.7439e-14	4.9253e-15
4015.0000	3.8301e-14	4.9969e-15
4016.0000	3.9279e-14	4.9691e-15
4017.0000	4.0321e-14	4.8822e-15
4018.0000	4.1414e-14	4.8556e-15
4019.0000	4.2433e-14	4.7342e-15
4020.0000	4.3267e-14	4.6829e-15
4021.0000	4.4101e-14	4.6977e-15
4022.0000	4.5058e-14	4.7017e-15
4023.0000	4.6139e-14	4.7121e-15
4024.0000	4.7285e-14	4.7299e-15
4025.0000	4.8470e-14	4.7558e-15
4026.0000	4.9670e-14	4.7884e-15
4027.0000	5.0830e-14	4.8301e-15
4028.0000	5.1960e-14	4.8263e-15
4029.0000	5.3118e-14	4.8501e-15
4030.0000	5.4277e-14	4.8737e-15
