MJD	Bessell_B	Bessell_B_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
53662.05000000011	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.100000000115	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.15000000012	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.20000000012	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.250000000124	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.30000000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.35000000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.40000000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.450000000135	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.50000000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.55000000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.600000000144	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.65000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.70000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.75000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.800000000156	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.85000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.90000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53662.950000000164	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53663.00000000017	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53663.05000000017	-2.7607299542154183e-17	2.8019129235364434e-17	nan	nan	-1.2885296108402339e-17	1.3127859906829696e-17	nan	nan	nan	nan
53663.10000000017	-2.4388683860567882e-17	2.7731005742324935e-17	-1.4473046734875174e-17	1.999527768087565e-17	-1.1306844239076821e-17	1.2978951958405664e-17	-1.0058227608729832e-18	3.9360309307478355e-18	-7.798727273208276e-18	8.31085568830246e-18
53663.150000000176	-2.1162584021144073e-17	2.7451672271485015e-17	-1.2330602782325202e-17	1.9780976573328842e-17	-9.724147788428832e-18	1.2836227093886416e-17	-5.318303632383006e-19	3.870509904799107e-18	-6.571659043776153e-18	8.217647625284143e-18
53663.20000000018	-1.7928842691934016e-17	2.7181095006781673e-17	-1.0181290797127887e-17	1.9575075767006276e-17	-8.137076065608722e-18	1.2699649997978593e-17	-5.563315001484328e-20	3.812707901327906e-18	-5.3417879882047315e-18	8.128941471290574e-18
53663.25000000018	-1.4687302520738602e-17	2.6919235282932856e-17	-8.02496936819074e-18	1.937755813552784e-17	-6.545498364952466e-18	1.256917965576793e-17	4.228899920714943e-19	3.762457577018825e-18	-4.10900846341956e-18	8.044699463458648e-18
53663.300000000185	-1.1437806135738089e-17	2.666604948477166e-17	-5.861497051357613e-18	1.9188400500362287e-17	-4.9492839657158605e-18	1.2444769261745378e-17	9.038601963872572e-19	3.71955737657133e-18	-2.8732148199253567e-18	7.964878715645005e-18
53663.35000000019	-8.180196144336855e-18	2.6421488959031262e-17	-3.690732368762392e-18	1.9007573441957414e-17	-3.348302131488481e-18	1.2326366158495781e-17	1.387398617398322e-18	3.683773326631507e-18	-1.6343014014301057e-18	7.889431192867995e-18
53663.40000000019	-4.914315133231371e-18	2.6185499940013876e-17	-1.5125338081035613e-18	1.883504113344667e-17	-1.742422109610845e-18	1.2213911806820062e-17	1.8736264317157023e-18	3.6548417623971294e-18	-3.921625447231426e-19	7.818303721046972e-18
53663.45000000019	-1.6400056676445743e-18	2.5958023489708512e-17	6.732401779444003e-19	1.8670761199668716e-17	-1.3151313118081434e-19	1.2107341789425636e-17	2.3626648391251407e-18	3.632472881511142e-18	8.533074205686739e-19	7.751438032410424e-18
53663.5000000002	1.6428897086741292e-18	2.5738995454393815e-17	2.866731172418536e-18	1.8514684604225003e-17	1.4845555898238657e-18	1.200658584912836e-17	2.854635063645885e-18	3.616354968745288e-18	2.1022141723771846e-18	7.688770848024693e-18
53663.5500000002	4.9345284742461945e-18	2.5528346437578595e-17	5.068080794707121e-18	1.8366755566762453e-17	3.1059148568305813e-18	1.1911567962516535e-17	3.3496583545262308e-18	3.606159098131408e-18	3.354663396060855e-18	7.63023399709048e-18
53663.6000000002	8.235068129990785e-18	2.5326001790843353e-17	7.277430701217397e-18	1.822691151276974e-17	4.732695490960069e-18	1.1822206449268045e-17	3.847855987339591e-18	3.601544099592678e-18	4.610760785054988e-18	7.575754572635464e-18
53663.650000000205	1.154466619962797e-17	2.513188162269771e-17	9.49492258604331e-18	1.8095083057426722e-17	6.365028331698919e-18	1.1738414116758648e-17	4.349349264950851e-18	3.6021615760027156e-18	5.870612040831082e-18	7.525255122285158e-18
