time,logL_BVRI,logL_BVRI_err
54461.75,-1.0889753124368846,0.00023020626418924304
54461.95,0.17134443250004033,0.000504439860747105
54462.25,0.5649331752989929,0.0004207747133093445
54463.83,1.343454098038226,0.00017999790136803302
54465.92,1.7673637732264333,0.0001377116242409274
54468.0,2.030500580242324,0.00010709898467284569
54470.08,2.2533646898458084,5.024379246693278e-05
54472.56,2.376026653232584,8.887684046486504e-05
54475.04,2.455741410052681,3.15239973665394e-05
54476.04,2.4848151411687223,2.8419593398269195e-05
54478.02,2.5151884445083046,2.7550742815861523e-05
54480.0,2.537010864492468,2.612664614732237e-05
54481.99,2.5353125514195654,4.312642114915718e-05
54483.97,2.5180100914784505,5.684284728603974e-05
54485.96,2.48460972869413,7.926629995881698e-05
54487.95,2.440659291822773,0.0001154748780272267
54489.94,2.3882430200037326,0.00012687715518792226
54491.92,2.335685903196231,0.0001254456316994355
54493.91,2.2858112088458147,4.459237701079114e-05
54495.96,2.2309953507723734,5.446714539275273e-05
54498.01,2.179050002828585,5.680850090577465e-05
54500.05,2.129304800789424,6.712537224754456e-05
54502.1,2.0829572441397897,7.875601005225726e-05
54504.15,2.0398834285078893,8.16882565085631e-05
54506.2,2.003907881650121,7.527720821769729e-05
54508.25,1.9735787825336402,7.329145336016817e-05
54510.29,1.950248580403857,7.289331360638241e-05
54512.34,1.9293797412478604,0.00010433898787261267
54514.39,1.9107256643658317,0.00013583121301471022
54516.44,1.8904304809850836,0.0001493023308504154
54518.49,1.8733662841386256,0.00014376634823269177
54520.54,1.8552283682286181,8.326909179911833e-05
54522.58,1.8402560854038976,8.051820473430062e-05
54524.63,1.8210783285712366,8.528724548388104e-05
54526.68,1.7978810068076583,6.053557393410489e-07
54528.92,1.7855626407697565,0.00014003598884497148
54531.15,1.7734206395255907,0.00010555348419182121
54533.39,1.761209911806098,0.00016872705674171584
54535.62,1.7424176897355923,6.360508047404999e-05
54537.0,1.7416619329045184,4.6341244276350215e-05
54538.95,1.740008088425368,6.070779796684052e-05
54540.89,1.7361546668018861,0.00015268796929430127
54542.84,1.7239587363161633,0.00023170401128858197
54544.79,1.7052776324768746,0.00020364150373903373
54546.74,1.7081927121615559,0.00014495765336924177
54548.68,1.6963224456736576,0.00015121204758881192
54550.63,1.6758526003050107,0.0001557866142475396
54552.58,1.6540537209151431,9.763283110055004e-05
54554.52,1.6358900898882525,0.00012643011668265862
54556.47,1.617845149336529,3.681679906072039e-05
54558.46,1.604137788065289,0.00016083921879388985
54560.44,1.59526255488805,0.0003010185076167124
54562.43,1.5815192604089958,0.0003709819676946385
54564.41,1.56330453770778,0.0003766253138503606
54566.4,1.5413433525804645,0.0003303603010781721
54568.39,1.5206869374281275,0.00022264467195843516
54570.37,1.5149959666057924,0.00019652366370458943
54572.36,1.50883180067986,0.00016774323128310805
54574.34,1.4944850060657486,0.00020179183652001967
54576.33,1.4806001731052338,0.00019841096669940007
54578.32,1.4669699493603297,0.00014332886540260986
54580.3,1.4538454426386003,0.0001453080307148999
54582.29,1.4428978345903474,0.00015286657748083606
54584.27,1.4262779015881972,0.0001156550617034969
54586.26,1.4024219588255609,0.0001502811787567798
54588.25,1.3812659381054753,0.00026296738588857263
54590.23,1.364389599442088,0.0002357410093196585
54592.22,1.3461786919285685,0.00020191892997922095
54594.21,1.323916369428136,0.00012490651668579532
54596.19,1.3003057830938218,0.00020142777068748235
54598.18,1.2855360491997991,0.0002344427364924537
54600.16,1.277303273929026,0.0002903364544788781
54602.15,1.2674462052909221,0.00030662139784891205
54604.14,1.2522876677088668,0.0003194902249373691
54606.12,1.2337908659446655,0.00033499677848905144
54608.11,1.2130749860639387,0.00032286549064401525
54610.09,1.1897298210677247,0.00027955802368055275
54612.08,1.1768030648675334,0.0002994670036285864
54614.07,1.1761053406334223,0.0003251568436212749
54616.05,1.1654510640739122,0.00033420680872903684
54618.04,1.141177502973385,0.0004063537480060986
54620.02,1.120516385224536,0.00041396805777372614
54622.01,1.1042199511379633,3.2996554872285265e-06
54624.01,1.0877572351512494,0.0004288452612297499
54626.02,1.0721500262191253,0.0004363752101198371
54628.02,1.0564688975094805,0.0004425842163803493
54630.03,1.0404337706861013,0.00044807617264506784
54632.03,1.024900967481326,0.0004528695332446261
54634.04,1.0094719219482435,0.00045746432639042997
54636.04,0.9941250213204873,0.00046208385617595805
54638.05,0.9788391021394851,0.00046692226759326806
54640.05,0.9635960858854714,0.00047213817752382353
54642.06,0.9483788830621169,0.00047784188809016766
54644.06,0.9331726132853597,0.0004840884006740488
54646.07,0.9179635189707415,0.0004909104884191589
54648.07,0.9027407620298593,0.0004982976843489648
54650.08,0.8871014743921701,0.0005064981468853076
54652.08,0.8718273280204616,0.0005149790691888355
54654.08,0.8565197737511867,0.0005239757064308993
54656.09,0.8411761115887155,0.0005334863759189975
54658.09,0.8257956678414009,0.000543473970610242
54660.1,0.8103785961579589,0.0005539177949861143
