MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54460.75	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54460.8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54460.850000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54460.90000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54460.95000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.000000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.05000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.10000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.15000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.200000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.25000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.30000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.350000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.40000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.45000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.500000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.55000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.60000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.65000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.700000000055	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.75000000006	nan	nan	2.120744436468601e-18	8.255269608619281e-20	5.926574084528e-19	1.5927352782813886e-20	1.3690040439892398e-18	4.106785967735042e-20	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.80000000006	nan	nan	1.0835183483033491e-17	1.5605354333917214e-18	2.9807565412736413e-18	4.052296372747269e-19	6.9345049054427194e-18	9.16085248686779e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.850000000064	nan	nan	1.9596273949753663e-17	2.956708220237762e-18	5.381165131633347e-18	7.654578589493597e-19	1.2527748133509341e-17	1.7324247283128397e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.90000000007	nan	nan	2.8424388108204344e-17	4.194320678575669e-18	7.800047523836727e-18	1.0817396886307156e-18	1.8162648901138267e-17	2.451796032207432e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54461.95000000007	nan	nan	3.733989853302649e-17	5.275441267258842e-18	1.0243568124719518e-17	1.3546460307226405e-18	2.3853122518365144e-17	3.075476194109203e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.00000000007	nan	nan	4.6363178199678643e-17	6.2030664275070285e-18	1.2717891420525225e-17	1.5849328921766503e-18	2.961308446305122e-17	3.6052078240522756e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.050000000076	nan	nan	5.551460057728364e-17	6.980844660122262e-18	1.5229182002328608e-17	1.773506724532673e-18	3.5456450431454134e-17	4.043090623096104e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.10000000008	nan	nan	6.481453971551918e-17	7.613118495863641e-18	1.7783604582912532e-17	1.921437135204879e-18	4.139713637070227e-17	4.391609815021849e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.15000000008	nan	nan	7.428337034517248e-17	8.105033481383098e-18	2.0387324018296775e-17	2.029982107719242e-18	4.744905853556298e-17	4.653697492918223e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.200000000084	nan	nan	8.394146796608204e-17	8.462696797122503e-18	2.3046505326994968e-17	2.1006249915792383e-18	5.362613352810591e-17	4.832822287494413e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.25000000009	nan	nan	9.380920894523973e-17	8.693395818259597e-18	2.5767313715329866e-17	2.1351276195283646e-18	5.994227833240845e-17	4.933116199918002e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.30000000009	nan	nan	1.0390697060087846e-16	8.805897430073455e-18	2.855591459063192e-17	2.1356075599913394e-18	6.6411410361656e-17	4.959554812632206e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.35000000009	nan	nan	1.1425513130477867e-16	8.810857588126494e-18	3.1418473587420055e-17	2.104652428990685e-18	7.304744750648167e-17	4.918215954422407e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.400000000096	nan	nan	1.2487407057126122e-16	8.721378515498563e-18	3.4361156586225836e-17	2.0454919420811502e-18	7.98643081763649e-17	4.81665366287887e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.4500000001	nan	nan	1.3578416914828211e-16	8.553753220420593e-18	3.7390129732417676e-17	1.962259680420788e-18	8.687591133855116e-17	4.66443827980978e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.5000000001	nan	nan	1.4700580911938877e-16	8.328419630978503e-18	4.051155945859511e-17	1.8603908885154108e-18	9.409617655647583e-17	4.4739224015429155e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.550000000105	nan	nan	1.5855937397764713e-16	8.071077411002937e-18	4.3731612504711216e-17	1.747210435376176e-18	1.0153902405322556e-16	4.261271655838553e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.60000000011	nan	nan	1.7046524874056128e-16	7.813740284033519e-18	4.705645593873594e-17	1.6327289190108522e-18	1.09218374728891e-16	4.0476802683865955e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.65000000011	nan	nan	1.8274382003240926e-16	7.59513611922965e-18	5.0492257174506606e-17	1.5304762528425727e-18	1.1714815022551557e-16	3.860336974331474e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.70000000011	nan	nan	1.9541547617393648e-16	7.459366538473137e-18	5.404518399769235e-17	1.4576698219091222e-18	1.2534227294891026e-16	3.731989309088836e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.75000000012	nan	nan	2.0850060728536315e-16	7.451534024855582e-18	5.772140458148089e-17	1.4332185193657239e-18	1.338146661385604e-16	3.6972468106643024e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.80000000012	nan	nan	2.2201468571171258e-16	7.601848356083909e-18	6.152554627249248e-17	1.4692845533373926e-18	1.4257582744328776e-16	3.778672722436346e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.85000000012	nan	nan	2.3595350713727863e-16	7.895081095750005e-18	6.545607189107542e-17	1.5574413231884636e-18	1.5162254967030017e-16	3.962434655389753e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.900000000125	nan	nan	2.503079495191583e-16	8.299494879761396e-18	6.950990344356002e-17	1.6816934070123159e-18	1.6094820006167525e-16	4.221234496192784e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54462.95000000013	nan	nan	2.6506889272008395e-16	8.782031136553781e-18	7.368396334359298e-17	1.8268414007489136e-18	1.7054614673109297e-16	4.527860878813839e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.00000000013	nan	nan	2.8022721845306553e-16	9.312888824622645e-18	7.79751744067283e-17	1.980841254323922e-18	1.804097586348319e-16	4.8593451264393635e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.050000000134	nan	nan	2.9577381024250026e-16	9.867497327946059e-18	8.238045983582216e-17	2.134982657531145e-18	1.9053240554673156e-16	5.198024341983312e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.10000000014	nan	nan	3.1169955338773426e-16	1.042677779767222e-17	8.689674321356821e-17	2.2832650543512443e-18	2.0090745804852463e-16	5.5310579778549875e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.15000000014	nan	nan	3.2799533491856673e-16	1.0976617444230348e-17	9.152094848864995e-17	2.4217132397634582e-18	2.115282874976104e-16	5.849519926205422e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.20000000014	nan	nan	3.4465204354689915e-16	1.1507127602418783e-17	9.624999997130505e-17	2.547852885698586e-18	2.2238826601664303e-16	6.147556792242824e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.250000000146	nan	nan	3.6166056963625366e-16	1.2011946240847666e-17	1.0108082231947773e-16	2.6603566056492693e-18	2.334807664699817e-16	6.421744678048229e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.30000000015	nan	nan	3.790118051523718e-16	1.2487668279297346e-17	1.060103405274593e-16	2.758819453323049e-18	2.4479916243220757e-16	6.670637159578837e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.35000000015	nan	nan	3.966966436260753e-16	1.2933406988682737e-17	1.110354799182071e-16	2.843622244490957e-18	2.5633682818713233e-16	6.8944599343554036e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.400000000154	nan	nan	4.1470598010526675e-16	1.3350460300643833e-17	1.1615316613198497e-16	2.9158508586829294e-18	2.6808713869433206e-16	7.094905908645506e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.45000000016	nan	nan	4.330307111237466e-16	1.3742048576622542e-17	1.2136032511933131e-16	2.9772477981321706e-18	2.800434695717948e-16	7.274991277215942e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.50000000016	nan	nan	4.516617346451548e-16	1.4113090978562294e-17	1.2665388312007116e-16	3.0301768987159878e-18	2.9219919707013913e-16	7.43893940016709e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.55000000016	nan	nan	4.705899500391465e-16	1.446999041742507e-17	1.3203076667024004e-16	3.0775836524546408e-18	3.0454769806245054e-16	7.592063093807355e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.600000000166	nan	nan	4.898062580176246e-16	1.4820400609964787e-17	1.3748790257503773e-16	3.1229334876716636e-18	3.1708235001403797e-16	7.74061830914803e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.65000000017	nan	nan	5.093015606186243e-16	1.517295320331936e-17	1.4302221791066733e-16	3.1701104051341556e-18	3.2979653097499726e-16	7.891605026329813e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.70000000017	nan	nan	5.29066761142195e-16	1.5536929194674945e-17	1.486306400056194e-16	3.223260877339713e-18	3.4268361953558947e-16	8.052496508847809e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.750000000175	nan	nan	5.490927641227224e-16	1.5921867712246303e-17	1.5431009643785899e-16	3.286575455393645e-18	3.5573699483764433e-16	8.230888604280277e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.80000000018	nan	nan	5.693716448596088e-16	1.6334722327486186e-17	1.6005790737837692e-16	3.363022107425515e-18	3.689508672002133e-16	8.432239971232233e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.85000000018	nan	nan	5.899001581217841e-16	1.6772382963562952e-17	1.6587296265819304e-16	3.451185468314761e-18	3.8232277013088845e-16	8.654081378519446e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54463.90000000018	nan	nan	6.106762293951945e-16	1.722910558279067e-17	1.7175454469313094e-16	3.5484057235220195e-18	3.9585106831299617e-16	8.891770012596278e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
