spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/2007uy_-11.02.txt	54470.08	1.1430806393622498e-14	2.1893097073723466e-16	True	5.009664348237188e-15	6.843918468527283e-17	True	1.3448600387296436e-15	1.622536243236641e-17	True	3.1356573098533127e-15	3.905770076609203e-17	True	1.1461874637221104e-14	9.288909831379374e-16	True	1.245966864732108e-14	1.2582641235312358e-15	True	6.326318841998204e-15	1.1131517124516876e-15	True	1.0390593580698004e-14	1.409943021665019e-15	True	8.000040744320507e-15	1.4492853791054147e-15	True	6.0603215658184846e-15	5.953820406006735e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/2007uy_-6.06.txt	54475.04	1.4641633047196034e-14	1.3853848840142865e-16	True	9.382306515415776e-15	8.930931967005675e-17	True	2.607030699074081e-15	2.463855013611482e-17	True	6.016978801895192e-15	5.65083870582672e-17	True	1.4106248894023941e-14	5.022989939695058e-16	True	1.4471617066233137e-14	6.631581058518849e-16	True	6.1828197281776546e-15	8.767213626312367e-16	True	1.0851868475113166e-14	7.425988048173503e-16	True	7.668919284135607e-15	9.888444026538676e-16	True	9.492719807718698e-15	3.449352089176437e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/2007uy_-5.06.txt	54476.04	1.5021505482622958e-14	1.2981229911374572e-16	True	1.0068553562320736e-14	8.668186227131674e-17	True	2.8308690821266727e-15	2.4177696386445916e-17	True	6.5227308136437565e-15	5.549779831786261e-17	True	1.448154718499891e-14	4.669859328624477e-16	True	1.454440050192683e-14	6.018548319421391e-16	True	6.145907058144051e-15	8.439755849677581e-16	True	1.0668101906768226e-14	6.71987309569813e-16	True	7.576674978322181e-15	9.236771618061069e-16	True	1.0151171001849239e-14	3.265483856965579e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/2007uy_-3.08.txt	54478.02	1.5289548280007374e-14	1.3096891301460506e-16	True	1.1158247369444904e-14	9.459338415781241e-17	True	3.2258820807172342e-15	2.67403842881638e-17	True	7.402250626476864e-15	6.101138171147214e-17	True	1.4885590700408313e-14	4.115006359013359e-16	True	1.4015957656726122e-14	5.014482390604366e-16	True	6.065768913275235e-15	8.00108503995109e-16	True	9.961355826093822e-15	5.69577366722096e-16	True	7.371313673187479e-15	8.401516418386462e-16	True	1.126043978092199e-14	2.9708140284338926e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/SN2007uy_y2008m01d15.txt	54480.0	1.490071667429898e-14	1.3192877684900748e-16	True	1.1794174689755935e-14	1.0159379330198452e-16	True	3.5384653943997488e-15	2.942175781539142e-17	True	8.081870069753203e-15	6.662958818222747e-17	True	1.470106486413227e-14	3.945098842078505e-16	True	1.2477117887867156e-14	4.599330540886013e-16	True	5.977718403892892e-15	7.879967782215722e-16	True	8.844468557638144e-15	5.288864595682214e-16	True	7.141338084514831e-15	8.313524378676497e-16	True	1.1957245411976973e-14	2.9682488216097723e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/2007uy_12.81.txt	54493.91	4.390289593204118e-15	1.182691996486362e-16	True	6.887716999461129e-15	9.938734402859367e-17	True	3.0506977040547743e-15	3.780084025668809e-17	True	6.29081833717291e-15	7.952707232269871e-17	True	4.5255671084295125e-15	2.321874646382365e-16	True	1.0634405283546626e-15	2.8496828840798574e-16	True	5.3041513325039074e-15	1.3956877601156202e-15	False	8.119908879668865e-16	1.9516380005236635e-15	False	5.498150480452633e-15	2.1211203797409235e-15	False	6.3961511726520906e-15	2.103472645560423e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/2007uy_45.58.txt	54526.68	1.695140574000954e-15	1.5302726477566247e-16	True	2.0769098690822413e-15	1.0057351181715084e-16	True	1.0216818370735252e-15	3.075546828656248e-17	True	1.890726283122202e-15	6.422649428679294e-17	True	2.0679866956776293e-15	2.221451852265351e-15	False	4.42841451845648e-17	8.46171421989364e-15	False	3.841268651693737e-15	3.3696621304388043e-15	False	-8.903069008160705e-16	7.315971909377168e-15	False	2.8667111524638633e-15	5.189708971506234e-15	False	1.8841225229257607e-15	8.327699814015892e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/2007uy_54.52.txt	54535.62	1.6608219590175645e-15	8.244437131086013e-17	True	1.80706084463683e-15	4.748633681527e-17	True	8.543813044173485e-16	1.547092169959766e-17	True	1.5491853667166719e-15	2.938469740551397e-17	True	1.7085647086432246e-15	4.464491710241841e-15	False	1.64655387375244e-17	8.807550710923038e-15	False	3.4915128035525827e-15	3.787029032221988e-15	False	-6.453361394317179e-16	7.570339130569753e-15	False	2.3867768990031037e-15	5.699435817224913e-15	False	1.4959555909905817e-15	5.092917029782576e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/SN2007uy_y2008m03d12.txt	54537.0	1.6145272537601303e-15	5.940469017146408e-17	True	1.78699681862473e-15	3.091101925023122e-17	True	8.243845453731543e-16	1.0926052252270704e-17	True	1.5269956983988999e-15	1.9889386935575656e-17	True	1.6460112105206431e-15	4.743059905173112e-15	False	1.3996611602706887e-17	8.83747193476295e-15	False	3.4396228939092163e-15	3.846471946255026e-15	False	-6.106619466554581e-16	7.594346093420666e-15	False	2.3197979802119093e-15	5.7675783305703094e-15	False	1.4345905597962925e-15	2.8709486211394696e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/2007uy_75.37.txt	54556.47	1.4356869035420429e-15	1.166905687179322e-16	True	1.3109653144170499e-15	7.420290245749305e-17	True	5.182599552194295e-16	2.0948828381805263e-17	True	1.0823819267340428e-15	4.320721208132358e-17	True	8.543225196166107e-16	7.023935713629966e-15	False	5.35029324115113e-19	8.996093235666231e-15	False	2.767832131097685e-15	4.554954774733469e-15	False	-2.537383017041188e-16	7.738156003085468e-15	False	1.545276209503206e-15	6.4862014894746534e-15	False	7.116194896466405e-16	3.9056790267581195e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2007uy/2007uy_140.91.txt	54622.01	5.780441723976245e-16	4.719084787656702e-17	True	3.762995309004069e-16	2.023626724120796e-17	True	1.2709919092839022e-16	6.7961295258024776e-18	True	3.1465838408599333e-16	1.096044336568078e-17	True	4.593896777943467e-17	7.786720271682127e-15	False	-5.643478349658127e-20	9.013199513063425e-15	False	1.2503455004692986e-15	5.695051007465747e-15	False	-7.290884513644919e-18	7.761096468927483e-15	False	3.742347493935993e-16	7.204613371063941e-15	False	3.5445690131100733e-17	5.775381871065361e-15	False
