spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_i_fitflux	sdss_i_fitfluxerr	sdss_i_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/SN2016X_20160120_redblu_174858.084.ascii	57407.1	6.950826712712643e-15	8.804857547873334e-17	True	1.6137143981224907e-15	1.2443873272796247e-16	False	4.400099241190918e-15	2.4953152862465075e-16	False	1.3243418560628372e-14	1.2391022668073321e-15	True	3.3048366797549184e-15	8.56256591754263e-17	True	5.8987119707539605e-15	2.1879563338188148e-16	True	1.3845779085161868e-15	3.2638910401141765e-17	True	2.5518401400828872e-15	9.180117316319279e-17	True	6.410410713370824e-15	9.327364219066192e-18	True	1.3533162568294194e-14	2.1760563021947197e-17	True	5.3302855391875825e-14	6.1975437818208356e-15	True	3.5401257490154956e-14	2.6305143847589784e-15	True	6.210197191238277e-14	5.514926306640943e-15	True	3.135913733170162e-15	6.412549648837016e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/SN2016X_20160121_redblu_122609.783.ascii	57408.1	9.320478794301596e-15	1.0754421866971592e-16	True	1.7894640332185345e-15	9.598186710062162e-17	False	4.568427164170793e-15	2.175867179051824e-16	False	1.473169244941657e-14	6.942693257106732e-16	True	4.387597745229161e-15	6.089496700571661e-17	True	7.313439677751945e-15	1.4194887388222857e-16	True	1.9069714580880485e-15	1.9538163847402736e-17	True	3.209760501426329e-15	5.761998689072729e-17	True	8.901006224370848e-15	2.9615227401435975e-17	True	1.7637752912719207e-14	1.5029560893232801e-16	True	5.320917050469931e-14	2.2039669400251146e-16	True	3.727472406868484e-14	1.1664609865849213e-16	True	5.950887078265317e-14	2.190080452632048e-16	True	4.4369936984153225e-15	8.918550006015351e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/2016X_160123_LJT_YFOSC.dat	57410.0	1.2972239745645222e-14	2.3336943442651827e-16	True	2.1464952276905085e-15	5.200887994832792e-17	True	4.902982493080976e-15	1.6516540616218723e-16	True	1.821544586115243e-14	5.86425224344435e-16	True	6.3280064019868494e-15	8.308307872062074e-17	True	9.82080006996373e-15	1.574827841733267e-16	True	2.848521490353754e-15	3.9391945374957666e-17	True	4.472834993202638e-15	9.071487687202638e-17	True	1.2699911754579739e-14	2.6709823151713736e-16	True	2.3659577174600163e-14	5.197811549321925e-16	True	5.788504965792693e-14	3.5856550793577386e-16	True	4.2691682359347794e-14	1.758475258293219e-16	True	5.662547068510319e-14	3.2638098206393594e-16	True	6.4914796428039094e-15	1.692999538399945e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/SN2016X_20160125_redblu_111717.662.ascii	57412.0	1.556043074775755e-14	2.533575282837968e-16	True	2.55536063873416e-15	4.214647725239756e-17	True	5.275813378408482e-15	1.2610190890359158e-16	True	2.202628715442625e-14	7.168992469724134e-16	True	7.9864543864961e-15	9.984909369025356e-17	True	1.1791254915987108e-14	1.683877221285839e-16	True	3.680358189254749e-15	4.90423756101175e-17	True	5.738684400317477e-15	1.0046121152040001e-16	True	1.538850321748199e-14	3.4372115980566646e-16	True	2.7656083545639182e-14	6.363107800750338e-16	True	5.1754691185809877e-14	6.021273778606443e-16	True	4.339351266591931e-14	2.671496291708983e-16	True	4.5234921137658693e-14	5.196952727398378e-16	True	8.393206645804609e-15	2.3899294393024996e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/SN2016X_20160127_redblu_122304.753.ascii	57414.1	1.6691455375311856e-14	2.3080302330608506e-16	True	2.98577032364485e-15	5.4008405464957464e-17	True	5.665699183492288e-15	1.0002697804431644e-16	True	2.3626593120733635e-14	5.830913478748818e-16	True	9.059799957205127e-15	1.0029673826631834e-16	True	1.323788435605492e-14	1.9097645887358403e-16	True	4.266272252709972e-15	5.4886737536708834e-17	True	6.784576015621192e-15	9.916261494137812e-17	True	1.6289673104409705e-14	8.328702777139831e-16	True	2.7104826048249937e-14	2.085175606479433e-15	True	3.2736609635637927e-14	9.490287749315366e-15	True	3.1773293942396544e-14	3.6131113613453145e-15	True	2.914836319842759e-14	7.630583857673276e-16	True	9.44886295914424e-15	4.500080575292451e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/SN2016X_20160128_redblu_125726.364.ascii	57415.1	1.6611666944947554e-14	2.4088638195616927e-16	True	3.1710583921812913e-15	5.579563517515986e-17	True	5.837099111407121e-15	9.022668858869962e-17	True	2.379831823909678e-14	5.457399382979177e-16	True	9.323967675810007e-15	9.851759081019496e-17	True	1.3520820494003001e-14	2.227829515259883e-16	True	4.4354754038097265e-15	6.062362484059083e-17	True	7.128681932729203e-15	1.1552891312372256e-16	True	1.6231506146050854e-14	1.0344493628251452e-15	True	2.6376570788783126e-14	2.6954859182106504e-15	True	2.5677778082103848e-14	1.454543165694377e-14	True	2.7483576390100704e-14	5.025571822643107e-15	True	2.417487858129274e-14	4.402920312651166e-15	True	9.64857494858083e-15	5.273353196272171e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/SN2016X_20160131_redblu_173343.116.ascii	57418.1	1.474436015665668e-14	1.9698095881535054e-16	True	3.5618294152347925e-15	4.618408307494835e-17	True	6.227179901766255e-15	6.935615256726846e-17	True	2.2683754299607065e-14	5.910071634624334e-16	True	9.535157602202669e-15	8.457110261959579e-17	True	1.3203160506186849e-14	2.625376708940091e-16	True	4.64614475320341e-15	7.22756418149142e-17	True	7.681008145128661e-15	1.3677100966818924e-16	True	1.5117500276594312e-14	6.936511013059268e-16	True	2.2767808855803535e-14	1.538192248553102e-15	True	1.1730904635115623e-14	2.1838023465828566e-14	True	1.79337039830998e-14	2.173923159629688e-15	True	1.3463932306762312e-14	4.337298243736148e-15	True	9.491068449065374e-15	3.9656694914008956e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/2016X_160202_LJT_YFOSC.dat	57420.0	1.3587444867608656e-14	1.5890435401420636e-16	True	3.645877587608012e-15	3.973537418839124e-17	True	6.326404805938786e-15	6.535943990041626e-17	True	1.948554738260965e-14	4.2949906434245115e-16	True	9.379806458430102e-15	8.255219945695469e-17	True	1.2620437240392964e-14	2.4840419161527675e-16	True	4.6349475930004906e-15	7.444684499950581e-17	True	7.73218904604173e-15	1.3094968232395863e-16	True	1.4306640338803415e-14	4.711606800438453e-16	True	1.9109477505353844e-14	7.995106696679337e-16	True	6.964682055707013e-15	2.1557926341480805e-14	True	1.2587518416311126e-14	5.099891604726588e-16	True	8.751342516197443e-15	1.104666403503375e-15	True	9.092339556960138e-15	3.156188047571578e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/SN2016X_20160203_redblu_110106.812.ascii	57421.1	1.3059876361307851e-14	1.574057654288217e-16	True	3.650522706212187e-15	3.8823289879392986e-17	True	6.331911827274505e-15	6.526666922463162e-17	True	1.757124248162404e-14	4.485320407326018e-16	True	9.221773333679355e-15	9.135690673550172e-17	True	1.2274641820917548e-14	2.7178441748314746e-16	True	4.602151332519239e-15	7.840838608621492e-17	True	7.67503787767984e-15	1.45858704366997e-16	True	1.3867574572605192e-14	7.169091094176445e-16	True	1.681025953564567e-14	1.672610336367092e-15	True	5.136330931949039e-15	1.9745171591085732e-14	True	9.905713828666764e-15	2.8819907194358954e-15	True	6.59621579530831e-15	6.15471195496952e-15	True	8.862434861879347e-15	4.0951356006167603e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016X/SN2016X_20160206_redblu_170913.783.ascii	57424.1	1.1795870164128085e-14	2.3826868498888383e-16	True	3.600658520327034e-15	5.122516003488637e-17	True	6.2202358900066046e-15	7.265041527259204e-17	True	1.190741585450541e-14	4.258700853190033e-16	True	8.640963426028813e-15	1.3798052246412858e-16	True	1.1284763049094793e-14	2.718727611340583e-16	True	4.4493954285932394e-15	9.326196020516326e-17	True	7.28563158051438e-15	2.0227707398941222e-16	True	1.2336554817228542e-14	4.916462140619742e-16	True	1.143496431823037e-14	9.744186111346478e-16	True	2.285372785258974e-15	6.8064545878347e-15	True	4.906029739845335e-15	2.211253436188243e-15	True	2.9642308505372505e-15	4.744244699726407e-15	True	8.338182262843943e-15	3.981262691181643e-16	True
