MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
53548.551800000016	3.2041648626357388e-15	1.9281127773024745e-18	nan	nan	nan	nan	nan	nan	9.354805313366722e-16	1.3194343877724034e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53548.60180000002	4.378727895340742e-15	2.833125795231475e-18	nan	nan	nan	nan	nan	nan	1.0215533939288505e-15	1.5568745003994435e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53548.65180000002	5.198225653399861e-15	3.4354139345396915e-18	nan	nan	nan	nan	nan	nan	1.108060928288961e-15	1.8929562116719867e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53548.701800000024	5.764195568214976e-15	3.916483094661883e-18	nan	nan	nan	nan	nan	nan	1.1949817722685478e-15	2.2750174126729045e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53548.75180000003	6.166408423509244e-15	4.345705852356489e-18	nan	nan	nan	nan	nan	nan	1.2822945774212825e-15	2.6757862680478062e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53548.80180000003	6.4705459949400964e-15	4.766737697422835e-18	nan	nan	nan	nan	nan	nan	1.3699780082832146e-15	3.081648848411953e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53548.85180000003	6.717714630145493e-15	5.137481852318058e-18	nan	nan	nan	nan	nan	nan	1.4580107417568347e-15	3.4855326564213453e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53548.901800000036	6.933342538652943e-15	5.49107982546075e-18	nan	nan	nan	nan	nan	nan	1.5463714664413079e-15	3.8835728079326487e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53548.95180000004	7.13451353449069e-15	5.8626544559692705e-18	nan	nan	8.793662141633767e-16	3.599533045324987e-17	nan	nan	1.6350385556896113e-15	4.273565013100189e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.00180000004	7.326546537492054e-15	6.128339206571577e-18	nan	nan	9.304602656912466e-16	3.550965838956602e-17	nan	nan	1.7239832032363674e-15	4.654118795124788e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.051800000045	7.51286295196478e-15	6.44634817945944e-18	nan	nan	9.815596061301e-16	3.5127440927714e-17	nan	nan	1.813167406880569e-15	5.024240088437404e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.10180000005	7.694773846283307e-15	6.803655436703468e-18	nan	nan	1.032652377773269e-15	3.484406741593547e-17	nan	nan	1.90255190775725e-15	5.383244358456918e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.15180000005	7.871810686773648e-15	7.03089214743414e-18	nan	nan	1.083726636904776e-15	3.4654134813693926e-17	nan	nan	1.9920974515117894e-15	5.730659197891184e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.20180000005	8.043437023463143e-15	7.234775297415085e-18	nan	nan	1.134770440139448e-15	3.455159588792305e-17	nan	nan	2.081764789690577e-15	6.06615459764332e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.25180000006	8.209227361994921e-15	7.612455728042024e-18	nan	nan	1.1857718472347595e-15	3.4529898416331925e-17	nan	nan	2.1715146785802657e-15	6.389499690232889e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.30180000006	8.369212027433608e-15	7.962871834420548e-18	nan	nan	1.2367189141439277e-15	3.458213712977218e-17	nan	nan	2.2613078780005043e-15	6.700535039833249e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.35180000006	8.523537748248603e-15	8.139057556317647e-18	nan	nan	1.287599697647182e-15	3.4701204456410033e-17	nan	nan	2.35110515009974e-15	6.999154377559122e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.401800000065	8.672350832257495e-15	8.242783956359972e-18	nan	nan	1.3384022555171672e-15	3.487993535607581e-17	nan	nan	2.440867258152181e-15	7.285292258959851e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
