spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_z_fitflux	sdss_z_fitfluxerr	sdss_z_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-01_00-00-00_Lick-3m_KAST_None.ascii	53552.5	1.3253607181245246e-14	1.5957061695908797e-16	True	2.1585733797772045e-15	2.817875776214087e-17	True	3.84491735553344e-15	4.236372325845342e-17	True	2.010551431555229e-14	5.329325552469755e-16	True	6.431284253076788e-15	8.155992227810594e-17	True	1.7109076325681083e-15	2.41731764516433e-16	False	9.629390742918982e-15	1.2923145467807297e-15	False	5.126944478287064e-14	2.409673809590554e-15	True	4.127457723569217e-14	1.3934464622819344e-15	True	3.780714021290826e-14	1.814721095523408e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-02_00-00-00_Galileo_BC-Asi_None.dat	53553.5	1.3098175653572998e-14	1.5564198645527915e-16	True	2.216710515081506e-15	2.9977065436123287e-17	True	4.210893498670353e-15	4.0619499196978596e-17	True	1.8677617217531953e-14	4.55640337574803e-16	True	6.648542041552157e-15	7.549514095292757e-17	True	1.7258478027508073e-15	2.212444194465179e-16	False	9.77469123587171e-15	1.0246734025041673e-15	False	3.9424762740079285e-14	3.0245191185614114e-15	True	3.323455264399746e-14	1.7289846997569355e-15	True	2.6745714440921435e-14	1.7387436724848498e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-05_00-00-00_Ekar_AFOSC_None.dat	53556.5	1.1806202587287222e-14	1.780309869708995e-16	True	2.1453845909844974e-15	3.564158810991766e-17	True	4.537075951487684e-15	4.117854618363632e-17	True	1.4260300260699417e-14	3.977239809874781e-16	True	6.494073786749823e-15	7.055577915892889e-17	True	1.7705780525246503e-15	1.6155888644524745e-16	False	1.0001507846556496e-14	3.2263988627432544e-16	True	9.830363456203463e-15	8.039478894801138e-16	True	1.251588633310668e-14	5.642477464266749e-16	True	8.286070598627533e-15	7.016979543759562e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-06_00-00-00_Subaru_FOCAS_None.dat	53557.5	1.1404900538110044e-14	1.7097451339708599e-16	True	2.127104072544923e-15	3.4148537563415415e-17	True	4.5484212861374006e-15	4.609001936862181e-17	True	1.2831586202147185e-14	3.8826525140534733e-16	True	6.415487101331095e-15	7.782270856589283e-17	True	1.7854402093751433e-15	1.4246966475617378e-16	False	9.984735721109736e-15	2.162851716692355e-16	True	5.246473247182956e-15	3.9881911782541454e-16	True	8.500760198351906e-15	3.198725784990399e-16	True	5.4334017098383916e-15	4.369451297893166e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-09_00-00-00_Swift-UVOT_UV-grism_None.dat	53560.5	9.922945459961191e-15	2.1972694692461223e-16	True	2.3137207936196326e-15	5.498041838344769e-17	True	4.555605692799572e-15	6.633429939855478e-17	True	8.953501571971562e-15	3.1053833800270735e-16	True	6.280855140103178e-15	1.39756870034889e-16	True	1.8298026938070693e-15	8.894526620056162e-17	False	9.357399316240318e-15	2.0338705634766865e-16	True	8.98727560886273e-16	3.756332915681766e-16	True	2.2013282958466025e-15	2.759197482067616e-16	True	6.006021701964256e-16	7.965624543496322e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-10_00-00-00_Lick-3m_KAST_None.ascii	53561.5	9.294620703104572e-15	1.5939747889716464e-16	True	2.3973863942448084e-15	4.65530264620002e-17	True	4.549472011270163e-15	6.046580116744248e-17	True	7.81663897363222e-15	2.5369524172617126e-16	True	6.245618689452537e-15	1.167965239294316e-16	True	1.8444951118396216e-15	7.287896657866873e-17	False	8.8582731552283e-15	2.1019958076626386e-16	True	6.24809568577855e-16	2.1270642456948405e-16	True	1.2998308896802913e-15	1.7851989916282396e-16	True	-4.4015707575507973e-16	3.3417069016326575e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-11_00-00-00_Swift-UVOT_UV-grism_None.dat	53562.5	8.661692887277213e-15	9.848903092473755e-17	True	2.4602222033390032e-15	3.326846228638244e-17	True	4.537612384113932e-15	5.0221506810054603e-17	True	6.766514712774863e-15	1.966908726308278e-16	True	6.185344411714647e-15	8.096140224986079e-17	True	1.859129266345631e-15	5.815582139502207e-17	False	8.236018927561691e-15	2.283554238309388e-16	True	5.896519722905567e-16	2.938422950529253e-16	True	1.028201607537218e-15	2.0744852383931704e-16	True	-1.3096454307845491e-15	6.503974736212657e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-14_00-00-00_Ekar_AFOSC_None.dat	53565.5	7.1315451290512e-15	7.846593447708147e-17	True	2.4739722315011414e-15	2.655572735737437e-17	True	4.4599095906919024e-15	3.755778200938942e-17	True	4.146378454347493e-15	1.4935860028590124e-16	True	5.7699996657772035e-15	5.714753584156946e-17	True	1.902632126838425e-15	2.932959256206072e-17	True	6.2907009099060215e-15	2.5182626849790858e-16	True	4.797000811839989e-16	3.4089446142253304e-15	True	3.94449754886513e-16	3.8294382845117413e-16	True	-3.093566733296489e-15	1.6975560629901714e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-15_00-00-00_Galileo_BC-Asi_None.dat	53566.5	6.6687868538453465e-15	1.320344701819567e-16	True	2.467156189679384e-15	3.2436563902090416e-17	True	4.4233881823143875e-15	4.369084511132305e-17	True	3.4250680728281234e-15	1.4384911648647858e-16	True	5.6424631264791915e-15	7.762609113378956e-17	True	1.917277785091964e-15	2.738824598815761e-17	True	5.738270939274372e-15	2.607143143523831e-16	True	4.4371200481350204e-16	6.309657429565756e-15	False	3.6706649660594504e-16	7.89333276372555e-16	True	-3.470010231977445e-15	2.040251858788913e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-07-16_00-00-00_P200_DBSP_None.flm	53567.5	6.184489211644247e-15	1.699783212983981e-16	True	2.4569684463993584e-15	3.852960122758034e-17	True	4.384875267057277e-15	4.98937825203496e-17	True	2.7779920561466263e-15	1.294693562438093e-16	True	5.549646169386559e-15	9.410274370874899e-17	True	1.932590733741737e-15	2.808608509560809e-17	True	5.276715837836945e-15	2.548751456561788e-16	True	4.1021693810383496e-16	9.498747031508198e-15	False	4.0144293178285975e-16	5.195617632181991e-16	True	-3.760957795948369e-15	2.3699560191926103e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-08-01_00-00-00_Lick-3m_KAST_None.ascii	53583.5	3.794242115485476e-15	8.772167252570207e-17	True	2.7795360842098222e-15	3.892508423026025e-17	True	4.665849123698099e-15	4.588836044468043e-17	True	9.78765657216926e-16	6.212119924620047e-17	True	5.305063040167323e-15	6.454894047205582e-17	True	2.3354978385172367e-15	3.119832063568134e-17	True	3.3984097517190553e-15	2.799347063629667e-15	True	1.0628589910458171e-16	5.882010396438956e-14	False	8.287561145222664e-16	3.2311390659287617e-14	False	-3.198976189927452e-15	5.374310605422236e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-08-02_00-00-00_XLT_BFOSC_None.ascii	53584.5	3.728533750358115e-15	7.8572109424901e-17	True	2.806616649449667e-15	3.214647276508608e-17	True	4.722675663184072e-15	4.4455564811937843e-17	True	9.244082060830178e-16	8.310147037098396e-17	True	5.295270800683277e-15	6.744967699516959e-17	True	2.3646628642614747e-15	2.882180758190841e-17	True	3.3004433903143163e-15	3.007082055971286e-15	True	9.686942645826527e-17	6.104874718762799e-14	False	8.335296579959137e-16	3.438514387089963e-14	False	-3.0597021834620904e-15	5.451538924279735e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-08-10_00-00-00_TNG_DOLORES_None.ascii	53592.5	3.2742009263087984e-15	9.350710162529055e-17	True	3.1419572303299856e-15	4.599625866644302e-17	True	4.935424953739173e-15	6.011424887809535e-17	True	6.876605826027414e-16	1.0915082975065839e-16	True	5.176121646488082e-15	9.176202723767182e-17	True	2.592507244521762e-15	3.677061928684288e-17	True	2.607533239566071e-15	4.1985868721363056e-15	True	4.3309947760017477e-17	7.510559344387295e-14	False	8.223279517027549e-16	4.9132350588272006e-14	False	-2.0280555583618243e-15	5.837755197777945e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-08-27_00-00-00_TNG_DOLORES_None.ascii	53609.5	2.821720330918838e-15	8.016992654904114e-17	True	3.4139469523232265e-15	4.935941848234784e-17	True	5.4631785113018185e-15	6.723296476345437e-17	True	4.6161636168793195e-16	6.714371971016246e-17	True	5.3243216629672595e-15	1.2928074735276002e-16	True	2.9811926170060896e-15	3.5797756896144117e-17	True	1.9346668999488583e-15	4.311130544404259e-15	True	1.3934433489422523e-18	8.930870958380266e-14	False	6.519517012332382e-16	6.960307631887663e-14	False	-6.987325631804113e-16	6.044047146441973e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-08-28_00-00-00_Other_Other_None.ascii	53610.5	2.8243493950279694e-15	1.0571442773456991e-16	True	3.4313393141418278e-15	4.9201396635258427e-17	True	5.497664034145772e-15	6.504615885206708e-17	True	4.585471633853653e-16	9.156662254036826e-17	True	5.3636925430113595e-15	1.193240016730836e-16	True	3.004796857596487e-15	3.539414081811711e-17	True	1.9277397118873384e-15	4.217920689326422e-15	True	4.619464864930868e-19	8.973181269377656e-14	False	6.397574627298747e-16	7.041797148366616e-14	False	-6.53012716768411e-16	6.047106274350805e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-09-11_00-00-00_Lick-3m_KAST_None.ascii	53624.5	2.52511625824325e-15	6.589872480022626e-16	True	3.710811745799719e-15	1.147678721515944e-16	True	5.57204808720048e-15	1.294353175768255e-16	True	4.117761712425027e-16	3.811350121046808e-16	True	5.018930889485862e-15	3.011456618039886e-16	True	3.2103211176555317e-15	4.9633720016645483e-17	True	1.985942881666267e-15	1.3105619037504258e-15	True	-5.2761211442343855e-18	9.325180812584791e-14	False	4.72803137921067e-16	7.862830970080488e-14	False	-2.440718404895533e-16	6.064651997576273e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-10-29_00-00-00_Ekar_AFOSC_None.ascii	53672.5	2.8995966619727223e-16	5.2157642868053365e-17	True	1.7474202006747639e-15	3.6413891631408545e-17	True	1.9611106446068616e-15	4.2688072198829724e-17	True	3.39755368899443e-16	1.5032897862451403e-14	False	1.2437479541722391e-15	6.267323243589324e-17	True	7.28067223576484e-16	1.4297762605926684e-16	True	3.054471420898812e-16	5.6752063830433694e-15	False	-1.655845222196774e-18	9.487774034221952e-14	False	1.242403463521478e-16	8.576622548072506e-14	False	-6.245476223394108e-18	6.06730999722611e-14	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2005cs/2005cs_2005-11-08_00-00-00_Ekar_AFOSC_None.ascii	53682.5	2.3236475995163202e-17	1.935127121298909e-17	True	2.8446148320650414e-16	4.373891441538431e-17	True	2.5948081042193254e-16	8.170060073580342e-18	True	3.1964986751339935e-16	1.8307408187232614e-14	False	1.1268786324988388e-16	2.258101840214338e-17	True	3.6818308630886055e-16	4.105767907972288e-17	True	1.743188585618718e-16	5.73486320599534e-15	False	-1.1021292285309616e-18	9.489108985770149e-14	False	9.107704434342599e-17	8.597654001102342e-14	False	-2.8200466401102418e-18	6.067311267259153e-14	False
