MJD,Mag,Mag_err,band,Instr
49076.89,10.77,0.1,Bessell_B,Rich1994
49076.89,9.95,0.1,Bessell_U,Rich1994
49077.06,10.02,0.1,Bessell_U,Rich1994
49077.98,10.69,0.1,Bessell_I,Rich1994
49077.98,10.83,0.1,Bessell_R,Rich1994
49077.98,10.55,0.1,Bessell_U,Rich1994
49077.98,11.02,0.1,Bessell_V,Rich1994
49078.9,11.57,0.1,Bessell_B,Rich1994
49078.9,10.84,0.1,Bessell_I,Rich1994
49078.9,11.05,0.1,Bessell_U,Rich1994
49079.99,11.91,0.1,Bessell_B,Rich1994
49079.99,11.32,0.1,Bessell_R,Rich1994
49079.99,11.48,0.1,Bessell_U,Rich1994
49079.99,11.62,0.1,Bessell_V,Rich1994
49080.16,11.93,0.1,Bessell_B,Rich1994
49080.16,10.97,0.1,Bessell_I,Rich1994
49080.16,11.26,0.1,Bessell_R,Rich1994
49080.16,11.64,0.1,Bessell_V,Rich1994
49080.9,12.14,0.1,Bessell_B,Rich1994
49080.9,11.19,0.1,Bessell_I,Rich1994
49080.9,11.41,0.1,Bessell_R,Rich1994
49080.9,11.76,0.1,Bessell_U,Rich1994
49081.09,12.19,0.1,Bessell_B,Rich1994
49081.09,11.23,0.1,Bessell_I,Rich1994
49081.09,11.47,0.1,Bessell_R,Rich1994
49081.09,11.8,0.1,Bessell_U,Rich1994
49081.09,11.81,0.1,Bessell_V,Rich1994
49081.95,11.27,0.1,Bessell_I,Rich1994
49081.95,11.52,0.1,Bessell_R,Rich1994
49082.08,12.29,0.1,Bessell_B,Rich1994
49082.08,11.28,0.1,Bessell_I,Rich1994
49082.08,11.51,0.1,Bessell_R,Rich1994
49082.08,11.92,0.1,Bessell_V,Rich1994
49082.91,12.27,0.1,Bessell_B,Rich1994
49082.91,11.47,0.1,Bessell_R,Rich1994
49082.91,11.86,0.1,Bessell_V,Rich1994
49082.97,12.27,0.1,Bessell_B,Rich1994
49082.97,11.26,0.1,Bessell_I,Rich1994
49082.97,11.44,0.1,Bessell_R,Rich1994
49083.1,12.26,0.1,Bessell_B,Rich1994
49083.1,11.24,0.1,Bessell_I,Rich1994
49083.1,11.93,0.1,Bessell_U,Rich1994
49083.1,11.86,0.1,Bessell_V,Rich1994
49083.99,11.17,0.1,Bessell_I,Rich1994
49083.99,11.95,0.1,Bessell_U,Rich1994
49085.02,12.07,0.1,Bessell_B,Rich1994
49085.02,11.09,0.1,Bessell_I,Rich1994
49085.02,11.24,0.1,Bessell_R,Rich1994
49085.02,11.9,0.1,Bessell_U,Rich1994
49085.1,11.1,0.1,Bessell_I,Rich1994
49085.1,11.89,0.1,Bessell_U,Rich1994
49085.98,11.95,0.1,Bessell_B,Rich1994
49085.98,10.96,0.1,Bessell_I,Rich1994
49085.98,11.11,0.1,Bessell_R,Rich1994
49085.98,11.78,0.1,Bessell_U,Rich1994
49085.98,11.5,0.1,Bessell_V,Rich1994
49087.07,11.82,0.1,Bessell_B,Rich1994
49087.07,11.04,0.1,Bessell_R,Rich1994
49087.07,11.7,0.1,Bessell_U,Rich1994
49087.16,10.94,0.1,Bessell_I,Rich1994
49087.16,11.02,0.1,Bessell_R,Rich1994
49087.16,11.69,0.1,Bessell_U,Rich1994
49087.16,11.36,0.1,Bessell_V,Rich1994
49087.89,11.73,0.1,Bessell_B,Rich1994
49087.89,10.83,0.1,Bessell_R,Rich1994
49087.89,11.28,0.1,Bessell_V,Rich1994
49087.93,10.74,0.1,Bessell_I,Rich1994
49087.93,10.83,0.1,Bessell_R,Rich1994
49087.93,11.29,0.1,Bessell_V,Rich1994
49088.01,11.73,0.1,Bessell_B,Rich1994
49088.01,10.82,0.1,Bessell_I,Rich1994
49088.01,10.86,0.1,Bessell_R,Rich1994
49088.01,11.65,0.1,Bessell_U,Rich1994
49088.06,11.74,0.1,Bessell_B,Rich1994
49088.06,10.81,0.1,Bessell_I,Rich1994
49088.06,11.66,0.1,Bessell_U,Rich1994
49088.93,11.17,0.1,Bessell_V,Rich1994
49089.87,11.51,0.1,Bessell_B,Rich1994
49090.0,11.53,0.1,Bessell_B,Rich1994
49090.0,11.08,0.1,Bessell_V,Rich1994
49090.88,11.48,0.1,Bessell_B,Rich1994
49091.04,11.46,0.1,Bessell_B,Rich1994
49091.17,11.45,0.1,Bessell_B,Rich1994
49091.17,10.55,0.1,Bessell_I,Rich1994
49091.17,10.66,0.1,Bessell_R,Rich1994
49091.17,11.35,0.1,Bessell_U,Rich1994
49091.17,10.98,0.1,Bessell_V,Rich1994
49091.88,11.42,0.1,Bessell_B,Rich1994
49091.88,10.94,0.1,Bessell_V,Rich1994
49091.98,11.4,0.1,Bessell_B,Rich1994
49091.98,10.93,0.1,Bessell_V,Rich1994
49092.15,11.4,0.1,Bessell_B,Rich1994
49092.15,10.48,0.1,Bessell_I,Rich1994
49092.15,10.6,0.1,Bessell_R,Rich1994
49092.15,11.34,0.1,Bessell_U,Rich1994
49092.15,10.91,0.1,Bessell_V,Rich1994
49092.88,11.38,0.1,Bessell_B,Rich1994
49092.88,10.89,0.1,Bessell_V,Rich1994
49093.05,11.39,0.1,Bessell_B,Rich1994
49093.19,11.39,0.1,Bessell_B,Rich1994
49093.19,10.43,0.1,Bessell_I,Rich1994
49093.19,10.53,0.1,Bessell_R,Rich1994
49093.19,11.34,0.1,Bessell_U,Rich1994
49093.19,10.89,0.1,Bessell_V,Rich1994
49093.89,11.37,0.1,Bessell_B,Rich1994
49093.89,10.87,0.1,Bessell_V,Rich1994
49094.0,11.38,0.1,Bessell_B,Rich1994
49094.0,10.85,0.1,Bessell_V,Rich1994
49094.19,11.39,0.1,Bessell_B,Rich1994
49094.19,10.39,0.1,Bessell_I,Rich1994
49094.19,11.37,0.1,Bessell_U,Rich1994
49094.19,10.84,0.1,Bessell_V,Rich1994
49094.2,10.41,0.1,Bessell_I,Rich1994
49094.93,11.4,0.1,Bessell_B,Rich1994
49095.15,11.41,0.1,Bessell_B,Rich1994
49095.15,10.37,0.1,Bessell_I,Rich1994
49095.15,10.48,0.1,Bessell_R,Rich1994
