MJD,Mag,Mag_err,band,Instr
55646.03,18.82,0.06,sdss_i',LTetal
55646.03,18.71,0.1,sdss_r',LTetal
55649.06,18.78,0.16,sdss_g',LTetal
55662.06,17.26,0.11,Bessell_B,LTetal
55662.06,16.61,0.06,Bessell_I,LTetal
55662.06,16.67,0.1,Bessell_R,LTetal
55662.06,16.91,0.11,Bessell_V,LTetal
55662.99,17.31,0.04,Bessell_B,LTetal
55662.99,16.6,0.11,Bessell_I,LTetal
55662.99,16.56,0.11,Bessell_R,LTetal
55662.99,16.8,0.3,Bessell_U,LTetal
55662.99,16.85,0.11,Bessell_V,LTetal
55663.0,17.17,0.16,sdss_g',LTetal
55663.0,16.93,0.27,sdss_i',LTetal
55663.0,16.95,0.15,sdss_r',LTetal
55663.0,17.42,0.08,sdss_u',LTetal
55663.0,17.07,0.12,sdss_z',LTetal
55664.0,17.25,0.04,Bessell_B,LTetal
55664.0,16.42,0.09,Bessell_I,LTetal
55664.0,16.52,0.08,Bessell_R,LTetal
55664.0,16.72,0.09,Bessell_U,LTetal
55664.0,16.83,0.04,Bessell_V,LTetal
55664.0,17.07,0.19,sdss_g',LTetal
55664.0,16.84,0.07,sdss_i',LTetal
55664.0,16.84,0.18,sdss_r',LTetal
55664.0,17.56,0.03,sdss_u',LTetal
55664.0,16.92,0.05,sdss_z',LTetal
55664.86,17.23,0.1,Bessell_B,LTetal
55664.86,16.44,0.05,Bessell_I,LTetal
55664.86,16.51,0.06,Bessell_R,LTetal
55664.86,16.82,0.04,Bessell_V,LTetal
55664.87,16.93,0.42,sdss_g',LTetal
55664.87,16.74,0.04,sdss_i',LTetal
55664.87,16.81,0.05,sdss_r',LTetal
55664.87,16.82,0.09,sdss_z',LTetal
55665.91,17.12,0.05,Bessell_B,LTetal
55665.91,16.39,0.02,Bessell_I,LTetal
55665.91,16.48,0.03,Bessell_R,LTetal
55665.91,16.63,0.11,Bessell_U,LTetal
55665.91,16.8,0.05,Bessell_V,LTetal
55665.92,16.88,0.28,sdss_g',LTetal
55665.92,16.71,0.16,sdss_i',LTetal
55665.92,16.69,0.19,sdss_r',LTetal
55665.92,17.39,0.1,sdss_u',LTetal
55665.92,16.83,0.06,sdss_z',LTetal
55666.37,17.1,0.07,Bessell_B,LTetal
55666.37,16.37,0.04,Bessell_I,LTetal
55666.37,16.45,0.07,Bessell_R,LTetal
55666.37,16.72,0.06,Bessell_V,LTetal
55668.36,17.07,0.11,Bessell_B,LTetal
55668.36,16.24,0.09,Bessell_I,LTetal
55668.36,16.44,0.11,Bessell_R,LTetal
55668.36,16.7,0.09,Bessell_V,LTetal
55669.3,17.05,0.08,Bessell_B,LTetal
55669.3,16.25,0.08,Bessell_I,LTetal
55669.3,16.39,0.08,Bessell_R,LTetal
55669.3,16.7,0.38,Bessell_U,LTetal
55669.3,16.67,0.08,Bessell_V,LTetal
55669.95,17,0.08,Bessell_B,LTetal
55669.95,16.37,0.08,Bessell_I,LTetal
55669.95,16.42,0.08,Bessell_R,LTetal
55669.95,16.68,0.08,Bessell_U,LTetal
55669.95,16.71,0.08,Bessell_V,LTetal
55671.08,17.02,0.12,Bessell_B,LTetal
55671.08,16.17,0.15,Bessell_I,LTetal
55671.08,16.37,0.17,Bessell_R,LTetal
55671.08,16.7,0.11,Bessell_U,LTetal
55671.08,16.65,0.1,Bessell_V,LTetal
55671.3,17.05,0.15,Bessell_B,LTetal
55671.3,16.18,0.08,Bessell_I,LTetal
55671.3,16.32,0.09,Bessell_R,LTetal
55671.3,16.61,0.06,Bessell_U,LTetal
55671.3,16.61,0.15,Bessell_V,LTetal
55671.9,17.02,0.05,Bessell_B,LTetal
55671.9,16.24,0.07,Bessell_I,LTetal
55671.9,16.35,0.04,Bessell_R,LTetal
55671.9,16.64,0.07,Bessell_U,LTetal
55671.9,16.61,0.05,Bessell_V,LTetal
55671.92,17,0.19,Bessell_B,LTetal
55671.92,16.15,0.11,Bessell_I,LTetal
55671.92,16.22,0.12,Bessell_R,LTetal
55671.92,16.56,0.19,Bessell_U,LTetal
55671.92,16.58,0.2,Bessell_V,LTetal
55671.92,16.82,0.06,sdss_g',LTetal
55671.92,16.53,0.11,sdss_i',LTetal
55671.92,16.54,0.11,sdss_r',LTetal
55671.92,17.42,0.06,sdss_u',LTetal
55671.92,16.63,0.03,sdss_z',LTetal
55672.4,17.02,0.06,Bessell_B,LTetal
55672.4,16.14,0.1,Bessell_I,LTetal
55672.4,16.23,0.07,Bessell_R,LTetal
55672.4,16.6,0.18,Bessell_U,LTetal
55672.4,16.54,0.03,Bessell_V,LTetal
