MJD,Mag,Mag_err,band,Instr
56465.084,15.955,0.017,sdss_r',LCOGT
56465.086,16.124,0.016,sdss_i',LCOGT
56465.088,16.097,0.037,sdss_z',LCOGT
56467.07,16.146,0.012,Bessell_B,LCOGT
56467.073,15.748,0.009,Bessell_V,LCOGT
56467.076,15.484,0.01,Bessell_R,LCOGT
56467.078,15.4,0.016,Bessell_I,LCOGT
56467.08,15.991,0.007,sdss_g',LCOGT
56467.084,15.665,0.01,sdss_r',LCOGT
56467.086,15.793,0.012,sdss_i',LCOGT
56467.088,15.745,0.036,sdss_z',LCOGT
56467.275,15.814,0.01,sdss_i',P60
56467.277,15.679,0.01,sdss_r',P60
56467.278,15.961,0.01,sdss_g',P60
56468.094,16.032,0.014,Bessell_B,LCOGT
56468.098,15.591,0.015,Bessell_V,LCOGT
56468.1,15.888,0.008,sdss_g',LCOGT
56468.104,15.607,0.012,sdss_r',LCOGT
56468.106,15.736,0.01,sdss_i',LCOGT
56468.113,15.67,0.05,Bessell_U,LCOGT
56469.07,15.989,0.007,Bessell_B,LCOGT
56469.073,15.571,0.009,Bessell_V,LCOGT
56469.076,15.319,0.009,Bessell_R,LCOGT
56469.078,15.238,0.01,Bessell_I,LCOGT
56469.08,15.833,0.007,sdss_g',LCOGT
56469.084,15.527,0.007,sdss_r',LCOGT
56469.086,15.641,0.012,sdss_i',LCOGT
56469.088,15.619,0.021,sdss_z',LCOGT
56469.259,15.608,0.01,sdss_i',P60
56469.26,15.48,0.01,sdss_r',P60
56469.261,15.745,0.01,sdss_g',P60
56470.222,15.53,0.01,sdss_i',P60
56470.223,15.411,0.01,sdss_r',P60
56470.224,15.684,0.01,sdss_g',P60
56470.908,15.805,0.006,Bessell_B,LCOGT
56470.916,15.358,0.013,Bessell_V,LCOGT
56470.927,15.327,0.015,sdss_r',LCOGT
56470.931,15.467,0.021,sdss_i',LCOGT
56471.073,15.889,0.011,Bessell_B,LCOGT
56471.077,15.382,0.007,Bessell_V,LCOGT
56471.084,15.364,0.01,sdss_r',LCOGT
56471.086,15.461,0.01,sdss_i',LCOGT
56471.088,15.382,0.029,sdss_z',LCOGT
56471.185,15.462,0.01,sdss_i',P60
56471.186,15.338,0.01,sdss_r',P60
56471.187,15.626,0.01,sdss_g',P60
56472.166,15.794,0.006,Bessell_B,LCOGT
56472.173,15.322,0.008,Bessell_V,LCOGT
56472.177,15.63,0.004,sdss_g',LCOGT
56472.185,15.287,0.006,sdss_r',LCOGT
56472.189,15.41,0.006,sdss_i',LCOGT
56472.19,15.418,0.01,sdss_i',P60
56472.191,15.28,0.01,sdss_r',P60
56472.204,15.591,0.01,sdss_g',P60
56473.282,15.356,0.01,sdss_i',P60
56473.282,15.241,0.01,sdss_r',P60
56473.283,15.557,0.01,sdss_g',P60
56473.284,15.365,0.01,sdss_i',P60
56473.285,15.241,0.01,sdss_r',P60
56473.286,15.567,0.01,sdss_g',P60
56474.205,15.316,0.01,sdss_i',P60
56474.206,15.19,0.01,sdss_r',P60
56474.207,15.545,0.01,sdss_g',P60
56474.954,15.79,0.009,Bessell_B,LCOGT
56474.955,15.238,0.007,Bessell_V,LCOGT
