MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
55962.40000000008	1.4266919229763926e-16	1.1468452746145716e-17	1.244960051655623e-16	1.538507358379342e-17	1.0329017421794629e-16	7.638658723331863e-18	1.41312123675334e-16	9.17633673324836e-18	nan	nan	nan	nan	nan	nan	nan	nan
55962.450000000084	1.591742272990955e-16	1.2428529690785677e-17	1.3069065122441637e-16	1.5225695363919326e-17	1.149010523840873e-16	8.287300025284077e-18	1.573420651995487e-16	9.957302588472487e-18	nan	nan	nan	nan	nan	nan	nan	nan
55962.50000000009	1.7569375820437796e-16	1.3280444614831217e-17	1.3688820914092857e-16	1.5091035200627815e-17	1.26511612217249e-16	8.884832422097773e-18	1.7338122480152932e-16	1.0699340360150927e-17	nan	nan	nan	nan	nan	nan	nan	nan
55962.55000000009	1.922157343295016e-16	1.4026607210140355e-17	1.4308598257896254e-16	1.4979210793490886e-17	1.381147384743757e-16	9.429962672041273e-18	1.8942232769705665e-16	1.1397970563649343e-17	nan	nan	nan	nan	nan	nan	nan	nan
55962.60000000009	2.0872810502423113e-16	1.4671813183920838e-17	1.4928127520183753e-16	1.488833766855018e-17	1.4970331581520678e-16	9.923295123842661e-18	2.0545809911626525e-16	1.2051262584811099e-17	nan	nan	nan	nan	nan	nan	nan	nan
55962.650000000096	2.2521881937807375e-16	1.5222692836045667e-17	1.5547139064967326e-16	1.4816554316140278e-17	1.612702287134033e-16	1.036674767661794e-17	2.214812642357277e-16	1.2658991908996668e-17	nan	nan	nan	nan	nan	nan	nan	nan
55962.7000000001	2.4167582592738895e-16	1.5687422287980447e-17	1.6165363251709487e-16	1.4762045052110192e-17	1.7280836136793997e-16	1.0763214269824382e-17	2.3748454811168204e-16	1.3222130720243561e-17	nan	nan	nan	nan	nan	nan	nan	nan
55962.7500000001	2.580870723614596e-16	1.607556166425136e-17	1.6782530433043955e-16	1.4723059998522272e-17	1.8431059761399927e-16	1.1116358417433536e-17	2.5346067561215854e-16	1.3742528053644145e-17	nan	nan	nan	nan	nan	nan	nan	nan
55962.800000000105	2.744405052294646e-16	1.639794558702721e-17	1.7398370952546126e-16	1.4697931799641396e-17	1.9576982083426402e-16	1.1430476075458282e-17	2.694023713496989e-16	1.4222699534008382e-17	nan	nan	nan	nan	nan	nan	nan	nan
55962.85000000011	2.9072406964673613e-16	1.66665776357682e-17	1.8012615142463897e-16	1.468508889785889e-17	2.0717891387022637e-16	1.1710392553914324e-17	2.8530235961339824e-16	1.466568081427369e-17	nan	nan	nan	nan	nan	nan	nan	nan
55962.90000000011	3.069257090012326e-16	1.6894491497561245e-17	1.8624993321471536e-16	1.468306537361971e-17	2.1853075893316493e-16	1.19613716438669e-17	3.01153364302302e-16	1.5074917399709937e-17	nan	nan	nan	nan	nan	nan	nan	nan
