spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009dd/2009dd_2009-04-15_00-00-00_VLT-UT2_X-Shooter_None.ascii	54936.0	3.0417207974874177e-14	4.717599545744179e-16	True	3.4682162511453547e-15	1.0266737159700614e-16	True	9.19398124461433e-15	3.546628102753118e-16	True	3.820711605732481e-14	1.834696241672572e-15	True	1.527316111513964e-14	1.46801385406743e-16	True	5.480101298710541e-15	9.873841634809649e-17	True	1.1070447654371743e-14	2.0040737833869065e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009dd/2009dd_2009-04-16_00-00-00_TNG_NICS_None.ascii	54937.0	2.934449483023193e-14	4.1808541732579653e-16	True	3.4774918842290305e-15	9.914687179960845e-17	True	9.191948998461178e-15	3.44565502130544e-16	True	3.680414148582396e-14	1.4258834505690399e-15	True	1.5649834356967054e-14	1.6941658717816555e-16	True	5.559509886007246e-15	7.615749907823697e-17	True	1.1231181771887243e-14	1.5929808169367889e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009dd/2009dd_2009-05-20_00-00-00_Other_Other_None.ascii	54971.0	6.3702587541079424e-15	6.930077805998054e-17	True	3.701518314751088e-15	1.6066182208127007e-16	True	8.757918922022001e-15	2.9568226061771146e-16	True	1.9456237699947308e-15	3.039208069742107e-16	True	8.909214542621719e-15	1.3875214851915797e-16	True	5.251836342607001e-15	6.627713841443225e-17	True	9.1871522487859e-15	1.2506219452598667e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009dd/2009dd_2009-07-20_00-00-00_Other_Other_None.ascii	55032.0	1.963768605713604e-15	1.0198990556099327e-16	True	2.2815532758558324e-15	4.290990002284822e-17	True	4.375599506761339e-15	7.82503184530655e-17	True	3.4114408521853233e-16	2.660380179121221e-15	True	4.073249819358234e-15	2.954917209260029e-16	True	3.140916882908858e-15	1.3325214371251733e-15	False	5.750678628423066e-15	2.5903853414501617e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009dd/2009dd_2009-11-20_00-00-00_TNG_NICS_None.ascii	55155.0	1.6087249644363235e-16	4.921996806410646e-18	True	1.8865796359461305e-16	1.192091973277041e-17	True	4.786883378125841e-16	1.157397488057007e-17	True	3.864681000810608e-15	1.7831480608376803e-14	False	2.9923896851238676e-16	3.227227082676385e-17	True	6.373871318772249e-16	3.766132270668844e-15	False	1.2205336282191827e-15	7.229905392238723e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009dd/2009dd_2009-11-22_00-00-00_Other_Other_None.ascii	55157.0	1.5044200982622523e-16	4.174714147966762e-18	True	1.8418131579666735e-16	1.1550173091579896e-17	True	4.658213431062145e-16	1.125648667749419e-17	True	3.864681015367007e-15	1.7831480608376807e-14	False	2.8797484578082516e-16	2.8745682738977017e-17	True	6.192134518466377e-16	3.77402668823143e-15	False	1.1856063128938037e-15	7.244071959606833e-15	False
