MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54924.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.05	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.100000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.15000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.20000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.250000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.30000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.35000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.40000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.450000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.50000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.55000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.600000000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.65000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.70000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.750000000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.80000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.85000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.90000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54924.950000000055	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54925.00000000006	nan	nan	nan	nan	nan	nan	nan	nan	1.017108337446941e-20	1.815564396402797e-20	nan	nan	nan	nan
54925.05000000006	nan	nan	nan	nan	nan	nan	nan	nan	8.302886083606199e-16	4.120996301639348e-18	nan	nan	nan	nan
54925.100000000064	nan	nan	nan	nan	nan	nan	nan	nan	1.6270089710745587e-15	7.656294124053737e-18	nan	nan	nan	nan
54925.15000000007	nan	nan	nan	nan	nan	nan	nan	nan	2.3759020664633337e-15	1.0697554906563316e-17	nan	nan	nan	nan
54925.20000000007	nan	nan	nan	nan	nan	nan	nan	nan	3.070850519497335e-15	1.332632124646849e-17	nan	nan	nan	nan
54925.25000000007	nan	nan	nan	nan	nan	nan	nan	nan	3.710763222267571e-15	1.5605928723036123e-17	nan	nan	nan	nan
54925.300000000076	nan	nan	nan	nan	nan	nan	nan	nan	4.295983824743463e-15	1.7600225977047013e-17	nan	nan	nan	nan
54925.35000000008	nan	nan	nan	nan	nan	nan	nan	nan	4.828285042489026e-15	1.9358005703092506e-17	nan	nan	nan	nan
54925.40000000008	nan	nan	nan	nan	nan	nan	nan	nan	5.310774759028332e-15	2.0913822722717345e-17	nan	nan	nan	nan
54925.450000000084	nan	nan	nan	nan	nan	nan	nan	nan	5.7466106380458965e-15	2.230905984548721e-17	nan	nan	nan	nan
54925.50000000009	nan	nan	nan	nan	nan	nan	nan	nan	6.138980216639415e-15	2.3584037493529494e-17	nan	nan	nan	nan
54925.55000000009	nan	nan	nan	nan	nan	nan	nan	nan	6.491199426421051e-15	2.4753179343106134e-17	nan	nan	nan	nan
54925.60000000009	nan	nan	nan	nan	nan	nan	nan	nan	6.8066166029699114e-15	2.5828787007466674e-17	nan	nan	nan	nan
54925.650000000096	nan	nan	nan	nan	nan	nan	nan	nan	7.088578977779208e-15	2.6829998156046197e-17	nan	nan	nan	nan
54925.7000000001	nan	nan	nan	nan	nan	nan	nan	nan	7.340432612799186e-15	2.7782359046989163e-17	nan	nan	nan	nan
54925.7500000001	nan	nan	nan	nan	nan	nan	nan	nan	7.565292168310148e-15	2.8706542981711036e-17	nan	nan	nan	nan
54925.800000000105	nan	nan	nan	nan	nan	nan	nan	nan	7.765582574589383e-15	2.9598035011128195e-17	nan	nan	nan	nan
54925.85000000011	nan	nan	nan	nan	nan	nan	nan	nan	7.943599876589842e-15	3.045204819767494e-17	nan	nan	nan	nan
54925.90000000011	nan	nan	nan	nan	nan	nan	nan	nan	8.101639447561516e-15	3.1270208150641154e-17	nan	nan	nan	nan
54925.95000000011	nan	nan	nan	nan	nan	nan	nan	nan	8.241996060593413e-15	3.206086113979722e-17	nan	nan	nan	nan
54926.00000000012	nan	nan	nan	nan	nan	nan	nan	nan	8.366963956729077e-15	3.283853626948348e-17	nan	nan	nan	nan
54926.05000000012	nan	nan	nan	nan	nan	nan	nan	nan	8.47879445070304e-15	3.3621156374170546e-17	nan	nan	nan	nan
54926.10000000012	nan	nan	nan	nan	nan	nan	nan	nan	8.57909802196452e-15	3.440744645890828e-17	nan	nan	nan	nan
54926.150000000125	nan	nan	nan	nan	nan	nan	nan	nan	8.668989193503287e-15	3.518222788751931e-17	nan	nan	nan	nan
54926.20000000013	nan	nan	nan	nan	nan	nan	nan	nan	8.749569273779201e-15	3.593484931979862e-17	nan	nan	nan	nan
54926.25000000013	nan	nan	nan	nan	nan	nan	nan	nan	8.821939289692207e-15	3.6660558551382874e-17	nan	nan	nan	nan
54926.300000000134	nan	nan	nan	nan	nan	nan	nan	nan	8.887200020078853e-15	3.7360793155738184e-17	nan	nan	nan	nan
54926.35000000014	nan	nan	nan	nan	nan	nan	nan	nan	8.94645203062668e-15	3.804295787831283e-17	nan	nan	nan	nan
54926.40000000014	nan	nan	nan	nan	nan	nan	nan	nan	9.000795702053835e-15	3.871974633494781e-17	nan	nan	nan	nan
54926.45000000014	nan	nan	nan	nan	nan	nan	nan	nan	9.051329846353715e-15	3.940794913684328e-17	nan	nan	nan	nan
54926.500000000146	nan	nan	nan	nan	nan	nan	nan	nan	9.09892186788302e-15	4.011509388276635e-17	nan	nan	nan	nan
54926.55000000015	nan	nan	nan	nan	nan	nan	nan	nan	9.14395376045271e-15	4.082570744778528e-17	nan	nan	nan	nan
54926.60000000015	nan	nan	nan	nan	nan	nan	nan	nan	9.186746286507054e-15	4.1524352761095475e-17	nan	nan	nan	nan
54926.650000000154	nan	nan	nan	nan	nan	nan	nan	nan	9.227620139075103e-15	4.219988306121801e-17	nan	nan	nan	nan
54926.70000000016	nan	nan	nan	nan	nan	nan	nan	nan	9.266895950632217e-15	4.2846072471970177e-17	nan	nan	nan	nan
54926.75000000016	nan	nan	nan	nan	nan	nan	nan	nan	9.304894305210792e-15	4.346187348119703e-17	nan	nan	nan	nan
54926.80000000016	nan	nan	nan	nan	nan	nan	nan	nan	9.341935746375635e-15	4.4051368132220304e-17	nan	nan	nan	nan
54926.850000000166	nan	nan	nan	nan	nan	nan	nan	nan	9.378340785612861e-15	4.462344763475626e-17	nan	nan	nan	nan
54926.90000000017	nan	nan	nan	nan	nan	nan	nan	nan	9.414429915444944e-15	4.519122768630329e-17	nan	nan	nan	nan
54926.95000000017	nan	nan	nan	nan	nan	nan	nan	nan	9.450523616165457e-15	4.577118901791104e-17	nan	nan	nan	nan
54927.000000000175	nan	nan	nan	nan	nan	nan	nan	nan	9.486924909521451e-15	4.637985143542452e-17	nan	nan	nan	nan
54927.05000000018	nan	nan	nan	nan	nan	nan	nan	nan	9.523752777915197e-15	4.701188038087278e-17	nan	nan	nan	nan
54927.10000000018	nan	nan	nan	nan	nan	nan	nan	nan	9.561015867646627e-15	4.764958972352966e-17	nan	nan	nan	nan
54927.15000000018	nan	nan	nan	nan	nan	nan	nan	nan	9.598721340475328e-15	4.827764431673401e-17	nan	nan	nan	nan
54927.200000000186	nan	nan	nan	nan	nan	nan	nan	nan	9.636876366608868e-15	4.888408994982469e-17	nan	nan	nan	nan
54927.25000000019	nan	nan	nan	nan	nan	nan	nan	nan	9.675488130669547e-15	4.946089249690738e-17	nan	nan	nan	nan
54927.30000000019	nan	nan	nan	nan	nan	nan	nan	nan	9.714563828799637e-15	5.000423199587807e-17	nan	nan	nan	nan
54927.350000000195	nan	nan	nan	nan	nan	nan	nan	nan	9.75411066612108e-15	5.051459691580115e-17	nan	nan	nan	nan
54927.4000000002	nan	nan	nan	nan	nan	nan	nan	nan	9.794135864238242e-15	5.099670646421399e-17	nan	nan	nan	nan
54927.4500000002	nan	nan	nan	nan	nan	nan	nan	nan	9.834646653617002e-15	5.14592713987046e-17	nan	nan	nan	nan
54927.500000000204	nan	nan	nan	nan	nan	nan	nan	nan	9.875650278429053e-15	5.1914589133725797e-17	nan	nan	nan	nan
54927.55000000021	nan	nan	nan	nan	nan	nan	nan	nan	9.917153996020206e-15	5.237795904160572e-17	nan	nan	nan	nan
54927.60000000021	nan	nan	nan	nan	nan	nan	nan	nan	9.959165076969477e-15	5.2866900540065805e-17	nan	nan	nan	nan
54927.65000000021	nan	nan	nan	nan	nan	nan	nan	nan	1.0001687782248521e-14	5.339769845622967e-17	nan	nan	nan	nan
54927.700000000215	nan	nan	nan	nan	nan	nan	nan	nan	1.0044698257068104e-14	5.3964024331982714e-17	nan	nan	nan	nan
54927.75000000022	nan	nan	nan	nan	nan	nan	nan	nan	1.0088157360050189e-14	5.454772667141263e-17	nan	nan	nan	nan
54927.80000000022	nan	nan	nan	nan	nan	nan	nan	nan	1.0132025809686623e-14	5.513216905889331e-17	nan	nan	nan	nan
54927.850000000224	nan	nan	nan	nan	nan	nan	nan	nan	1.0176264333094461e-14	5.570313586882219e-17	nan	nan	nan	nan
54927.90000000023	nan	nan	nan	nan	nan	nan	nan	nan	1.022083366802458e-14	5.624938487004882e-17	nan	nan	nan	nan
54927.95000000023	nan	nan	nan	nan	nan	nan	nan	nan	1.0265694557899226e-14	5.676301153912973e-17	nan	nan	nan	nan
54928.00000000023	nan	nan	nan	nan	nan	nan	nan	nan	1.0310807754234164e-14	5.72396614927454e-17	nan	nan	nan	nan
54928.050000000236	nan	nan	nan	nan	nan	nan	nan	nan	1.0356134015634373e-14	5.767861927203109e-17	nan	nan	nan	nan
54928.10000000024	nan	nan	nan	nan	nan	nan	nan	nan	1.0401634100586675e-14	5.808279144135689e-17	nan	nan	nan	nan
54928.15000000024	nan	nan	nan	nan	nan	nan	nan	nan	1.0447268774667113e-14	5.845859140080463e-17	nan	nan	nan	nan
54928.200000000244	nan	nan	nan	nan	nan	nan	nan	nan	1.0492998803392646e-14	5.881572364869641e-17	nan	nan	nan	nan
54928.25000000025	nan	nan	nan	nan	nan	nan	nan	nan	1.0538784952989156e-14	5.916685746962449e-17	nan	nan	nan	nan
