MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56450.300000000076	6.569655064849468e-15	1.1495107070124536e-16	1.2502540684545771e-15	2.3351279810729127e-17	2.2584623038508987e-15	2.860741977859664e-17	1.9519116908365873e-14	8.949523722974951e-16	3.18834236684675e-15	3.38060853855795e-17	nan	nan	nan	nan	nan	nan	1.0166127000515715e-14	3.277196780569684e-16	nan	nan	nan	nan
56450.35000000008	7.11154696860375e-15	1.1463448110024502e-16	1.3368151648332275e-15	2.3520130525146966e-17	2.5811736831560777e-15	3.1925362126873086e-17	1.9786335520361617e-14	8.624344633653535e-16	3.598892408723573e-15	3.4713717395556607e-17	nan	nan	nan	nan	nan	nan	1.1390535906143668e-14	3.566426687259093e-16	nan	nan	nan	nan
56450.40000000008	7.651041249464803e-15	1.1612087094428757e-16	1.423189599340114e-15	2.3828709109691377e-17	2.8962146626800206e-15	3.5056960142408476e-17	2.0056275528112516e-14	8.314491264352875e-16	4.000544047167333e-15	3.6126372775380995e-17	nan	nan	nan	nan	nan	nan	1.2583362129872912e-14	3.829055746054957e-16	nan	nan	nan	nan
56450.450000000084	8.18656836819568e-15	1.190445672379791e-16	1.5092767365729318e-15	2.4258525681348044e-17	3.202957283294906e-15	3.796793015158872e-17	2.0328745158956153e-14	8.020946843385021e-16	4.3920965236466385e-15	3.7798863447698684e-17	nan	nan	nan	nan	nan	nan	1.3738551974557294e-14	4.0676335506215e-16	nan	nan	nan	nan
56450.50000000009	8.716691793359937e-15	1.2304695519240079e-16	1.5949813037864638e-15	2.4790975405443655e-17	3.500908551173778e-15	4.065637170274018e-17	2.0603492927731305e-14	7.744639684772273e-16	4.772576658046946e-15	3.9577040824118313e-17	nan	nan	nan	nan	nan	nan	1.485188028356161e-14	4.286387352898304e-16	nan	nan	nan	nan
56450.55000000009	9.240110814478544e-15	1.2781007289100207e-16	1.680213119314367e-15	2.5408179808733337e-17	3.789688117069741e-15	4.313474708207441e-17	2.0880204762689952e-14	7.486412079413435e-16	5.141222406479733e-15	4.1372027580391576e-17	nan	nan	nan	nan	nan	nan	1.5920560955689942e-14	4.489265051138699e-16	nan	nan	nan	nan
56450.60000000009	9.755655934410039e-15	1.3307100507202041e-16	1.7648867985698933e-15	2.6093557535071193e-17	4.0690101110297895e-15	4.5421335087409443e-17	2.11585038960729e-14	7.24698739852856e-16	5.497459734876406e-15	4.313660658383863e-17	nan	nan	nan	nan	nan	nan	1.6942928427237343e-14	4.679344346904868e-16	nan	nan	nan	nan
56450.650000000096	1.0262281051045133e-14	1.3862258503201084e-16	1.8489214683426772e-15	2.683214536685007e-17	4.338668263043542e-15	4.7536098154251934e-17	2.1437953923503938e-14	7.026937713292579e-16	5.840877789645928e-15	4.4848268275344083e-17	nan	nan	nan	nan	nan	nan	1.791818086617516e-14	4.85879232298092e-16	nan	nan	nan	nan
56450.7000000001	1.0759054546333795e-14	1.4430697312202834e-16	1.9322405008839186e-15	2.7610720555148604e-17	4.598523645612145e-15	4.949868165316998e-17	2.1718064999669735e-14	6.826654626630112e-16	6.171204996934248e-15	4.649826946475912e-17	nan	nan	nan	nan	nan	nan	1.8846174860164368e-14	5.029023041206312e-16	nan	nan	nan	nan
56450.7500000001	1.1245150308763334e-14	1.5000683192558036e-16	2.0147712710751535e-15	2.8417783290376424e-17	4.848494420218859e-15	5.1327474627220006e-17	2.199830260895824e-14	6.646325903367935e-16	6.4882872840317435e-15	4.808496962839008e-17	nan	nan	nan	nan	nan	nan	1.9727262222841987e-14	5.190899891071276e-16	nan	nan	nan	nan
56450.800000000105	1.1719839160915647e-14	1.556366579486194e-16	2.0964449364667714e-15	2.924345207232363e-17	5.088547263251447e-15	5.303919479933798e-17	2.2278097934940817e-14	6.485919911283062e-16	6.792068909551337e-15	4.960994851268973e-17	nan	nan	nan	nan	nan	nan	2.056216089475011e-14	5.34491963685502e-16	nan	nan	nan	nan
56450.85000000011	1.2182480885574908e-14	1.611353277413298e-16	2.1771962385816784e-15	3.007931286803314e-17	5.318690086466678e-15	5.464872788868055e-17	2.2556858714288096e-14	6.345179075181326e-16	7.082575820301241e-15	5.107585014900771e-17	nan	nan	nan	nan	nan	nan	2.1351853287822647e-14	5.491357159125746e-16	nan	nan	nan	nan
