MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56192.21000000017	4.127268539987285e-16	1.306465108107721e-16	9.259551363055881e-17	3.9939879755658653e-17	2.498737780039841e-16	8.361861649274359e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.26000000017	4.1046183889268707e-16	1.2608997402229097e-16	9.357450882858223e-17	3.8894651904779385e-17	2.499436926508088e-16	8.147746810185239e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.31000000017	4.0810013267840966e-16	1.2072748606590499e-16	9.463091162016624e-17	3.756980503629297e-17	2.4985123216853868e-16	7.882629021461271e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.360000000175	4.056380324095073e-16	1.146026117357589e-16	9.576153516663711e-17	3.5975420402284044e-17	2.4957675567453124e-16	7.568070635482816e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.41000000018	4.030718294129784e-16	1.0776458442128448e-16	9.696320046040864e-17	3.4124068696893756e-17	2.4910060065857257e-16	7.206096873378831e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.46000000018	4.003978090906583e-16	1.0026874358418373e-16	9.823273597280426e-17	3.2031029795133925e-17	2.484030807361423e-16	6.79922587566011e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.510000000184	3.976122507164236e-16	9.21772346927303e-17	9.956697729861978e-17	2.971461738885929e-17	2.4746448339380925e-16	6.350515380825606e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.56000000019	3.9471142724515247e-16	8.356008704803514e-17	1.00962766814099e-16	2.7196661533155194e-17	2.46265067747194e-16	5.86363276473345e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.61000000019	3.9169160510568386e-16	7.44969019298345e-17	1.0241695332513172e-16	2.4503249003183365e-17	2.447850622745023e-16	5.342960679689586e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.66000000019	3.885490440068386e-16	6.507964060468777e-17	1.0392639171288206e-16	2.1665920436234667e-17	2.430046625704943e-16	4.793761294339857e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56192.710000000196	3.852799967310319e-16	5.5417629992391835e-17	1.0548794259721687e-16	1.872375028585825e-17	2.409040290808397e-16	4.2224447371323024e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
