spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-01_01-13-23_Swift-UVOT_UV-grism_None.txt	56201.05	1.7645777248685178e-14	2.7563203517411642e-16	True	3.193346753874769e-15	3.695827590159449e-17	True	6.290675408560019e-15	6.543653156242748e-17	True	9.546970386639729e-15	1.2578211219714763e-16	True	3.494753467294687e-14	5.235249823460793e-16	True	8.547040306779845e-14	1.405477874685272e-15	True	5.867052758277722e-14	9.226697546661337e-16	True	8.633558962820298e-14	1.2584775408527732e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-01_00-00-00_FTS_FLOYDS-S_None.dat	56201.5	1.809362892316544e-14	2.756708955770762e-16	True	3.272977760709242e-15	4.023485236438802e-17	True	6.5676140940341995e-15	6.825909384433539e-17	True	9.769570999760521e-15	1.2798551713933953e-16	True	3.572485682302539e-14	5.307168062455596e-16	True	8.678787626105724e-14	1.3800083005716857e-15	True	5.978307981410033e-14	9.231528410739524e-16	True	8.770857366060599e-14	1.2392231739222956e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-02_14-08-21_Swift-UVOT_UV-grism_None.txt	56202.09	1.860542299157794e-14	2.9921889653698347e-16	True	3.394382963015333e-15	5.360537422780253e-17	True	6.841259038552342e-15	1.0172500292087299e-16	True	1.0131895300457959e-14	1.364755294096905e-16	True	3.6570309733721065e-14	5.462169969415959e-16	True	8.806147163216626e-14	1.3653334170465314e-15	True	6.097628404283331e-14	9.309697509234905e-16	True	8.911600749798524e-14	1.2328011658844979e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-02_00-00-00_FTS_FLOYDS-S_None.dat	56202.5	1.8929663764562978e-14	3.521390283267008e-16	True	3.4740902988019155e-15	7.161508793659677e-17	True	6.979104208431019e-15	1.387003025771656e-16	True	1.0503939412111331e-14	1.5674030817769253e-16	True	3.705786823387265e-14	5.648521619118802e-16	True	8.870299267196575e-14	1.3807243393332892e-15	True	6.165514053452573e-14	9.499903827977258e-16	True	8.989978766293415e-14	1.2419136058900274e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-03_02-49-01_Swift-UVOT_UV-grism_None.txt	56203.12	1.9374194907259242e-14	4.3831094777960834e-16	True	3.584152092332039e-15	9.046232478152621e-17	True	7.147191543657982e-15	1.64272171543059e-16	True	1.1180116592930912e-14	1.671490301117566e-16	True	3.766507702433136e-14	6.048886161711531e-16	True	8.934697903596889e-14	1.4441238583693722e-15	True	6.246482056403192e-14	1.001115954878185e-15	True	9.08943742960488e-14	1.2659762707260005e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-03_00-00-00_FTS_FLOYDS-S_None.dat	56203.5	1.9619919024549384e-14	4.808203121992383e-16	True	3.645511075512956e-15	9.563933546997464e-17	True	7.248702295411875e-15	1.562781498969386e-16	True	1.1605849614928621e-14	1.6472317674633926e-16	True	3.7969361006326106e-14	6.350449492401362e-16	True	8.955376200349006e-14	1.5015913004411351e-15	True	6.283019563997196e-14	1.0430580452148098e-15	True	9.142880095785572e-14	1.2889853120864581e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-04_09-10-01_Swift-UVOT_UV-grism_None.txt	56204.38	2.0178847061806348e-14	5.496828842947432e-16	True	3.782389050586176e-15	1.0502578860507164e-16	True	7.518355615486837e-15	1.0999824625104271e-16	True	1.232437038060144e-14	1.8155744565197362e-16	True	3.84856427008256e-14	7.111456794293078e-16	True	8.94028592773365e-14	1.6544112316227358e-15	True	6.323087572146313e-14	1.1509479210765353e-15	True	9.218730233333747e-14	1.354379943882825e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-04_00-00-00_FTS_FLOYDS-S_None.dat	56204.5	2.025764710012393e-14	5.558424656374543e-16	True	3.801552350800675e-15	1.0714139171647888e-16	True	7.558279680525519e-15	1.065612787596571e-16	True	1.237969966293806e-14	1.8813005282274994e-16	True	3.8535184770417705e-14	7.214069405506091e-16	True	8.93070395445738e-14	1.6748636064000823e-15	True	6.323225497244663e-14	1.165277558948728e-15	True	9.219749228778722e-14	1.362651744643555e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-05_09-12-55_Swift-UVOT_UV-grism_None.txt	56205.38	2.0803756613438122e-14	5.514466480597652e-16	True	3.9347806907974014e-15	1.178377553197334e-16	True	7.836470053587041e-15	1.1195967132111195e-16	True	1.2538069155490928e-14	2.1191573597082851e-16	True	3.8722435389779444e-14	7.837553882484171e-16	True	8.801411192171963e-14	1.7920136859425135e-15	True	6.282454243898044e-14	1.2489650848751604e-15	True	9.125382660649938e-14	1.3920034693721682e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-05_00-00-00_FTS_FLOYDS-S_None.dat	56205.5	2.086873060313379e-14	5.429203538662216e-16	True	3.950889657114239e-15	1.1831017709351152e-16	True	7.870426623328772e-15	1.1346554929945728e-16	True	1.2530945834363688e-14	2.107717451849448e-16	True	3.872183931366334e-14	7.900316918605645e-16	True	8.775462683184272e-14	1.802366741302843e-15	True	6.271005548707678e-14	1.2567228268980217e-15	True	9.09662670218248e-14	1.3910519626622029e-15	True
