# wavelength flux
3750.00225 1.98757e-18
3751.26791 1.83391e-18
3752.54361 4.68150e-18
3753.80926 6.89522e-18
3755.08497 8.34291e-18
3756.35062 8.84293e-18
3757.61628 8.87518e-18
3758.89198 8.03962e-18
3760.15764 6.34713e-18
3761.44339 5.74050e-18
3762.70905 6.81409e-18
3763.98475 7.26655e-18
3765.25041 6.93598e-18
3766.51606 7.66575e-18
3767.79177 8.49039e-18
3769.05742 8.40333e-18
3770.33313 8.33822e-18
3771.59878 8.78989e-18
3772.87448 8.22070e-18
3774.14014 7.44005e-18
3775.40580 6.74349e-18
3776.68150 5.22259e-18
3777.94716 3.55221e-18
3779.22286 3.50407e-18
3780.48852 3.81867e-18
3781.77427 3.59201e-18
3783.03992 5.47140e-18
3784.30558 8.55173e-18
3785.58128 9.39327e-18
3786.84694 8.32489e-18
3788.12264 7.85995e-18
3789.38830 6.41199e-18
3790.66400 3.60892e-18
3791.92966 2.21379e-18
3793.19532 2.53559e-18
3794.47102 2.79263e-18
3795.73668 3.39634e-18
3797.01238 4.29042e-18
3798.27804 4.48519e-18
3799.55374 4.01375e-18
3800.81940 3.55831e-18
3802.08505 3.49338e-18
3803.37080 3.49292e-18
3804.63646 3.06029e-18
3805.91216 2.48394e-18
3807.17782 1.73266e-18
3808.45352 2.59836e-19
3809.71918 -7.68984e-19
3810.99488 6.44452e-19
3812.26054 3.19387e-18
3813.52620 4.44828e-18
3814.80190 4.60583e-18
3816.06755 4.31241e-18
3817.34326 2.87579e-18
3818.60891 1.11578e-18
3819.88462 4.14903e-19
3821.15027 5.29847e-19
3822.41593 8.25507e-19
3823.70168 1.11412e-18
3824.96734 1.17441e-18
3826.24304 1.35511e-18
3827.50870 1.89498e-18
3828.78440 2.35532e-18
3830.05006 2.57783e-18
3831.31571 2.85461e-18
3832.59142 3.17813e-18
3833.85707 3.38174e-18
3835.13278 3.45342e-18
3836.39843 2.99164e-18
3837.67413 1.63986e-18
3838.93979 6.64632e-19
3840.20545 5.01201e-20
3841.48115 -1.03173e-18
3842.74681 -1.42960e-18
3844.02251 -4.54569e-19
3845.29821 -1.51041e-19
3846.57392 2.35593e-19
3847.83957 2.07033e-18
3849.10523 3.80255e-18
3850.38093 4.13994e-18
3851.64659 4.19446e-18
3852.92229 4.43051e-18
3854.18795 4.30974e-18
3855.46365 3.58084e-18
3856.72931 2.89514e-18
3857.99497 3.03902e-18
3859.27067 3.17501e-18
3860.53633 2.90601e-18
3861.81203 3.41354e-18
3863.07769 5.02453e-18
3864.35339 6.44111e-18
3865.61905 7.01364e-18
3866.89475 7.15677e-18
3868.17045 6.37456e-18
3869.43611 4.71586e-18
3870.71181 3.26321e-18
3871.97747 2.28349e-18
3873.25317 1.16129e-18
3874.51883 6.83388e-19
3875.79453 1.51266e-18
3877.06019 2.59410e-18
3878.32585 3.42432e-18
3879.60155 4.39758e-18
3880.86720 5.08448e-18
3882.14291 4.85266e-18
3883.40856 3.52960e-18
3884.68427 2.12898e-18
3885.94992 1.46691e-18
3887.22563 1.20744e-18
3888.50133 8.99235e-19
3889.76699 9.91003e-19
3891.04269 9.47842e-19
3892.30835 5.44903e-19
3893.58405 4.72997e-19
3894.84971 1.06250e-18
3896.11536 2.29299e-18
3897.39107 3.88870e-18
3898.65672 4.99685e-18
3899.93243 5.66502e-18
3901.19808 6.48799e-18
3902.47378 6.64747e-18
3903.73944 5.79052e-18
3905.00510 4.93786e-18
3906.28080 4.41583e-18
3907.54646 3.87789e-18
3908.83221 3.95384e-18
3910.09786 4.92238e-18
3911.37357 6.16895e-18
3912.63922 6.73221e-18
3913.91493 6.12876e-18
3915.18058 5.58122e-18
3916.44624 5.94004e-18
3917.72194 6.19720e-18
3918.98760 6.43280e-18
3920.26330 7.50620e-18
3921.52896 8.29045e-18
3922.80466 8.37992e-18
3924.07032 8.84303e-18
3925.33598 9.38153e-18
3926.61168 9.13309e-18
3927.87734 8.57269e-18
3929.16308 8.12656e-18
3930.42874 7.55290e-18
3931.70444 7.01697e-18
3932.97010 7.29840e-18
3934.23576 8.10083e-18
3935.51146 8.29638e-18
3936.77712 7.95987e-18
3938.05282 7.81671e-18
3939.31848 7.46076e-18
3940.59418 6.86867e-18
3941.85984 6.66735e-18
3943.12550 6.94725e-18
3944.40120 7.14680e-18
3945.66685 7.30002e-18
3946.94256 7.76825e-18
3948.20821 8.30613e-18
3949.48392 8.52310e-18
3950.75962 9.05538e-18
3952.02528 9.62323e-18
3953.30098 9.26949e-18
3954.56664 8.66732e-18
3955.84234 8.69415e-18
3957.10800 8.19827e-18
3958.38370 6.89525e-18
3959.64936 6.36921e-18
3960.91501 6.63670e-18
3962.19072 6.34798e-18
3963.45637 5.71562e-18
3964.73207 5.92116e-18
3965.99773 6.42863e-18
3967.27343 6.24766e-18
3968.53909 5.70859e-18
3969.81479 5.94738e-18
3971.09050 6.49398e-18
3972.35615 6.21848e-18
3973.63186 5.55632e-18
3974.89751 5.56086e-18
3976.17322 5.75181e-18
3977.43887 5.74215e-18
3978.71458 5.87942e-18
3979.98023 6.08704e-18
3981.24589 6.11742e-18
3982.52159 6.13780e-18
3983.78725 6.34814e-18
3985.06295 6.68812e-18
3986.32861 6.92354e-18
3987.60431 7.35652e-18
3988.86997 8.29953e-18
3990.13563 8.76379e-18
3991.41133 8.40166e-18
3992.68703 8.12511e-18
3993.96273 7.77832e-18
3995.22839 7.33432e-18
3996.50409 7.28182e-18
3997.76975 8.17388e-18
3999.03541 9.24691e-18
4000.31111 9.80269e-18
4001.57677 9.74754e-18
4002.85247 9.87724e-18
4004.11813 9.56618e-18
4005.39383 8.89889e-18
4006.65949 8.44228e-18
4007.92514 7.65657e-18
4009.20085 6.63250e-18
4010.46650 6.38616e-18
4011.74221 6.66159e-18
4013.01791 7.11233e-18
4014.29361 8.22131e-18
4015.55927 9.63371e-18
4016.83497 1.05985e-17
4018.10063 1.08988e-17
4019.36629 1.03401e-17
4020.64199 9.08968e-18
4021.90765 8.11936e-18
4023.18335 7.82771e-18
4024.44901 8.03036e-18
4025.72471 8.54681e-18
4026.99037 9.32809e-18
4028.25602 9.40830e-18
4029.53172 8.55123e-18
4030.79738 7.83888e-18
4032.07308 7.70973e-18
4033.33874 7.73852e-18
4034.62449 8.30361e-18
4035.89015 8.90917e-18
4037.15580 8.86628e-18
4038.43151 8.88325e-18
4039.69716 9.00087e-18
4040.97287 8.40579e-18
4042.23852 8.07962e-18
4043.51423 8.77335e-18
4044.77988 9.37903e-18
4046.04554 9.38787e-18
4047.32124 9.46638e-18
4048.58690 9.45691e-18
4049.86260 8.87260e-18
4051.12826 8.51899e-18
4052.40396 8.59662e-18
4053.66962 8.55190e-18
4054.94532 8.17123e-18
4056.22102 7.87512e-18
4057.48668 7.72481e-18
4058.76238 7.54570e-18
4060.02804 7.27424e-18
4061.30374 7.81924e-18
4062.56940 8.96636e-18
4063.84510 9.50237e-18
4065.11076 9.77707e-18
4066.37642 1.05736e-17
4067.65212 1.09041e-17
4068.91778 1.04510e-17
4070.19348 1.04217e-17
4071.45914 1.07947e-17
4072.73484 1.09732e-17
4074.00050 1.12620e-17
4075.26615 1.18258e-17
4076.55190 1.18977e-17
4077.81756 1.13247e-17
4079.09326 1.06538e-17
4080.35892 1.01107e-17
4081.63462 9.74680e-18
4082.90028 9.53139e-18
4084.16594 9.44696e-18
4085.44164 9.42206e-18
4086.70730 9.29109e-18
4087.98300 8.87903e-18
4089.24866 8.65762e-18
4090.52436 8.66490e-18
4091.79002 8.73111e-18
4093.05567 8.87744e-18
4094.33137 8.99989e-18
4095.59703 8.88500e-18
4096.87273 8.86399e-18
4098.14844 8.73683e-18
4099.42414 8.39906e-18
4100.68980 8.44040e-18
4101.95545 8.83136e-18
4103.23116 8.75303e-18
4104.49681 8.07896e-18
4105.77252 7.33465e-18
4107.03817 6.65838e-18
4108.31388 5.87603e-18
4109.57953 5.50430e-18
4110.84519 5.83667e-18
4112.12089 6.39362e-18
4113.38655 6.65265e-18
4114.66225 6.92896e-18
4115.92791 7.50984e-18
4117.20361 8.11223e-18
