# wavelength flux
3201.41008 2.72143e-17
3203.10767 2.73057e-17
3204.80526 1.18054e-17
3206.50284 4.15070e-19
3208.20043 3.37427e-18
3209.89802 3.85045e-18
3211.59561 8.26085e-18
3213.29320 1.47760e-17
3214.99078 3.10496e-17
3216.68837 3.87833e-17
3218.38596 4.30429e-17
3220.08355 4.28155e-17
3221.78114 3.02218e-17
3223.47872 7.69995e-18
3225.17631 -8.07647e-18
3226.87390 -2.30477e-17
3228.57149 -1.71158e-17
3230.26908 -8.33487e-18
3231.96666 -1.04538e-17
3233.66425 -7.43847e-18
3235.36184 -3.00118e-18
3237.05943 -2.54889e-18
3238.75702 -6.15957e-18
3240.45461 -6.59237e-18
3242.15219 -8.92305e-18
3243.84978 -7.43691e-18
3245.54737 -6.52199e-18
3247.24496 -3.07342e-19
3248.94255 2.95150e-18
3250.64013 1.00884e-17
3252.33772 2.18188e-17
3254.03531 3.39764e-17
3255.73290 4.58111e-17
3257.43049 5.47915e-17
3259.12807 5.10072e-17
3260.82566 3.37015e-17
3262.52325 9.34597e-18
3264.22084 -1.19788e-17
3265.91843 -2.10211e-17
3267.61601 -2.22413e-17
3269.31360 -6.70523e-18
3271.01119 1.13351e-17
3272.70878 2.79557e-17
3274.40637 4.63890e-17
3276.10396 4.67668e-17
3277.80154 3.25468e-17
3279.49913 1.51976e-17
3281.19672 9.36932e-18
3282.89431 -3.94525e-18
3284.59190 6.96459e-19
3286.28948 1.05874e-17
3287.98707 2.15239e-17
3289.68466 2.05088e-17
3291.38225 2.26564e-17
3293.07984 2.49710e-17
3294.77742 1.42600e-17
3296.47501 1.04099e-17
3298.17260 4.38563e-18
3299.87019 3.32847e-18
3301.56778 7.64292e-18
3303.26537 2.22032e-17
3304.96295 2.80274e-17
3306.66054 2.38914e-17
3308.35813 2.08922e-17
3310.05572 1.55703e-17
3311.75331 1.28741e-18
3313.45089 -1.10514e-17
3315.14848 -3.15191e-18
3316.84607 5.61941e-18
3318.54366 -1.62900e-18
3320.24125 6.11917e-18
3321.93883 1.52709e-17
3323.63642 1.80666e-17
3325.33401 9.07357e-18
3327.03160 1.36970e-17
3328.72919 2.75675e-17
3330.42677 3.41133e-17
3332.12436 2.41937e-17
3333.82195 8.31737e-18
3335.51954 -4.48474e-17
3337.21713 -1.17689e-16
3338.91472 -1.34613e-16
3340.61230 -1.22760e-16
3342.30989 -1.06661e-16
3344.00748 -4.63980e-17
3345.70507 2.39712e-17
3347.40266 3.81765e-17
3349.10024 4.17226e-17
3350.79783 5.18947e-17
3352.49542 4.32589e-17
3354.19301 2.38838e-17
3355.89060 1.91664e-17
3357.58818 1.71052e-17
3359.28577 7.12147e-18
3360.98336 3.15432e-18
3362.68095 -7.44524e-20
3364.37854 4.57354e-19
3366.07612 -1.03114e-18
3367.77371 -4.04905e-18
3369.47130 -1.77490e-19
3371.16889 6.30973e-18
3372.86648 -3.70124e-18
3374.56407 -7.32364e-18
3376.26165 4.21173e-18
3377.95924 1.43698e-17
