MJD	Bessell_B	Bessell_B_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
53784.10000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.246059428551433e-16	5.565161008476232e-18	1.7578186908235576e-15	1.2445519915607052e-17	nan	nan	5.889629196033138e-15	5.717621166484381e-17	1.11692880941886e-14	2.2223352119084043e-16	3.381293687456376e-16	3.709763747180598e-18
53784.15000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.573893426729129e-16	4.789631497199028e-18	2.1349857977561183e-15	1.0342260128044633e-17	nan	nan	7.126350141912758e-15	4.809798659878213e-17	1.532463654831574e-14	1.5327180762775952e-16	3.957657745407974e-16	3.1523324513319896e-18
53784.20000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0909633495341698e-15	4.3167025692067825e-18	2.51348387138293e-15	9.34250569214783e-18	1.433383846121094e-14	8.184296800459985e-16	8.369113014862736e-15	4.347915261877773e-17	1.9634281980183782e-14	1.7808751745046464e-16	4.541261163249752e-16	2.8469923147426506e-18
53784.250000000065	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2230805345080526e-15	4.1062398072158296e-18	2.8857272355792323e-15	9.203061356125931e-18	2.0029042041616814e-14	7.784475600892164e-16	9.595113392997494e-15	4.251439341816236e-17	2.3768205611538975e-14	2.0034104205394092e-16	5.120332882573941e-16	2.751044786704784e-18
53784.30000000007	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.3512928514457789e-15	4.077200920789135e-18	3.2437780067334603e-15	9.526736879200986e-18	2.52157939386946e-14	7.588944681746524e-16	1.0779750027688647e-14	4.3737214977100365e-17	2.7437099455988812e-14	2.17069426109995e-16	5.682399358537888e-16	2.786135937147269e-18
53784.35000000007	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4732632198585289e-15	4.1436473608953625e-18	3.580447524834309e-15	9.993092460973242e-18	2.8828572948601086e-14	8.402490515791231e-16	1.1900311502571495e-14	4.583934649400742e-17	3.054559046910721e-14	2.2877145830292137e-16	6.21590857237232e-16	2.878617440471194e-18
53784.400000000074	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.586886872673593e-15	4.240495133282484e-18	3.889617040321089e-15	1.0425277119936691e-17	3.1411479507566713e-14	1.1354161813618807e-15	1.2937626654960683e-14	4.800883277341489e-17	3.303145936698111e-14	2.3799388452867014e-16	6.710867219295664e-16	2.9796845421479483e-18
53784.45000000008	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6903440482076714e-15	4.328453920968957e-18	4.166317715651491e-15	1.0749612007751439e-17	3.3538296090780604e-14	1.6344614285174705e-15	1.387600217878878e-14	4.985372492020498e-17	3.4921872126321983e-14	2.443120796888174e-16	7.159076399353704e-16	3.063724477775194e-18
53784.50000000008	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.782139707648589e-15	4.388095406387211e-18	4.406718674194471e-15	1.0948789349304152e-17	3.524534025936602e-14	1.8749840610846447e-15	1.4702956728511665e-14	5.124182286323053e-17	3.6256242182191783e-14	2.4864484293230135e-16	7.554143600111746e-16	3.120451367316011e-18
53784.55000000008	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.861117822165163e-15	4.4128651240811035e-18	4.608128984823203e-15	1.1032337956254482e-17	3.6521074535346545e-14	1.7293672374967906e-15	1.5409134942036825e-14	5.2181713805432385e-17	3.712978144811247e-14	2.4902730908878274e-16	7.891394683329239e-16	3.1485599947778127e-18
53784.600000000086	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.9264684236180938e-15	4.4039069859740976e-18	4.7690036660626636e-15	1.1020486909471564e-17	3.7343546089445184e-14	1.3026431382116131e-15	1.598821111572406e-14	5.275170039173761e-17	3.760295894930276e-14	2.4513207716312693e-16	8.167825898761498e-16	3.151626404188133e-18
53784.65000000009	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.9777146022551864e-15	4.366821392924351e-18	4.8888478265072175e-15	1.093690821939469e-17	3.768961696780702e-14	1.0307488346017728e-15	1.6436989334656307e-14	5.305178585976371e-17	3.769959524486947e-14	2.3757201223015294e-16	8.382036400142922e-16	3.1357065335589103e-18
53784.70000000009	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0147009757682452e-15	4.3096665565916985e-18	4.968112739490642e-15	1.0805295450343313e-17	3.759803359164301e-14	1.0875934817405594e-15	1.675522364007218e-14	5.318328118761432e-17	3.7418010950716203e-14	2.281227185255461e-16	8.534141421804437e-16	3.10788495210128e-18
53784.750000000095	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.037572889483143e-15	4.241833492528734e-18	5.0080916852477025e-15	1.0647616778522902e-17	3.7127762043929885e-14	1.5917404339057665e-15	1.6945384392834222e-14	5.3237751184190895e-17	3.676535323434963e-14	2.1884912908602845e-16	8.625656819603824e-16	3.0752073863762306e-18
53784.8000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.046760549493821e-15	4.172910980913805e-18	5.0107810180035e-15	1.0484745997212652e-17	3.6411657411061626e-14	2.2677631443235717e-15	1.7012114785526058e-14	5.3299005145480833e-17	3.580446861426858e-14	2.0973978639604305e-16	8.659350405852151e-16	3.043662669785102e-18
53784.8500000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0429536006366833e-15	4.1114106286342274e-18	4.9787677603876224e-15	1.0335868211549015e-17	3.549952566586214e-14	2.7460571261205485e-15	1.6961913482990197e-14	5.343885625154133e-17	3.458963502794189e-14	2.013696521298051e-16	8.639085644550805e-16	3.017931059179734e-18
53784.9000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0270736666321033e-15	4.063931292963438e-18	4.915120805262143e-15	1.0215939228541522e-17	3.442865336851641e-14	2.9130351742504005e-15	1.680281629580903e-14	5.371191502152639e-17	3.3166347945080754e-14	1.9223731500486363e-16	8.569618295445855e-16	3.0011605382971527e-18
53784.950000000106	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0002358887600813e-15	4.034557808313571e-18	4.823263495188666e-15	1.0134021505829272e-17	3.323072380960629e-14	2.7717914105066118e-15	1.6544010331606206e-14	5.4146064390893066e-17	3.156917585415994e-14	1.8291294885528146e-16	8.45636714731165e-16	2.9948148125723447e-18
53785.00000000011	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.96369614879377e-15	4.0247847652201934e-18	4.706824519702758e-15	1.009251773749385e-17	3.193246282190567e-14	2.432718295358332e-15	1.6195427124527275e-14	5.473367277723946e-17	2.9831870162660426e-14	1.7375123519816974e-16	8.305176125092696e-16	2.9987436513055724e-18
53785.05000000011	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.9188009534553592e-15	4.033421270572143e-18	4.5695348224331506e-15	1.008891536257704e-17	3.055617898053627e-14	2.1509318207976323e-15	1.5767493956777294e-14	5.544566119544132e-17	2.8001135222681172e-14	1.6684759680908971e-16	8.12208715496534e-16	3.0114569381163517e-18
53785.100000000115	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8669345183334632e-15	4.057306315144671e-18	4.4151263551036945e-15	1.0117284636901975e-17	2.9114407431947507e-14	2.053668433902192e-15	1.5270847830212962e-14	5.623950180657436e-17	2.61206194459978e-14	1.6233237655087908e-16	7.913108633647211e-16	3.030347248769049e-18
53785.15000000012	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8094703403487157e-15	4.092063951275305e-18	4.247239716318353e-15	1.016940295182876e-17	2.760299289435674e-14	1.825046685684123e-15	1.471608300337224e-14	5.706535916551768e-17	2.423394486641709e-14	1.5922524453567107e-16	7.684028528776914e-16	3.0520114523497454e-18
53785.20000000012	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.747730956829281e-15	4.132619817776025e-18	4.069342891407459e-15	1.0235433559433295e-17	2.6012483633870805e-14	1.323914470363908e-15	1.4113551340501027e-14	5.78718269199608e-17	2.2341743036292355e-14	1.554663208614375e-16	7.440347504310994e-16	3.073068895024736e-18
53785.250000000124	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6829659658655833e-15	4.173834340697474e-18	3.8846169788145836e-15	1.0302713094991947e-17	2.4329786424047108e-14	9.288327756487135e-16	1.3473212658905557e-14	5.861088533992044e-17	2.0469674896519664e-14	1.5247808768033788e-16	7.18720045853312e-16	3.0905680209711994e-18
53785.30000000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6163376502339035e-15	4.211142074551461e-18	3.695963268013745e-15	1.0358518622620955e-17	2.255325133969055e-14	1.3370272562636073e-15	1.2804527853446827e-14	5.924189001726192e-17	1.8656078520542877e-14	1.5020442631986756e-16	6.929313405863498e-16	3.1019847579336672e-18
53785.35000000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5489114335175654e-15	4.240960757500186e-18	3.5060162843849323e-15	1.0392524844435355e-17	2.076473024745398e-14	1.6810387348416405e-15	1.2116386105483597e-14	5.973452768783159e-17	1.6927637182675352e-14	1.496773955211485e-16	6.670984606140258e-16	3.1051520563037698e-18
53785.40000000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.48164568267571e-15	4.2605428976744835e-18	3.317134425943139e-15	1.0397615056720504e-17	1.906967413928749e-14	1.595624167537324e-15	1.1417057935505007e-14	6.007066872382785e-17	1.528463442738785e-14	1.4911492838677175e-16	6.41603969044263e-16	3.0986705721758926e-18
53785.450000000135	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4153924091743258e-15	4.2683758260658776e-18	3.131397617644952e-15	1.0370275157304504e-17	1.7573559478023267e-14	1.1165362074478662e-15	1.0714167201830293e-14	6.024489522424269e-17	1.3730247246822407e-14	1.465487758746551e-16	6.167820095231229e-16	3.081982046329544e-18
53785.50000000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.3508968889607368e-15	4.264257716285143e-18	2.950609897895388e-15	1.0310652579820408e-17	1.6384623334500383e-14	6.522219982261538e-16	1.0014676688969727e-14	6.026320545898973e-17	1.2287365261494328e-14	1.4214956217374356e-16	5.929183806377263e-16	3.0553340662496033e-18
53785.55000000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2887977645831901e-15	4.2492154999126366e-18	2.7763016642959813e-15	1.0221780853559162e-17	1.5606625240101032e-14	6.410309037017162e-16	9.324842323644571e-15	6.013296925267331e-17	1.0957296749720034e-14	1.3502978484755188e-16	5.70251245618606e-16	3.0196985499688847e-18
53785.600000000144	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2296283812578353e-15	4.225364710372471e-18	2.609714054330004e-15	1.0105622050672372e-17	nan	nan	8.650046143700303e-15	5.98331888769978e-17	9.686717226394956e-15	1.3043375174393416e-16	5.489726209049447e-16	2.9766230260538955e-18
53785.65000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1738189118530268e-15	4.1956862332694374e-18	2.4518240619492316e-15	9.964766707679397e-18	nan	nan	7.994940705003238e-15	5.933746565261112e-17	8.504456049320287e-15	1.24107632636037e-16	5.292318522638013e-16	2.9277436587347976e-18
53785.70000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1216946750700568e-15	4.163372387247045e-18	2.303368535949052e-15	9.804874186288558e-18	nan	nan	7.36353178748387e-15	5.862844581505467e-17	7.422440005889379e-15	1.221152595172452e-16	5.111357008000063e-16	2.8747196116234043e-18
53785.75000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0734827164769247e-15	4.131385587488705e-18	2.1648731333431387e-15	9.632354292901294e-18	nan	nan	6.759192356677602e-15	5.769887881570865e-17	6.459067385077494e-15	1.1756403619283235e-16	4.947507891484211e-16	2.8194807274744633e-18
53785.800000000156	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.029330443068762e-15	4.102260909912308e-18	2.0367002170436464e-15	9.450328973535269e-18	nan	nan	6.1846792982068035e-15	5.655104745120732e-17	5.60870688284978e-15	1.112814697527643e-16	4.801068207257994e-16	2.7641567020619488e-18
53785.85000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.89306504218856e-16	4.07834871470826e-18	1.9190265681949527e-15	9.262677184448469e-18	nan	nan	5.642153118737106e-15	5.5195388065573457e-17	4.8561057022024365e-15	1.0475129098350407e-16	4.672001083195045e-16	2.7109513417873675e-18
53785.90000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.534053578277255e-16	4.061847494921158e-18	1.811851747415428e-15	9.0750495831274e-18	nan	nan	5.133200740586923e-15	5.364880089844126e-17	4.190743457580437e-15	9.814239135527659e-17	4.5599755232451105e-16	2.6619932393989936e-18
53785.950000000164	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.215564941857922e-16	4.054631363789183e-18	1.7150184300522385e-15	8.894352581802499e-18	nan	nan	4.6588616110884275e-15	5.19329466730828e-17	3.60576248237292e-15	9.155101233566177e-17	4.464410082931983e-16	2.619181854219539e-18
53786.00000000017	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.93634505689081e-16	4.058084931380265e-18	1.6282343119265593e-15	8.727944034777902e-18	nan	nan	4.219657396965088e-15	5.007269079240548e-17	3.094979531057241e-15	8.507783713164063e-17	4.3845193234064685e-16	2.5840486581346962e-18
53786.05000000017	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.694695943758068e-16	4.072988223675703e-18	1.5510951699405717e-15	8.582778204986454e-18	nan	nan	3.815625540317843e-15	4.8094772277066065e-17	2.651888187412811e-15	7.881477954351832e-17	4.319361413396275e-16	2.557652767556819e-18
53786.10000000017	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.488580387694118e-16	4.09947603471187e-18	1.4831084596914272e-15	8.464656067960785e-18	nan	nan	3.446356915523661e-15	4.602672394540387e-17	2.2698553247657496e-15	7.284741292934221e-17	4.2678848709646255e-16	2.5405268891616805e-18
53786.150000000176	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.315721363627797e-16	4.137075606720425e-18	1.4237166523584805e-15	8.377681076745794e-18	nan	nan	3.111037741322244e-15	4.389604055671677e-17	1.9424283753973617e-15	6.725474488265066e-17	4.228972337111408e-16	2.532681373695347e-18
53786.20000000018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.17369213829852e-16	4.184808382728653e-18	1.3723194138148987e-15	8.323975677511025e-18	nan	nan	2.80849576529651e-15	4.172957429445869e-17	1.6634754461294723e-15	6.210847155684912e-17	4.201479520161885e-16	2.533663091001277e-18
53786.25000000018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.059994295017367e-16	4.2413304223397605e-18	1.3282937588040021e-15	8.303669279713794e-18	nan	nan	2.5372505435370676e-15	3.955312673308512e-17	1.4272415727239028e-15	5.74714463661699e-17	4.1842679993309105e-16	2.5426552462457715e-18
53786.300000000185	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.97212242891867e-16	4.3050837263032225e-18	1.2910114865962058e-15	8.315123339045779e-18	nan	nan	2.2955673843177134e-15	3.739120032729655e-17	1.228386773752314e-15	5.339483014558127e-17	4.176231282993026e-16	2.5585978867302265e-18
53786.35000000019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.907615585559226e-16	4.3744355848307175e-18	1.2598534872652448e-15	8.35532238783644e-18	nan	nan	2.0815142126460578e-15	3.5266868677226935e-17	1.0620123863605187e-15	4.991374070088946e-17	4.1763142028863236e-16	2.5803084698446288e-18
53786.40000000019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.864096461195686e-16	4.4477915651219436e-18	1.234220828720034e-15	8.42034199961297e-18	nan	nan	1.8930202524248193e-15	3.320172248829768e-17	9.23672198544961e-16	4.7041993231970945e-17	4.1835262514051817e-16	2.6065865148027e-18
53786.45000000019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.839299912054069e-16	4.5236763828725574e-18	1.2135428168653477e-15	8.505809982864314e-18	nan	nan	1.7279350362575519e-15	3.1215846587993767e-17	8.093701534692986e-16	4.4767611387117895e-17	4.1969497774089876e-16	2.6362933694107536e-18
53786.5000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.831092504579494e-16	4.6007835006479535e-18	1.1972824137101067e-15	8.607300137103029e-18	nan	nan	1.5840858767696485e-15	2.932778255327791e-17	7.155477617986383e-16	4.305148692170929e-17	4.2157440622600917e-16	2.6684047905494254e-18
53786.5500000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.837484791678833e-16	4.677998221032515e-18	1.184939487768749e-15	8.720627627476971e-18	nan	nan	1.4593316248711685e-15	2.755443178093951e-17	6.390637628354284e-16	4.183094408881465e-17	4.2391462582874406e-16	2.7020387679509185e-18
53786.6000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.856637825842622e-16	4.7544006696311036e-18	1.1760523752575702e-15	8.842041205576238e-18	nan	nan	1.3516103750527237e-15	2.5910857175222635e-17	5.771681920649923e-16	4.102791210691251e-17	4.266470050067058e-16	2.736463483807863e-18
53786.650000000205	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.886865195648484e-16	4.8292551563533105e-18	1.1701981802222865e-15	8.968324799305289e-18	nan	nan	1.2589788452163335e-15	2.4409951709247324e-17	5.274727480394924e-16	4.055923082523869e-17	4.2971027459207917e-16	2.7710909700652285e-18
53786.70000000021	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.926631645464453e-16	4.9019916909335155e-18	1.1669921667353885e-15	9.096828905900767e-18	nan	nan	1.1796415425891274e-15	2.3061964530387174e-17	4.879190650722696e-16	4.034592842560065e-17	4.330501355657909e-16	2.805461639552877e-18
53786.75000000021	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.974549133034602e-16	4.972184434586415e-18	1.1660865178082009e-15	9.225453159126292e-18	nan	nan	1.1119685762907136e-15	2.187391486873332e-17	4.567462135064523e-16	4.031938141097619e-17	4.3661880774578983e-16	2.839224075340463e-18
53786.800000000214	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.0293710059720115e-16	5.039530872725485e-18	1.1671686656640503e-15	9.352598398947891e-18	nan	nan	1.0545020602132316e-15	2.084897965097515e-17	4.324584822079668e-16	4.0423972138994717e-17	4.403745507642422e-16	2.8721136861672985e-18
53786.85000000022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.089984836452542e-16	5.103834606565183e-18	1.1699593410853193e-15	9.477102000134577e-18	nan	nan	1.005952319682518e-15	1.9985998064736187e-17	4.1379425387456675e-16	4.0617046059335065e-17	4.442811801235298e-16	2.9039332693665494e-18
53786.90000000022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.155404340616688e-16	5.164993865343054e-18	1.1742104459668856e-15	9.59816565435268e-18	nan	nan	9.651863070577818e-16	1.9279266540023524e-17	3.996965665785323e-16	4.08673200435123e-17	4.483075945215863e-16	2.934538181135362e-18
53786.95000000022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.2247607203775455e-16	5.2229970555078846e-18	1.1797028212675929e-15	9.715281035432887e-18	nan	nan	9.312114265740492e-16	1.8718769292279493e-17	3.892857668998357e-16	4.115269809092527e-17	4.524273255918756e-16	2.963828574908503e-18
53787.000000000226	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.297293695563688e-16	5.2779257755354495e-18	1.1862439596382195e-15	9.828156159516751e-18	nan	nan	9.0315812107548e-16	1.8290893330471796e-17	3.8183450146752274e-16	4.1458091120840357e-17	4.566181173028816e-16	2.9917508027421353e-18
53787.05000000023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.37234243960742e-16	5.329964599021634e-18	1.193665696033348e-15	9.936643935740468e-18	nan	nan	8.802640318110374e-16	1.797954408735835e-17	3.767451639366986e-16	4.177352886717437e-17	4.60861539162802e-16	3.0183092616638933e-18
53787.10000000023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.449336588155901e-16	5.3794154433238686e-18	1.2018218985172234e-15	1.0040674451805337e-17	nan	nan	8.618614822229569e-16	1.7767467515473744e-17	3.735298112340214e-16	4.2092653602104777e-17	4.65142634809917e-16	3.043588305288265e-18
53787.150000000234	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.527787455081817e-16	5.426712385629012e-18	1.210586173945948e-15	1.01401940045113e-17	nan	nan	8.473687621952546e-16	1.7637540355909396e-17	3.717924834375844e-16	4.2411581665069205e-17	4.694496053399946e-16	3.0677808794867368e-18
53787.20000000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.607279561514734e-16	5.4724303135784185e-18	1.2198495984135295e-15	1.0235116668118738e-17	nan	nan	8.362844751390333e-16	1.757380467990166e-17	3.7121381283569944e-16	4.2728075996579237e-17	4.737735246913321e-16	3.0912158507351854e-18
53787.25000000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.68746255967683e-16	5.517277851581755e-18	1.2295184795263661e-15	1.0325297955552393e-17	nan	nan	8.281831971236696e-16	1.7562045596147324e-17	3.715377724640201e-16	4.304096302647064e-17	4.78108082492337e-16	3.1143693209427217e-18
53787.30000000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.768043613358983e-16	5.562061800756126e-18	1.2395121567263725e-15	1.0410544039902375e-17	nan	nan	8.227098962710608e-16	1.7589707896499388e-17	3.725600398228404e-16	4.3349732635075405e-17	4.824493479219979e-16	3.1378367666471284e-18
53787.350000000246	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.848781431363474e-16	5.607513129527957e-18	1.2497608466897709e-15	1.0490672570425477e-17	nan	nan	8.195699441670169e-16	1.7644979746119433e-17	3.7411846169030314e-16	4.365427058871355e-17	4.867940310052147e-16	3.1620700539949073e-18
53787.40000000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.929487040244582e-16	5.653591508320245e-18	1.2602035434729134e-15	1.0565639905664265e-17	nan	nan	8.185111550238157e-16	1.77151517288514e-17	3.7609626565272207e-16	4.395468263336241e-17	4.911347159751507e-16	3.186787908733792e-18
53787.45000000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.010013050317487e-16	5.6999133754022546e-18	1.27078598768164e-15	1.0635741092103781e-17	nan	nan	8.192942809395275e-16	1.778519619280475e-17	3.78379168659589e-16	4.425118855531752e-17	4.954641832110529e-16	3.211566545210187e-18
53787.500000000255	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.090244367252521e-16	5.746149761783818e-18	1.2814587254752267e-15	1.0701868551746195e-17	nan	nan	8.21649098019668e-16	1.783901742435073e-17	3.805358355429267e-16	4.4541075694071585e-17	4.99776704112832e-16	3.2361007497714454e-18
53787.55000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.170093213251863e-16	5.792065684918812e-18	1.2921752868945152e-15	1.076577794569721e-17	nan	nan	8.252150996029913e-16	1.7867261152110313e-17	3.840038753210622e-16	4.4828502850165653e-17	5.040678341146275e-16	3.2602297830494308e-18
53787.60000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.249494676503881e-16	5.837522266059984e-18	1.3028905237462271e-15	1.0830250620095393e-17	nan	nan	8.294694108952677e-16	1.7884270241361906e-17	3.9756843048209e-16	4.181995582782335e-17	5.083342263371923e-16	3.283924620291183e-18
53787.65000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.328402745418755e-16	5.882456941078053e-18	1.3135591598559397e-15	1.0898961255145747e-17	nan	nan	8.336503679118312e-16	1.794671144246076e-17	3.9271054188586037e-16	4.5103418578247105e-17	5.125734708051633e-16	3.3072575209141594e-18
53787.700000000266	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.406786798709946e-16	5.92685197975387e-18	1.324146075047662e-15	1.0974660149438393e-17	nan	nan	8.370605483117771e-16	1.8113061740735634e-17	3.916834675731415e-16	4.5676825108718365e-17	5.167839622979184e-16	3.3303654180616906e-18
