spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-10-17_01-10-33_NOT_ALFOSC_iPTF.cal	56582.05	2.6106691641977384e-15	5.614871612779951e-17	True	6.655451977645697e-16	1.2600175126047983e-17	True	1.1433395526093097e-15	2.5907540909021974e-17	True	1.6318345626846563e-15	3.1114269958791413e-17	True	1.4406927043884112e-15	2.3301293064124833e-17	True	3.4499988869913076e-15	7.61518553068482e-17	True	2.6902014172236813e-15	8.750407080367477e-16	True	2.8012032559482495e-15	6.254937828630056e-16	True	2.8459553805493464e-15	1.0106579894018134e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/2013fs_2013-10-24_10-47-04_ANU-2.3m_WiFeS_PESSTO.dat	56589.45	1.882927611673603e-15	2.2708865202605135e-17	True	5.42966908017723e-16	8.28111123354273e-18	True	8.941421638992347e-16	1.0888878731383856e-17	True	1.2192332457427931e-15	1.6807951905134534e-17	True	1.1166195822149631e-15	1.1218625825297255e-17	True	1.7249298135643462e-15	3.4453472406813933e-17	True	4.906400730865869e-16	8.975776990291674e-17	True	9.483877659733485e-16	8.789833245786799e-17	True	6.5800915075522375e-16	9.749470875119598e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-10-26_08-06-13_Lick-3m_KAST_iPTF_0.cal	56591.34	1.7540804787543344e-15	1.8399106904265493e-17	True	5.213741821661105e-16	5.8976648512510565e-18	True	8.671167388706783e-16	9.572328386611698e-18	True	1.164428000235878e-15	1.4747989259256224e-17	True	1.0873613856972668e-15	9.633646902972632e-18	True	1.4071189905791417e-15	2.4645367794997555e-17	True	3.50230949510506e-16	4.985592619490025e-16	True	6.171060942823007e-16	7.891624280404847e-17	True	4.3353128586728697e-16	5.662666508746052e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-11-04_03-41-26_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat	56600.15	1.2045617429878821e-15	2.0831286436035422e-17	True	4.756071038953804e-16	6.335195392594527e-18	True	8.112860031410198e-16	1.3316008506684026e-17	True	9.803252515714062e-16	1.5431060427859622e-17	True	1.0126235923305706e-15	1.4583700566202028e-17	True	4.687479517219395e-16	2.2795775925652796e-17	True	3.368112439985135e-17	4.598396198086861e-15	False	3.497154972529244e-16	2.503705579781706e-15	False	3.498709177560895e-17	4.261926147684863e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-11-04_03-57-16_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat	56600.16	1.2040822666454485e-15	2.0863690578971355e-17	True	4.755802460025086e-16	6.340624820306995e-18	True	8.1125466355703e-16	1.3323236781738403e-17	True	9.80241475209916e-16	1.545348874363915e-17	True	1.0125950733221023e-15	1.4593454577982626e-17	True	4.681562347419587e-16	2.279715402934841e-17	True	3.358983757809716e-17	4.600475222334872e-15	False	3.4928388566435294e-16	2.5071752568619925e-15	False	3.48614898848543e-17	4.267872533718739e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-11-07_04-25-03_APO-3.5m_DIS_iPTF.cal	56603.18	1.0825983890469333e-15	2.5593763735116685e-17	True	4.704573714851772e-16	7.598146715476678e-18	True	7.982676088493914e-16	1.4556962192890796e-17	True	9.782906132713834e-16	1.9221975235236898e-17	True	1.0010325066752599e-15	1.5602577009675287e-17	True	3.205368227322366e-16	2.2208823024820043e-17	True	1.4799099925068133e-17	4.987441140046726e-15	False	2.2206773002802176e-16	3.199311816260836e-15	False	1.1294813658657243e-17	5.454497233909199e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-11-12_02-44-09_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat	56608.11	9.262791852580929e-16	4.674646513168392e-17	True	4.685025839499829e-16	1.2682130321282033e-17	True	7.729579369592814e-16	2.52040293981194e-17	True	9.600978991921038e-16	3.4915939403829433e-17	True	9.678933285097522e-16	2.959824941580131e-17	True	1.731296415204379e-16	1.874914495390554e-17	True	3.882192722397962e-18	5.141162066061253e-15	False	8.689073351785763e-17	3.5171431053657834e-15	False	1.2557405918011994e-18	5.9998109108115215e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-11-12_02-59-58_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat	56608.12	9.259812910456094e-16	4.691924080752441e-17	True	4.68490248587019e-16	1.2710797014844512e-17	True	7.729344179522069e-16	2.527541030061262e-17	True	9.60018926332337e-16	3.5024583657128454e-17	True	9.67851882445679e-16	2.970091515577718e-17	True	1.7291315077140995e-16	1.8740508480181912e-17	True	3.871668884871393e-18	5.1412589266846894e-15	False	8.67124285191756e-17	3.5173637625969306e-15	False	1.2489242426750681e-18	6.000189694052627e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/2013fs_2013-11-14_10-53-47_ANU-2.3m_WiFeS_PESSTO.dat	56610.45	8.585244675838439e-16	7.585447228420554e-17	True	4.644959691400782e-16	1.785382692907533e-17	True	7.695480954058077e-16	3.746039328854366e-17	True	9.381350168174257e-16	5.33670399343691e-17	True	9.607703126809984e-16	4.625276978302781e-17	True	1.2917158311712808e-16	1.674079391228204e-17	True	2.0568926467637928e-18	5.155513676641717e-15	False	5.311297119530953e-17	3.5505945715845683e-15	False	2.4349349441075345e-19	6.05724135797076e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-11-23_00-54-28_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat	56619.54	6.473319830959422e-16	1.0585816269549823e-16	True	4.304404457190908e-16	2.6680956962889536e-17	True	7.350586376475824e-16	5.2019308410465885e-17	True	8.203234168093641e-16	7.270040504273903e-17	True	9.395640485097959e-16	3.9447235990595846e-17	True	4.1386930110554946e-17	9.729912065561256e-18	True	1.74361993814661e-19	5.163294625629659e-15	False	6.7698781472360035e-18	3.569945255841921e-15	False	-1.145383768482417e-19	6.090475010704868e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-11-26_04-50-56_P200_DBSP_iPTF.cal	56622.2	6.032172473463004e-16	1.7116214443847879e-16	True	4.1735219708436676e-16	3.8232432023960753e-17	True	7.081904980351658e-16	8.289200219306059e-17	True	7.852152002089172e-16	1.1604467166425288e-16	True	9.31136333297162e-16	5.777675398224266e-17	True	2.966420871162425e-17	8.17700958694147e-18	True	8.468095032498619e-20	5.163377381037678e-15	False	3.601288869711754e-18	3.570172085655656e-15	False	-7.431152992601328e-20	6.09086478236877e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-11-30_00-59-43_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat	56626.54	5.4463989849293e-16	2.286339277951622e-16	True	3.9908498253333515e-16	4.8954172869985607e-17	True	6.588481191023357e-16	1.1036920713007201e-16	True	7.346056003856124e-16	1.542754613755052e-16	True	9.10798405282781e-16	3.7048995400617114e-17	True	1.6833529642349136e-17	2.435471520896687e-17	True	2.6060267203656774e-20	5.163405339315982e-15	False	1.2631098017608318e-18	3.570250488556622e-15	False	-3.209915063651276e-20	6.090999521847406e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013fs/SN2013fs_2013-12-27_00-55-10_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat	56653.54	1.1355210960510706e-16	8.073625942900907e-17	True	2.65661478181382e-16	1.5346228731462826e-17	True	3.395005532114985e-16	2.904694987197591e-17	True	3.1294518577491795e-16	5.713749569364161e-17	True	4.26404528925052e-16	3.9365732392247354e-17	True	-4.298468356450539e-17	1.4952292087769638e-15	False	1.7020744889330843e-23	5.163409147156981e-15	False	1.41118860658506e-21	3.570261470769732e-15	False	-5.591242917474249e-23	6.091018398126594e-15	False
