MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_r	sdss_r_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56571.51849998702	nan	nan	nan	nan	nan	nan	9.108111905632809e-16	2.1084129624638637e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56571.56849998702	nan	nan	nan	nan	nan	nan	9.223231684165718e-16	2.055686164679723e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56571.618499987024	nan	nan	nan	nan	nan	nan	9.338549915409608e-16	2.0044511196593947e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56571.66849998703	nan	nan	nan	nan	nan	nan	9.454039439095302e-16	1.954759713436677e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56571.71849998703	nan	nan	nan	nan	nan	nan	9.569673079284147e-16	1.90666951540282e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56571.76849998703	nan	nan	nan	nan	nan	nan	9.68542366223302e-16	1.860243948624405e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56571.818499987035	nan	nan	nan	nan	nan	nan	9.80126400350319e-16	1.8155522728362648e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56571.86849998704	nan	nan	nan	nan	nan	nan	9.917166661751748e-16	1.7726686259518993e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56571.91849998704	nan	nan	nan	nan	nan	nan	1.0033103951243583e-15	1.7316718419981506e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56571.968499987044	nan	nan	nan	nan	nan	nan	1.0149048176368827e-15	1.6926458870854493e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56572.01849998705	nan	nan	nan	nan	nan	nan	1.0264971640707066e-15	1.6556792946315408e-17	nan	nan	nan	nan	1.3724396643280126e-14	6.661787771745102e-16	9.082622228580734e-15	4.247053082396412e-16	1.897240523228166e-14	7.241979684074289e-16
56572.06849998705	nan	nan	nan	nan	nan	nan	1.0380846645677384e-15	1.6208643246275017e-17	nan	nan	nan	nan	1.3804671390767513e-14	6.55034746846217e-16	9.148858771961426e-15	4.1862244994293335e-16	1.900222697316463e-14	7.124961865834083e-16
56572.11849998705	nan	nan	nan	nan	nan	nan	1.0496645410659297e-15	1.5882954225888334e-17	nan	nan	nan	nan	1.38843941779831e-14	6.469665487359509e-16	9.215048570902278e-15	4.1475436302526697e-16	1.9029290847070157e-14	7.045596704653438e-16
56572.168499987056	nan	nan	nan	nan	nan	nan	1.0612340002023337e-15	1.5580674546176072e-17	nan	nan	nan	nan	1.39634040698725e-14	6.416614499234235e-16	9.281087312567334e-15	4.1284384379919925e-16	1.905353373891085e-14	6.999596984977621e-16
56572.21849998706	nan	nan	nan	nan	nan	nan	1.0727902466299385e-15	1.530274804097981e-17	nan	nan	nan	nan	1.4041539375902914e-14	6.387764069298248e-16	9.346870303496662e-15	4.126132420010562e-16	1.9074890806694754e-14	6.982300954741627e-16
56572.26849998706	nan	nan	nan	nan	nan	nan	1.0843304846160741e-15	1.5050095414609068e-17	nan	nan	nan	nan	1.4118637586650408e-14	6.379519453951705e-16	9.41229242802386e-15	4.1377705425532125e-16	1.909329545635764e-14	6.988882534891828e-16
56572.318499987065	2.5988235379595163e-15	3.568470390414117e-17	3.166711547598455e-16	5.24976012460257e-18	6.294378931926662e-16	9.624266716553607e-18	1.095851885652912e-15	1.4823552311286742e-17	7.751701777407951e-16	8.790820019155768e-18	nan	nan	1.4194535310111024e-14	6.388254912508182e-16	9.477248106544328e-15	4.1605324123010743e-16	1.9108679316038288e-14	7.014544374292423e-16
56572.36849998707	2.6073893866628415e-15	3.5014372866470143e-17	3.2020638462478673e-16	5.121055848787372e-18	6.365003599887627e-16	9.366908642096443e-18	1.1073510744883949e-15	1.4623208659550425e-17	7.850706173886089e-16	8.514884102033275e-18	nan	nan	1.4269068207717082e-14	6.410429705073532e-16	9.541631253622244e-15	4.1917233158964824e-16	1.9120972209792033e-14	7.054676653065492e-16
56572.41849998707	2.6159747235397847e-15	3.438027265716268e-17	3.2375687980578415e-16	5.001386967595089e-18	6.435772074053484e-16	9.133462913242435e-18	1.1188242203396842e-15	1.4448515025259245e-17	7.949898511956153e-16	8.277797285332876e-18	nan	nan	1.434207093004111e-14	6.442679926450276e-16	9.605335235924192e-15	4.228839525618605e-16	1.9130102130733425e-14	7.104973977917072e-16
56572.46849998707	2.6245737949788673e-15	3.378207268041578e-17	3.273212744151201e-16	4.890700663732074e-18	6.506649985605247e-16	8.923370632137905e-18	1.1302674778788676e-15	1.429883818577581e-17	8.049215040678476e-16	8.077648721518225e-18	nan	nan	1.441337705216821e-14	6.481884170603178e-16	9.668252829967597e-15	4.269608912663529e-16	1.913599521360081e-14	7.16151075603324e-16
