MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err
53766.04	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.090000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.14000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.19000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.24000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.290000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.34000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.39000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.440000000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.49000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.54000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.59000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.640000000036	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.69000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.74000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.790000000045	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.84000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.89000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.94000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53766.990000000056	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53767.04000000006	6.819634592621585e-17	8.779960564742449e-18	5.1108211504607275e-17	3.863454278125196e-18	7.021297945218775e-17	8.449659409682757e-18	2.4307868040391503e-17	1.9007213520025695e-18	4.014821195508737e-17	2.940805993601895e-18	nan	nan
53767.09000000006	7.059069181758879e-17	8.6033310048205e-18	5.319478417300686e-17	3.758787229126341e-18	7.222117315651735e-17	8.291007165260312e-18	2.5193490991175584e-17	1.8532711673125707e-18	4.1748641362657705e-17	2.859789256797434e-18	nan	nan
53767.140000000065	7.2989747467915e-17	8.433506659993442e-18	5.528482651761821e-17	3.659582719424782e-18	7.423329198030937e-17	8.137461227597655e-18	2.6080619492994603e-17	1.807985331904747e-18	4.335180157357328e-17	2.7829908221435265e-18	nan	nan
