MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55990.576499985524	4.1330383992580855e-16	9.877015022264169e-17	1.9190892987340847e-16	1.2198490825523366e-17	3.3076323677988737e-16	2.1591838192459642e-17	4.816881991883264e-16	3.2974544565737665e-17	1.8915624818305105e-16	1.2093085166015363e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55990.62649998553	4.414134845388206e-16	1.0277930883685021e-16	2.0644582212834124e-16	1.3073008856059553e-17	3.5485580493897256e-16	2.3109846191067676e-17	5.163337957516063e-16	3.530156576967859e-17	2.028436514668897e-16	1.2926905192769646e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55990.67649998553	4.699770565488791e-16	1.0584198499133434e-16	2.2104135377666327e-16	1.3952107844686902e-17	3.790651066403143e-16	2.4612641604255825e-17	5.511655130343626e-16	3.759026880628636e-17	2.165981518811475e-16	1.3751151553686619e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55990.72649998553	4.990000165786286e-16	1.0799097292963177e-16	2.3569926632402197e-16	1.4828082845782734e-17	4.033983634379865e-16	2.6091547185910172e-17	5.861943448325491e-16	3.982936426201788e-17	2.304239537086073e-16	1.456153075316734e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55990.776499985535	5.284878915157249e-16	1.0926587468970974e-16	2.5042330136452977e-16	1.569542622696093e-17	4.278627971087985e-16	2.7540660282698824e-17	6.214312854653485e-16	4.201147448098123e-17	2.443252613417633e-16	1.5355146526165443e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55990.82649998554	5.584462751785126e-16	1.0971390833071668e-16	2.652172005980433e-16	1.6550225197706414e-17	4.524656296829561e-16	2.8956078735659554e-17	6.56887329795893e-16	4.413202965217052e-17	2.583062793149975e-16	1.613011460335039e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55990.87649998554	5.88880828989384e-16	1.0939109845713476e-16	2.800847058280944e-16	1.7389736587854885e-17	4.77214083446529e-16	3.033536884422505e-17	6.925734732375303e-16	4.618851974124185e-17	2.7237121228480876e-16	1.688529720530079e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55990.926499985544	6.19797282655327e-16	1.083638819379811e-16	2.9502955897167584e-16	1.8212086448273192e-17	5.02115380963653e-16	3.16771955628811e-17	7.285007118184125e-16	4.817997977287862e-17	2.865242650596633e-16	1.762011773732585e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55990.97649998555	6.512014348563221e-16	1.0671118334135686e-16	3.100555020584028e-16	1.9016056434581872e-17	5.271767450871039e-16	3.298106176478208e-17	7.64680042179961e-16	5.010662964597312e-17	3.007696425903032e-16	1.8334429576119402e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.02649998555	6.830991539411333e-16	1.0452701019222206e-16	3.2516627725069983e-16	1.980093043119917e-17	5.524053989773279e-16	3.42471216053685e-17	8.011224616186894e-16	5.196961748731591e-17	3.1511154998951725e-16	1.902842165462487e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.07649998555	7.154963786309939e-16	1.0192356851064695e-16	3.403656268322253e-16	2.0566383138409133e-17	5.778085660975079e-16	3.547604464099544e-17	8.378389681185609e-16	5.377083318779277e-17	3.2955419252632625e-16	1.9702549347562748e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.126499985556	7.483991187310094e-16	9.903476407616764e-17	3.5565729322006207e-16	2.1312398108759734e-17	6.033934702509214e-16	3.666891511583416e-17	8.74840560362628e-16	5.551276994815185e-17	3.4410177565195684e-16	2.0357482890512867e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
