spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/SN2004et_2004-10-01_00-00-00_Lick-3m_KAST_None.ascii	53279.0	2.0912439450912146e-13	2.009398232135895e-15	True	3.450635095994386e-14	9.459108596050776e-16	False	6.862794726900477e-14	6.025812624963676e-16	True	3.0855836544585675e-13	5.778441084747018e-15	True	1.0558230833851427e-13	8.048017114287905e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/SN_2004et_2004-10-12_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm	53290.0	1.8719607043073425e-13	1.704543533229923e-15	True	3.842939529291279e-14	2.5806965301409285e-16	True	7.961374098280721e-14	7.334060072649844e-16	True	1.9520772384886207e-13	2.5905487457922795e-15	True	1.1378398177356675e-13	1.052360434680557e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/SN_2004et_2004-10-13_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm	53291.0	1.8170181382239143e-13	1.577055109057879e-15	True	3.870997431959016e-14	2.554193714880543e-16	True	7.987981184518253e-14	6.898103296991843e-16	True	1.8497345824969216e-13	2.4506785691149782e-15	True	1.1354540762990119e-13	9.955074981619588e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/2004et_2004-10-16_00-00-00_HCT-2m_HFOSC_CCCP.dat	53294.0	1.6275824120908713e-13	1.461995938357887e-15	True	3.932615401645793e-14	2.6746990122370554e-16	True	8.008234876647646e-14	7.037522119292868e-16	True	1.5490324375381256e-13	2.131277735242724e-15	True	1.1236604336387915e-13	1.0344288306349955e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/2004et_2004-10-22_00-00-00_HCT-2m_HFOSC_CCCP.dat	53300.0	1.2282219620193389e-13	1.9025907202183526e-15	True	3.958583397405622e-14	3.0491099305236753e-16	True	7.704671146223445e-14	9.601046943209291e-16	True	1.0132863201909148e-13	1.673486592710198e-15	True	1.054052133288944e-13	1.3399961664092452e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/2004et_2004-10-27_00-00-00_HCT-2m_HFOSC_CCCP.dat	53305.0	9.817991163768995e-14	1.5524597890755164e-15	True	3.9314138223300867e-14	2.9677688002147214e-16	True	7.43653146945478e-14	7.745807567978274e-16	True	6.820018652585436e-14	1.2861717576773776e-15	True	9.921265165429337e-14	1.076440494289208e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/2004et_2004-10-30_00-00-00_HCT-2m_HFOSC_CCCP.dat	53308.0	8.755565674073151e-14	1.1495645310955194e-15	True	3.9139067370292623e-14	3.068930465417062e-16	True	7.344040929370955e-14	7.567836639844055e-16	True	5.390520688275475e-14	1.0872862631235508e-15	True	9.554708865840492e-14	1.0117423572635369e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/2004et_2004-11-01_00-00-00_HCT-2m_HFOSC_CCCP.dat	53310.0	8.218747983496237e-14	1.1257839754837467e-15	True	3.903355035557856e-14	3.3061037944493577e-16	True	7.277788967073299e-14	8.538393110537973e-16	True	4.6564933565691437e-14	1.0234149604424386e-15	True	9.364394919874373e-14	1.115488171435947e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/2004et_2004-11-11_00-00-00_HCT-2m_HFOSC_CCCP.dat	53320.0	6.39839602863642e-14	1.140475999600529e-15	True	3.8814858641107734e-14	4.0775881309293883e-16	True	7.105340226973995e-14	9.650196832757918e-16	True	2.699825398679094e-14	5.973718026062638e-16	True	8.682456588764307e-14	1.4183381317823857e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/SN2004et_2004-11-14_00-00-00_Keck1_LRIS_None.ascii	53323.0	5.957862526385596e-14	1.2460137277475408e-15	True	3.883791094021863e-14	3.873005855695228e-16	True	7.047033201752126e-14	9.421675765238648e-16	True	2.3866924147524062e-14	4.3621416126277494e-16	True	8.53000552272402e-14	1.281444413579444e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/2004et_2004-11-16_00-00-00_HCT-2m_HFOSC_CCCP.dat	53325.0	5.6822427672020384e-14	1.034984729874726e-15	True	3.885882981689279e-14	3.767097365199476e-16	True	7.008405996722866e-14	9.839296395488582e-16	True	2.2076170794696438e-14	4.101344791894467e-16	True	8.425852589803724e-14	1.2549328479183199e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/SN2004et_2004-11-19_00-00-00_Lick-3m_KAST_None.ascii	53328.0	5.3609382704536056e-14	1.2837169601936873e-15	True	3.888681729048098e-14	3.6661230539413032e-16	True	6.986506035695095e-14	1.0332999174129441e-15	True	1.9725326367311422e-14	3.872766131635257e-16	True	8.268967840546791e-14	1.356105566281236e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004et/2004et_2004-11-24_00-00-00_HCT-2m_HFOSC_CCCP.dat	53333.0	4.9070691237798366e-14	1.0399864878041759e-15	True	3.8890839096547916e-14	3.6576728620842153e-16	True	6.921260202337755e-14	9.499799887504866e-16	True	1.6310766390583433e-14	3.189719905850746e-16	True	8.01689823051779e-14	1.1886049295334053e-15	True
