spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-03-27_00-00-00_Gemini-N_GMOS_None.ascii	54552.0	8.528261712774044e-16	9.771673348420525e-18	True	8.480160864826989e-16	2.920885198222378e-17	True	5.203452274713834e-16	5.763881294843655e-18	True	2.4251775524484537e-16	2.940145529926399e-18	True	4.24573865212478e-16	1.176116653280305e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-03-29_00-00-00_Other_Other_None.ascii	54554.0	7.91664356365277e-16	6.5743719666573556e-18	True	7.239188137026911e-16	1.7033706373290656e-17	True	5.301970447704862e-16	6.463567143954611e-18	True	2.4866237836007064e-16	2.8546012049526288e-18	True	4.392600008382511e-16	7.005394753440466e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-03-31_00-00-00_Other_Other_None.ascii	54556.0	7.310176268549151e-16	5.3343545660843716e-18	True	5.926872828706789e-16	1.3976514361236602e-17	True	5.370905645401487e-16	6.618223754599046e-18	True	2.5520460500607856e-16	2.81943892697262e-18	True	4.498781515207561e-16	7.29942158391164e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-04-01_00-00-00_Other_Other_None.ascii	54557.0	7.013720402342523e-16	5.2338181363765726e-18	True	5.296308345680954e-16	1.2561053369501597e-17	True	5.408735012883271e-16	6.5734093312625075e-18	True	2.574829240542682e-16	2.825093510134447e-18	True	4.554633430857406e-16	8.061087305006465e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-04-02_00-00-00_Other_Other_None.ascii	54558.0	6.725180065299068e-16	5.343896528327122e-18	True	4.712709137802978e-16	1.1800389809785065e-17	True	5.389361132556945e-16	6.503400899487882e-18	True	2.589972051248653e-16	2.939587070226449e-18	True	4.572461539368917e-16	7.787497471722959e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-04-04_00-00-00_Other_Other_None.ascii	54560.0	6.186206377478149e-16	5.8482259436313175e-18	True	3.746020849212183e-16	1.4821297350772403e-17	True	5.225457139206555e-16	1.1688144686398408e-17	True	2.6086576699209995e-16	4.505513900067793e-18	True	4.555167086933775e-16	2.0568497197411683e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-04-06_00-00-00_Other_Other_None.ascii	54562.0	5.701602275631796e-16	6.151764917083384e-18	True	3.121225719246637e-16	1.7728806611422608e-17	True	5.076277101919598e-16	1.7306281152849366e-17	True	2.6207512348481494e-16	5.772260754839406e-18	True	4.514315130447853e-16	4.082350146235422e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-04-07_00-00-00_Other_Other_None.ascii	54563.0	5.480363739353854e-16	6.135587707625107e-18	True	2.9079270113422746e-16	1.6020997909925146e-17	True	5.000710283655536e-16	1.395278345110705e-17	True	2.6210359013811135e-16	5.113830793675477e-18	True	4.497501795712592e-16	2.936447653132019e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-04-09_00-00-00_Other_Other_None.ascii	54565.0	5.081700345957617e-16	6.052077087843498e-18	True	2.606111626775191e-16	1.1082280834397146e-17	True	4.808749836577262e-16	6.371039584296004e-18	True	2.600254361587422e-16	3.1634388099842595e-18	True	4.4081862257714373e-16	8.121776884455489e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2008bj/2008bj_2008-04-11_00-00-00_Other_Other_None.ascii	54567.0	4.742846717919193e-16	6.38043843857588e-18	True	2.4082847212549182e-16	1.4931880709897692e-17	True	4.607483846866213e-16	1.0080848211733164e-17	True	2.544816824542796e-16	3.35180825610374e-18	True	4.2968861191759217e-16	1.3699354276996631e-17	True
