MJD	Bessell_B	Bessell_B_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54535.050099998734	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.10009999874	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.15009999874	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.20009999874	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.250099998746	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.30009999875	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.35009999875	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.400099998755	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.45009999876	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.50009999876	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.55009999876	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.60009999877	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.65009999877	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.70009999877	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.750099998775	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.80009999878	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.85009999878	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.900099998784	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54535.95009999879	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54536.00009999879	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54536.05009999879	nan	nan	nan	nan	1.7302192526536889e-16	8.181317856138131e-19	nan	nan	nan	nan
54536.100099998795	nan	nan	nan	nan	1.836723740830738e-16	6.999651569424474e-19	8.821371325683273e-17	3.8513483827065787e-19	1.5326399586364992e-16	2.7411942137807654e-19
54536.1500999988	nan	nan	nan	nan	1.942083008279077e-16	6.69751218492848e-19	9.188797315358771e-17	3.582751528035668e-19	1.6716244430461597e-16	3.4579857328696683e-19
54536.2000999988	nan	nan	nan	nan	2.0443961984445563e-16	6.999511276943053e-19	9.552906119479819e-17	3.4947286122913083e-19	1.7820972758938427e-16	3.666387085704462e-19
54536.250099998804	nan	nan	nan	nan	2.1420651982612945e-16	7.5980747476244895e-19	9.910804277844898e-17	3.549461200749755e-19	1.8705572416206495e-16	4.19421856386908e-19
54536.30009999881	nan	nan	nan	nan	2.2343417261626484e-16	8.27302821244031e-19	1.0260012358353831e-16	3.7022070705507055e-19	1.9424713775969303e-16	5.15319500826323e-19
54536.35009999881	nan	nan	nan	nan	2.3208753173967884e-16	8.919695350841489e-19	1.0599154886119533e-16	3.909924588353386e-19	2.0020497084456703e-16	5.050006403034066e-19
54536.40009999881	nan	nan	nan	nan	2.401325109825589e-16	9.526576844755515e-19	1.0927043430761744e-16	4.142695723242941e-19	2.053441256250179e-16	4.496847020398949e-19
54536.450099998816	nan	nan	nan	nan	2.4756511943953e-16	1.009144239888161e-18	1.1242491525278186e-16	4.383933361258364e-19	2.1003737388423697e-16	5.804822545376468e-19
54536.50009999882	nan	nan	nan	nan	2.544204745142069e-16	1.0588849592812503e-18	1.1544704841426296e-16	4.623944159273737e-19	2.1440732482692378e-16	7.609976263334605e-19
