MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_i'	sdss_i'_err	sdss_r	sdss_r_err	sdss_r'	sdss_r'_err	sdss_u	sdss_u_err	sdss_u'	sdss_u'_err	sdss_z	sdss_z_err
55101.800979909836	4.3102254531121616e-16	9.020270114312288e-17	nan	nan	2.8214666067177355e-16	2.718141752372731e-17	nan	nan	3.7822641884350535e-16	3.0689148306528245e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55101.85097990984	4.408565934931237e-16	9.002805352551698e-17	nan	nan	2.899232732720045e-16	2.7055066796198737e-17	nan	nan	3.8770670909517693e-16	3.0921627808651574e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55101.90097990984	4.507613532091682e-16	8.986194562537518e-17	nan	nan	2.977163564005883e-16	2.6933758559793457e-17	nan	nan	3.9724155989063645e-16	3.11453946968162e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55101.950979909845	4.607380623721402e-16	8.97028594464659e-17	nan	nan	3.0552627915108966e-16	2.681719471122945e-17	nan	nan	4.0683165025998133e-16	3.136027933765801e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.00097990985	4.707879599480064e-16	8.95493169290438e-17	nan	nan	3.133534106302363e-16	2.6705079456553327e-17	nan	nan	4.1647765933936784e-16	3.1566131625756606e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.05097990985	4.809122859749129e-16	8.939988154030649e-17	nan	nan	3.211981199547665e-16	2.6597119868495335e-17	nan	nan	4.2618026635991865e-16	3.176281985417521e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.100979909854	4.911122815809135e-16	8.925315957604912e-17	nan	nan	3.2906077624717225e-16	2.649302640107364e-17	nan	nan	4.3594015065714397e-16	3.1950229689114905e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.15097990986	5.013891890018911e-16	8.910780119242895e-17	nan	nan	3.3694174865146406e-16	2.639251337917604e-17	nan	nan	4.457579916650152e-16	3.212826322973883e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.20097990986	5.117442516004471e-16	8.896250118755313e-17	nan	nan	3.4484140630644994e-16	2.6295299459163834e-17	nan	nan	4.556344689294885e-16	3.229683815411642e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.25097990986	5.221787138821731e-16	8.881599955300343e-17	nan	nan	3.527601183711165e-16	2.6201108052402145e-17	nan	nan	4.655702620922461e-16	3.2455886937684985e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
