spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_i_fitflux	sdss_i_fitfluxerr	sdss_i_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	sdss_u_fitflux	sdss_u_fitfluxerr	sdss_u_inrange	sdss_u'_fitflux	sdss_u'_fitfluxerr	sdss_u'_inrange	sdss_z_fitflux	sdss_z_fitfluxerr	sdss_z_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-02_00-00-00_TNG_DOLORES_None.ascii	55106.0	1.6237373291690302e-15	3.811885090211254e-17	True	5.026946743874377e-16	1.1711612777760257e-17	True	1.0277879679844983e-15	1.737020344516007e-17	True	1.1545886770294306e-15	6.821763312486356e-17	True	1.421078948693142e-15	2.471636619717972e-17	True	3.0568715795499146e-15	7.87886089373144e-16	False	7.904799438401201e-16	1.0078820244968061e-16	False	2.06945568279587e-15	2.7394821563057357e-16	False	1.3089809069495284e-15	1.7249533561189171e-16	False	3.531077385076339e-15	4.566049690254899e-16	False	2.74937502114739e-15	6.340809108020522e-16	False	2.43573869119951e-15	1.3739391364420276e-15	False	6.307459835883208e-16	1.6011912524425588e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-04_00-00-00_VLT-UT1_FORS2_None.ascii	55108.0	2.573885180477089e-15	3.829570326461333e-17	True	7.724826846538467e-16	8.895851866681664e-18	True	1.4816251824640041e-15	1.482942254698421e-17	True	1.9152565830326335e-15	5.711473390053436e-17	True	2.1107713924346677e-15	2.5304573079523107e-17	True	3.486610771070784e-15	5.711910278196718e-16	False	1.0352486232611832e-15	4.5801985820173093e-17	True	2.1253793685907974e-15	2.315103480436566e-16	False	1.723688362332192e-15	7.785185964893171e-17	True	3.6009019316424015e-15	3.85641994306191e-16	False	2.9426779116131854e-15	4.873920368102918e-16	False	2.639769556500612e-15	1.2303181839577447e-15	False	7.513175311622017e-16	1.1436426649567933e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-06_00-00-00_CA-2.2m_CAFOS_None.ascii	55110.0	3.730410542120847e-15	4.198048853570304e-17	True	1.0378482601993138e-15	1.0001262933626162e-17	True	1.9663097533365845e-15	1.6228750928878666e-17	True	2.6471140817704336e-15	6.774692402674128e-17	True	2.8691525122054855e-15	2.7499397681621382e-17	True	3.974760557048599e-15	3.5879671141225763e-16	False	1.309826704246591e-15	1.8670549535632686e-17	True	2.182001655134122e-15	1.896860658105545e-16	False	2.1916329668179875e-15	3.1391555694370475e-17	True	3.669331712519685e-15	3.1565924299865064e-16	False	3.1386112219183446e-15	3.3932279552304264e-16	False	2.8346880362424136e-15	1.0632829270617304e-15	False	8.859213379685375e-16	7.163023987540431e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-07_00-00-00_CA-2.2m_CAFOS_None.ascii	55111.0	4.312495309524734e-15	4.0806456571184226e-17	True	1.1656574345604453e-15	1.032071622523025e-17	True	2.1986761811474285e-15	1.722018447351478e-17	True	2.9713802932337204e-15	7.035586236619921e-17	True	3.2465198244944208e-15	2.8039878437242695e-17	True	4.243123555661417e-15	2.5918146332287243e-16	False	1.4554950242233587e-15	1.935593768827048e-17	True	2.2105571466046605e-15	1.6916855164858352e-16	False	2.4397739604204343e-15	3.274173790798082e-17	True	3.702932961346674e-15	2.813137766005604e-16	False	3.2367366094192884e-15	2.6829018108932706e-16	False	2.925553142347514e-15	9.70825314269879e-16	False	9.589152729933998e-16	5.228685105719001e-17	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-10_05-45-36_FLWO-1.5m_FAST_CfA-Stripped.flm	55114.24	5.685557554773442e-15	4.810881014410543e-17	True	1.5469314718667922e-15	1.124848174415866e-17	True	2.8408859514007076e-15	2.034092492866291e-17	True	3.7050719967928455e-15	7.505898137884419e-17	True	4.3081057497484035e-15	3.276999353310646e-17	True	5.233615948791263e-15	7.040771291223764e-17	True	1.8972134028094044e-15	2.1671377076702244e-17	True	2.3040825082459296e-15	1.058458385710608e-16	False	3.1872107918618492e-15	3.633474671313356e-17	True	3.808427793925416e-15	1.7526188821801761e-16	False	3.548658721731807e-15	1.113989036636701e-16	True	3.1650146586577777e-15	6.338729991049226e-16	False	1.223387021222909e-15	1.5495400179550176e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN_2009jf_2009-10-12_07-48-00_Lick-3m_KAST_UCB-SNDB_0.flm	55116.33	6.171688267724616e-15	5.1467562418528765e-17	True	1.7518663912792189e-15	1.1994013105843664e-17	True	3.155089116078886e-15	2.1527203202552238e-17	True	3.915757204036033e-15	7.586596577595639e-17	True	4.78981071803761e-15	3.5063965115841664e-17	True	5.791994736360154e-15	6.05581620701843e-17	True	2.1371361310955662e-15	1.9853219722196387e-17	True	2.365122996890297e-15	6.937883519857329e-17	False	3.5809018594284394e-15	3.4614851329090626e-17	True	3.87323939103738e-15	1.1413147521398715e-16	False	3.7142817597157235e-15	1.0179019623069241e-16	True	3.2475324321760757e-15	3.970567183006534e-16	False	1.3925940890320999e-15	1.3754262224226116e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-13_00-00-00_NOT_ALFOSC_None.ascii	55117.0	6.261925529465933e-15	5.1032013961193436e-17	True	1.8096858003946584e-15	1.2226631794749189e-17	True	3.237786983456625e-15	2.1706456810219583e-17	True	3.9414581382621034e-15	7.569940489103181e-17	True	4.908132952589756e-15	3.551860990569031e-17	True	5.914742598516184e-15	5.81057123370746e-17	True	2.210105982264709e-15	1.9343297691365405e-17	True	2.384790957178357e-15	5.892192478534116e-17	False	3.687500591598718e-15	3.4257952059125e-17	True	3.893393678765491e-15	9.65787066571743e-17	False	3.746607066496976e-15	1.0420631363642642e-16	True	3.2565794335177677e-15	3.2190490108220423e-16	False	1.441234570455423e-15	1.3579853515654892e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-14_05-02-24_FLWO-1.5m_FAST_CfA-Stripped.flm	55118.21	6.33896333671196e-15	5.1696199940490423e-17	True	1.903076623490291e-15	1.266104458103861e-17	True	3.3650249713837085e-15	2.205679523523887e-17	True	3.937043387947023e-15	7.522390459015332e-17	True	5.0776934332752275e-15	3.650274129717228e-17	True	6.065276023260082e-15	6.286438562406822e-17	True	2.3361218808119614e-15	2.07958390923323e-17	True	2.42041756143179e-15	4.244744391477009e-17	True	3.859296359081221e-15	3.6454193313630136e-17	True	3.928951617929492e-15	6.885948993360834e-17	True	3.758031729073327e-15	1.1349836892210918e-16	True	3.2458921672165713e-15	1.9573802804545426e-16	True	1.5242674899608243e-15	1.453257017285809e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-16_00-00-00_Ekar_AFOSC_None.ascii	55120.0	6.300282391727052e-15	5.5144670628975925e-17	True	2.012635241141755e-15	1.3293106003591224e-17	True	3.5036445520334805e-15	2.3100669099151866e-17	True	3.8129815200904425e-15	7.467240168989704e-17	True	5.227353440656125e-15	3.807230526684908e-17	True	6.131506433126332e-15	8.790396332626928e-17	True	2.4857014675106743e-15	2.5991683205236322e-17	True	2.473162965463642e-15	2.7734703491822247e-17	True	4.0726394346194e-15	4.342158445993151e-17	True	3.97920164404893e-15	4.389839320383707e-17	True	3.644371612539439e-15	1.4496225458514052e-16	True	3.152458869984187e-15	9.385386757702785e-17	True	1.6350490071586944e-15	1.7982695055120546e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-17_04-04-48_FLWO-1.5m_FAST_CfA-Stripped.flm	55121.17	6.2191286300575285e-15	5.728027379137584e-17	True	2.0650763547162995e-15	1.3712131460375922e-17	True	3.563819496687191e-15	2.3943432446046236e-17	True	3.661526160273824e-15	7.378611043288272e-17	True	5.2677427246838145e-15	3.871650162401526e-17	True	6.089843305469048e-15	1.221734833319605e-16	True	2.5442961988040792e-15	3.0243280127333934e-17	True	2.5054242042734355e-15	2.570341598446154e-17	True	4.177193920313561e-15	5.064969903454041e-17	True	4.00769298838302e-15	4.0263178371993417e-17	True	3.489007632310785e-15	1.7244287217515642e-16	True	3.036499396610467e-15	9.918933036629541e-17	True	1.6975389186010885e-15	2.175175539259158e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009jf/SN2009jf_2009-10-18_00-00-00_Ekar_AFOSC_None.ascii	55122.0	6.123820318292953e-15	5.80228180177041e-17	True	2.0931779965798618e-15	1.4011008309530783e-17	True	3.593150176523958e-15	2.446952980703222e-17	True	3.5240103739104137e-15	7.275982456793159e-17	True	5.270895388735441e-15	3.885571352890773e-17	True	6.026172825547115e-15	1.3768912976684522e-16	True	2.570610592652489e-15	3.178673380203114e-17	True	2.525115293547657e-15	2.6126309007735382e-17	True	4.232677350331513e-15	5.3316101659017756e-17	True	4.0228778287380616e-15	4.0647528213011424e-17	True	3.348370774409024e-15	1.8769190785311155e-16	True	2.9169935882320525e-15	1.0276796952035391e-16	True	1.734108585876817e-15	2.3587879335914513e-17	True
