MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err
54719.3001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.3501	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.400100000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.45010000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.50010000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.550100000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.60010000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.65010000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.700100000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.75010000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.80010000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.85010000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.900100000035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54719.95010000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54720.00010000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54720.050100000044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54720.10010000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54720.15010000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54720.20010000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54720.250100000056	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54720.30010000006	nan	nan	4.7713605429971526e-15	1.5055322544190552e-16	nan	nan	nan	nan	nan	nan	nan	nan
54720.35010000006	nan	nan	4.832800497785367e-15	1.466227982553401e-16	nan	nan	nan	nan	2.679233379208948e-15	1.2694279307723234e-16	nan	nan
54720.400100000064	nan	nan	4.8945364169693186e-15	1.4298798721792067e-16	nan	nan	1.0567969957125635e-15	4.805438541602578e-17	2.7157585478746226e-15	1.2438108528908985e-16	nan	nan
54720.45010000007	nan	nan	4.956482313568166e-15	1.3964752230079387e-16	nan	nan	1.0842715820300474e-15	4.643147092827593e-17	2.7524189533979446e-15	1.2194266044704691e-16	nan	nan
54720.50010000007	nan	nan	5.018554734492022e-15	1.365979810966099e-16	nan	nan	1.1118642460503682e-15	4.4938437592917406e-17	2.7891942524425842e-15	1.196276040485166e-16	nan	nan
54720.55010000007	nan	nan	5.080676315712497e-15	1.3383349988093484e-16	nan	nan	1.1395515561184498e-15	4.357624431792744e-17	2.8260638689550178e-15	1.174354866221631e-16	nan	nan
54720.600100000076	nan	nan	5.142773138069093e-15	1.3134636851428335e-16	nan	nan	1.1673086672020649e-15	4.2344301559198066e-17	2.863007214256142e-15	1.15365301433305e-16	nan	nan
54720.65010000008	nan	nan	5.204771353764531e-15	1.291278093814431e-16	nan	nan	1.1951097711720507e-15	4.124070312788242e-17	2.9000037519987273e-15	1.1341577421353388e-16	nan	nan
54720.70010000008	nan	nan	5.266602303308333e-15	1.2716727797996647e-16	nan	nan	1.2229291459474577e-15	4.02628026643575e-17	2.9370336345355085e-15	1.115850424268217e-16	nan	nan
54720.750100000085	nan	nan	5.328208215800553e-15	1.2545172003092582e-16	nan	nan	1.2507420597154136e-15	3.940630137010006e-17	2.9740774962216656e-15	1.0987077120542126e-16	nan	nan
54720.80010000009	nan	nan	5.389532686248132e-15	1.2396719808732828e-16	nan	nan	1.2785243159698794e-15	3.866576111193399e-17	3.011115981376758e-15	1.0827042256826268e-16	nan	nan
54720.85010000009	nan	nan	5.450519301347935e-15	1.2269930635506831e-16	nan	nan	1.306251722835949e-15	3.8035239954506304e-17	3.048129834899692e-15	1.0678124028620133e-16	nan	nan
54720.90010000009	nan	nan	5.511111637994151e-15	1.2163338292990848e-16	nan	nan	1.333900379483938e-15	3.750829768387955e-17	3.0851011851908173e-15	1.0539988383719767e-16	nan	nan
54720.9501000001	nan	nan	5.571253261786844e-15	1.2075471825995174e-16	nan	nan	1.361449121445444e-15	3.7077242645782556e-17	3.1220131652963784e-15	1.0412255919821617e-16	nan	nan
54721.0001000001	nan	nan	5.63088926606025e-15	1.2004854248355707e-16	nan	nan	1.3888782795374882e-15	3.6733739579883545e-17	3.1588489299736704e-15	1.0294533362628303e-16	nan	nan
54721.0501000001	nan	nan	5.689979878917058e-15	1.1949836713218213e-16	nan	nan	1.41616819764295e-15	3.646952047437803e-17	3.1955916328517736e-15	1.0186416938612007e-16	nan	nan
54721.100100000105	nan	nan	5.748493918234253e-15	1.1908708156960402e-16	nan	nan	1.4432992171350658e-15	3.6276554437597646e-17	3.232224426209919e-15	1.0087495164709693e-16	nan	nan
54721.15010000011	nan	nan	5.806400284773494e-15	1.1879831424761517e-16	nan	nan	1.470251742324314e-15	3.614717015129375e-17	3.2687307633001744e-15	9.99734501967189e-17	nan	nan
54721.20010000011	nan	nan	5.863667862345765e-15	1.1861661846966074e-16	nan	nan	1.4970087933655012e-15	3.607349543781495e-17	3.305096450127301e-15	9.915489837569967e-17	nan	nan
54721.250100000114	nan	nan	5.9202655169849494e-15	1.1852760565851598e-16	nan	nan	1.5235568251535899e-15	3.604734677790485e-17	3.3413083942742028e-15	9.841430253091849e-17	nan	nan
54721.30010000012	nan	nan	5.976162096120107e-15	1.185180405938719e-16	nan	nan	1.5498825223001164e-15	3.606117511572034e-17	3.3773535075018105e-15	9.774671983515701e-17	nan	nan
54721.35010000012	nan	nan	6.0313264277475505e-15	1.1857590112791825e-16	nan	nan	1.5759725654606208e-15	3.610819754129602e-17	3.4132186992503712e-15	9.714729447811693e-17	nan	nan
54721.40010000012	nan	nan	6.0857273196023124e-15	1.1869040582517497e-16	nan	nan	1.6018136311025057e-15	3.618243449771143e-17	3.4488908764663226e-15	9.661128945260487e-17	nan	nan
54721.450100000126	nan	nan	6.1393335583297776e-15	1.1885201343061894e-16	nan	nan	1.6273923912729254e-15	3.6278718350536884e-17	3.484356943429798e-15	9.613411486660434e-17	nan	nan
54721.50010000013	nan	nan	6.192113908656289e-15	1.1905239815866436e-16	nan	nan	1.6526956807406824e-15	3.6392632902673715e-17	3.5196038015829874e-15	9.571135244585684e-17	nan	nan
54721.55010000013	nan	nan	6.244037114111686e-15	1.1928440432081007e-16	nan	nan	1.677713777535597e-15	3.6519598048122643e-17	3.554618483874498e-15	9.533874876576102e-17	nan	nan
54721.600100000134	nan	nan	6.2950778996064e-15	1.1954091429395379e-16	nan	nan	1.7024401934760723e-15	3.6654905248415e-17	3.589390492839475e-15	9.501175889825886e-17	nan	nan
54721.65010000014	nan	nan	6.345230571617543e-15	1.1981237353492988e-16	nan	nan	1.72686856067621e-15	3.679454585600412e-17	3.62391149786706e-15	9.472562718113157e-17	nan	nan
54721.70010000014	nan	nan	6.3944934069746416e-15	1.200895740861871e-16	nan	nan	1.7509925059727385e-15	3.6935224296131116e-17	3.6581732385917305e-15	9.447583275481611e-17	nan	nan
54721.75010000014	nan	nan	6.442864658043894e-15	1.2036437110665542e-16	nan	nan	1.7748056508123391e-15	3.707432740727116e-17	3.69216745110748e-15	9.425812153738742e-17	nan	nan
54721.800100000146	nan	nan	6.490342552673017e-15	1.2062967446113102e-16	nan	nan	1.7983016111403006e-15	3.720988622387038e-17	3.725885867859166e-15	9.406851896046846e-17	nan	nan
