MJD	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56603.95000000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.7764760338036425e-16	2.961996199347686e-17	4.186549064797575e-16	6.961338633111829e-17	nan	nan	nan	nan	nan	nan	2.563757342737815e-16	5.832711587338284e-18
56604.000000000146	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.969178455115427e-16	3.0900339649453843e-17	4.4020830066858897e-16	7.298653622785813e-17	nan	nan	nan	nan	nan	nan	2.6970249009805893e-16	6.138210126899606e-18
56604.05000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.1663606428734426e-16	3.2162125507932716e-17	4.623147245542e-16	7.617942053103661e-17	nan	nan	nan	nan	nan	nan	2.8331975627203543e-16	6.399620398480733e-18
56604.10000000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.3679933817110866e-16	3.339634808246298e-17	4.849821276353876e-16	7.917182502975229e-17	nan	nan	nan	nan	nan	nan	2.9721895549868465e-16	6.6166124309006064e-18
56604.150000000154	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.574047648317976e-16	3.459838038253632e-17	5.082186173044816e-16	8.195972175901433e-17	nan	nan	nan	nan	nan	nan	3.113915123545362e-16	6.790969514047024e-18
56604.20000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.784494610077783e-16	3.576741473292256e-17	5.320324607695115e-16	8.455315899315111e-17	nan	nan	nan	nan	nan	nan	3.258288532319376e-16	6.926445653890177e-18
56604.25000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.999305623712402e-16	3.690599373900419e-17	5.564320870116429e-16	8.697462059840356e-17	nan	nan	nan	nan	nan	nan	3.4052240628921676e-16	7.028720316326577e-18
56604.30000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.218452233935493e-16	3.801958049219295e-17	5.814260887780389e-16	8.925762969370907e-17	nan	nan	nan	nan	nan	nan	3.5546360138484044e-16	7.105391911738778e-18
56604.350000000166	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.441906172107018e-16	3.911614629908288e-17	6.070232246107087e-16	9.144539250655457e-17	nan	nan	nan	nan	nan	nan	3.706438700243352e-16	7.16595047296838e-18
56604.40000000017	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.669639354898305e-16	4.020575432400344e-17	6.332324209117188e-16	9.35893012807911e-17	nan	nan	nan	nan	nan	nan	3.8605464530254954e-16	7.221659623593062e-18
