spec_file	spec_mjd	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_i'_fitflux	sdss_i'_fitfluxerr	sdss_i'_inrange	sdss_r'_fitflux	sdss_r'_fitfluxerr	sdss_r'_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_-14.74.txt	56605.06	5.733763257468671e-16	2.945075749315363e-16	False	8.578897523185567e-16	4.337337946195172e-16	False	1.869491915864752e-15	4.370357836644739e-16	False	3.532417351596425e-15	5.552884754187151e-16	False	5.64663787831912e-15	6.157784339945913e-16	False	9.064686477141516e-16	5.62786508728377e-17	True	1.042039672755998e-15	1.2955106390145736e-16	True	3.835100232860794e-16	1.0119275439705302e-16	False	1.9245881705150933e-15	2.846393193900824e-16	False	6.603094778934618e-16	1.5319618301349648e-16	False	6.082143460016826e-16	9.97888143682502e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_-13.74.txt	56606.06	6.686443273388623e-16	2.4717283401902155e-16	False	1.0099950945074417e-15	3.3457501044132125e-16	False	2.0504222158835983e-15	3.513126242206033e-16	False	3.501971682490958e-15	5.335216794456595e-16	False	5.5687325961507504e-15	5.900481826185445e-16	False	1.5494540418525278e-15	7.912237508177512e-17	True	1.9387375342503775e-15	1.7606318771869777e-16	True	3.935484130771822e-16	7.928167611656408e-17	True	1.932763136690858e-15	2.1805858261403418e-16	True	6.654866142577861e-16	1.2065351436738203e-16	True	1.0024497962532258e-15	1.4252058660652335e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_-12.75.txt	56607.05	7.713063734475639e-16	2.0682010329412676e-16	True	1.1764495667285716e-15	2.4552197413314785e-16	True	2.246656998242253e-15	2.725513423020246e-16	True	3.4707749682292274e-15	5.12020323461072e-16	False	5.490597491656151e-15	5.648009588154005e-16	False	2.296676278939306e-15	9.813750723194719e-17	True	3.135176380088447e-15	1.9009307588881832e-16	True	3.9957755649945633e-16	5.952639817897735e-17	True	1.9223652797513583e-15	1.5906973946321337e-16	True	6.623089737792375e-16	9.108765984381856e-17	True	1.4429333015227812e-15	2.0042659130243933e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_-2.79.txt	56617.01	2.078488112113361e-15	1.0724267555865895e-16	True	3.370053232448647e-15	1.7917033253969647e-16	True	4.747874988635271e-15	2.700835496913585e-16	True	3.0940766938143178e-15	3.012548724623971e-16	False	4.6466972079175485e-15	3.260837883046868e-16	False	4.968188257697784e-15	1.4028621359034022e-16	True	2.912075662423114e-15	1.3090755486512316e-16	True	1.5714425305043655e-16	9.151138304311258e-17	False	8.133385111142211e-16	4.877629399870466e-17	True	2.0798184607512457e-16	4.403104486498377e-17	True	4.75861088875332e-15	1.167906831974432e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/SN2013ge_y2013m11d28.txt	56624.0	2.5043303820857602e-15	6.792487519788694e-17	True	3.797429678887493e-15	9.382552368080958e-17	True	4.801522700738447e-15	1.6833528250684167e-16	True	2.753712556933362e-15	1.6604472690326693e-16	False	3.98831683432562e-15	1.8138607269663205e-16	False	3.9229796544541695e-15	1.846156938428616e-16	True	1.657805740309446e-15	1.8646496343523577e-16	True	6.174781704702017e-17	2.1893325031618114e-16	False	4.455409825198988e-16	6.131569554416099e-17	True	1.2069129147286285e-16	2.660428981816592e-16	False	4.892787391171317e-15	1.5441253537527192e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_5.18.txt	56624.98	2.5124170382848247e-15	7.726310946810377e-17	True	3.794933111317846e-15	1.0224723949771405e-16	True	4.6101665491804764e-15	1.8288711819423692e-16	True	2.7004372010361395e-15	1.4858124569356235e-16	False	3.891426077562072e-15	1.632136870297282e-16	False	3.625790670467023e-15	1.7215068160815071e-16	True	1.4404047153052626e-15	1.8195506254005654e-16	True	5.4145177526901446e-17	2.3064960681704725e-16	False	4.1543184671082265e-16	5.952444999153207e-17	True	1.1130259767711476e-16	2.9178820842352383e-16	False	4.767685483567635e-15	1.519578084974863e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_12.15.txt	56631.95	2.2482984581645196e-15	1.7782990719342234e-16	True	3.1466468647442286e-15	2.2497725922963207e-16	True	2.9423425115964075e-15	1.1127449440096904e-16	True	2.2785703429828624e-15	4.4783905618339903e-17	False	3.168381068421416e-15	5.785996679237329e-17	False	1.882265358804169e-15	1.2090229927724698e-16	True	5.377814047809847e-16	1.441164041155023e-16	True	2.1196043163767878e-17	2.8099369211962323e-16	False	2.4962141254532084e-16	5.230125707360832e-17	True	6.107834473680696e-17	4.1311719915162615e-16	False	3.3071625550085925e-15	1.2600402070352402e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_13.14.txt	56632.94	2.1888899361799422e-15	1.7841098892390258e-16	True	3.024320394407942e-15	2.2961752541204224e-16	True	2.7953975395144163e-15	5.765713163355699e-17	True	2.212220400523188e-15	3.565985672802359e-17	True	3.0607328569542087e-15	4.830630938968035e-17	True	1.719338191375595e-15	1.1537763553022694e-16	True	5.157213158897474e-16	1.216057400143456e-16	True	1.8542964855852378e-17	2.8479400089970435e-16	False	2.272872667881765e-16	5.119665490274013e-17	True	5.592566235740401e-17	4.2333065040399337e-16	False	3.077585577119441e-15	1.2641560696807276e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_16.13.txt	56635.93	2.0072374653125525e-15	1.4870022154478442e-16	True	2.6871212081752148e-15	1.9341015722445882e-16	True	2.505939864753583e-15	9.579190491886422e-17	True	2.000041001883931e-15	2.8203376488779164e-17	True	2.7280692879204474e-15	3.408835746911299e-17	True	1.2676821166695895e-15	1.5016045433046653e-16	True	2.2741813134028404e-16	1.9291903650678375e-16	True	1.2371220430552797e-17	2.9320726120783596e-16	False	1.739413949465357e-16	1.9247989541989993e-16	False	4.270158713356791e-17	4.469459465646422e-16	False	2.462768263741833e-15	1.4521932704704117e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_19.12.txt	56638.92	1.8401483221661486e-15	1.0089325654955121e-16	True	2.44012045557565e-15	9.869440052429856e-17	True	2.0743748962566733e-15	8.67682668521261e-17	True	1.776803089690535e-15	3.254682520648392e-17	True	2.397852231575943e-15	3.2242404160711555e-17	True	9.845861585955562e-16	2.8701859903171907e-16	True	1.3457881894207286e-16	6.316066262656421e-16	True	8.242580742248521e-18	2.9832326667345283e-16	False	1.3307138596662682e-16	4.079454350708975e-16	False	3.244664206005078e-17	4.623118950112612e-16	False	2.0116288625904383e-15	1.5774929841758642e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_30.07.txt	56649.87	1.3342849556344934e-15	5.999775826876018e-16	False	1.8210124339537598e-15	9.660373957681315e-16	False	1.343041929092935e-15	2.10549934508304e-17	True	1.1403103283042237e-15	1.465648401644516e-17	True	1.5486020169687643e-15	1.8266823594922097e-17	True	6.41187377523047e-16	1.0846955864757237e-16	True	1.6125520965230148e-16	3.155159160803402e-16	True	1.8385313948591906e-18	3.0459231007724626e-16	False	4.9639220487941725e-17	9.195448916819097e-16	False	1.1486444795567614e-17	4.835687685488034e-16	False	1.2077588919925985e-15	4.274224063657982e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_33.06.txt	56652.86	1.2112406851954687e-15	7.495433197489806e-16	False	1.6446323618607417e-15	1.2176193743883237e-15	False	1.257588363038921e-15	1.993918597574497e-17	True	1.0497631147388625e-15	1.0539062341508079e-17	True	1.4401832801459271e-15	1.3619086228482242e-17	True	6.595501395959608e-16	8.720292957808506e-17	True	1.7060281498603855e-16	4.294876535459317e-16	True	1.2153746090941523e-18	3.0498780683350153e-16	False	3.787188695816433e-17	9.868129947123782e-16	False	8.588890599133578e-18	4.851794181309726e-16	False	1.1352442868774273e-15	1.567937980695141e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_34.05.txt	56653.85	1.1722292701784368e-15	7.958488665485632e-16	False	1.5876137783505884e-15	1.2936620795982975e-15	False	1.2344925910004332e-15	2.780157598397799e-17	True	1.0311641835638612e-15	1.0459110345689139e-17	True	1.4124267611378868e-15	1.3383326002352782e-17	True	6.593599914402732e-16	7.520647397003659e-17	True	1.7672853052703413e-16	5.296774246054615e-16	True	1.0592305006498069e-18	3.05075370282878e-16	False	3.4622626753496356e-17	1.0044415297443112e-15	False	7.7963577959433e-18	4.855522640435508e-16	False	1.11871400967736e-15	1.53585692438164e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_37.04.txt	56656.84	1.0598024745193269e-15	9.25319804956334e-16	False	1.421242253465636e-15	1.5009350815973824e-15	False	1.195270789951463e-15	2.9118696747616965e-17	True	9.917609486552982e-16	1.1779817566841885e-17	True	1.3352936520548685e-15	1.3358539441158488e-17	True	6.183792132109163e-16	7.456419221749861e-17	True	1.904958941028942e-16	1.6722872307926078e-16	True	6.981921629275066e-19	3.0525583267102575e-16	False	2.6397183118127336e-17	1.0465400367244303e-15	False	5.810643919359135e-18	4.863511755048798e-16	False	1.0738415011318024e-15	1.877941857696241e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_40.03.txt	56659.83	9.555752404923655e-16	1.0391268115089041e-15	False	1.26529851177768e-15	1.6757544038555788e-15	False	1.1092266643995202e-15	1.391372261913373e-17	True	9.338597735403582e-16	1.0865492385456273e-17	True	1.2485865065565601e-15	1.4412055573565846e-17	True	6.22894970441606e-16	2.074648559197474e-16	True	1.5898379219300507e-16	7.187269487227936e-16	False	4.590986107672572e-19	3.053547801410259e-16	False	2.0116164821036988e-17	1.0755195569099489e-15	False	4.321201071698742e-18	4.868171042745571e-16	False	1.0237118448142801e-15	1.4692151772054233e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_43.02.txt	56662.82	8.594991654181081e-16	1.1378882000118315e-15	False	1.1210893222344903e-15	1.820923415084434e-15	False	1.048105540751102e-15	1.2174249418582882e-17	True	8.531223175088029e-16	1.4262772560135923e-17	True	1.1660050072647533e-15	1.9289861212570046e-17	True	6.443147861519518e-16	1.7612585370765355e-16	True	1.088822602258787e-16	1.1990623138219413e-15	False	3.010727525349765e-19	3.054085694380911e-16	False	1.5322574914564297e-17	1.095154058258572e-15	False	3.2071238441535724e-18	4.870863010453443e-16	False	9.79008940403478e-16	1.4629657088239866e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_44.01.txt	56663.81	8.294531800803955e-16	1.167454014728441e-15	False	1.0760388856347292e-15	1.863049325736578e-15	False	1.03277125894482e-15	9.490464259376724e-18	True	8.2378598850446e-16	1.3725959652938906e-17	True	1.1408760979404236e-15	1.9344914281863057e-17	True	6.358336867903742e-16	1.0939378314020929e-16	True	9.386668538695255e-17	1.2909437972554061e-15	False	2.6165147169371586e-19	3.054202266462885e-16	False	1.4000643600775408e-17	1.1001035390225747e-15	False	2.9044424933692314e-18	4.87147191100406e-16	False	9.64867677691899e-16	1.616486776523901e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2013ge/2013ge_46.0.txt	56665.8	7.716541620293179e-16	1.2224488064999876e-15	False	9.895888023729877e-16	1.9395985782217616e-15	False	1.0019299789816674e-15	1.0401053885698597e-17	True	7.703765078182587e-16	9.143455498579758e-18	True	1.094516876243137e-15	1.6071545568890173e-17	True	5.75053915654497e-16	9.365225620549851e-17	True	6.806053009992733e-17	1.4113221626964982e-15	False	1.9713327650102916e-19	3.0543751822377465e-16	False	1.1676750170250108e-17	1.1082340371185916e-15	False	2.3783067448913615e-18	4.872401575262558e-16	False	9.362238650655576e-16	1.4138550954635528e-17	True
