time,mag,mag_err
55644.55,,
55644.75,-8.787257355365389,0.005916257748140305
55645.05,-9.69116988592409,0.002817667719891525
55646.49,-11.23925700817776,0.0015178817439929113
55648.43,-11.84616654625592,0.001569074623757792
55650.38,-12.234915092971843,0.001439983616826803
55652.32,-12.526508724740022,0.0012605755479081135
55654.26,-12.76651069052581,0.0010793127942002171
55656.2,-12.964684916554512,0.0009158095929404386
55658.15,-13.131974954089156,0.000768599418416986
55660.09,-13.275482422337987,0.0006348806531493389
55662.03,-13.4125088481943,1.3458807554797373e-06
55663.54,-13.510085080730894,0.00037988084061638615
55665.04,-13.597546070960796,3.618399852304672e-05
55667.5,-13.690035618781122,0.00030058712558475467
55669.96,-13.79760162944111,6.619775635304144e-07
55671.91,-13.866023523382253,9.42575104315944e-07
55673.51,-13.90283392495865,0.00028218941842981723
55675.11,-13.952102986275445,7.194640826657683e-07
55677.09,-13.981380755828056,0.0002958342830788185
55679.08,-14.009026213418574,0.0003156694117179438
55681.06,-14.028033762772578,0.00032040750618349506
55683.05,-14.03929796613083,0.0003115726987524066
55685.03,-14.042026807158575,0.000302047016741611
55687.02,-14.039478140757344,0.00030114015105347727
55689.0,-14.030272690703223,8.830067590147236e-05
55691.0,-14.021416201152723,0.000302414169950707
55692.99,-14.006963393872187,0.0003093952026309101
55694.99,-13.994602320209992,0.0003453954122690208
55696.98,-13.975745144378367,0.00020612966910135474
55699.28,-13.965224436376328,0.00037359905314445375
55701.57,-13.941358187411808,0.00033965248735491664
55703.87,-13.909430489363025,0.0002107634173654923
55705.89,-13.882212468870774,0.0003239999487754774
55707.91,-13.84914292369954,0.000326385786480109
55709.93,-13.814434829869056,0.00033964184794150977
55711.95,-13.779055603303885,0.0003643765316114532
55713.97,-13.741188838413548,0.0003695293989783534
55715.99,-13.699697447331644,0.0003452795080374349
55718.01,-13.658486340166009,0.0003663490285848685
55720.03,-13.617181703982977,0.00042950343003235995
55722.05,-13.574183414784954,0.0004609481024720474
55724.07,-13.506988095008023,0.00014084011770559743
55726.06,-13.482785057381058,0.00042438998972731996
55728.05,-13.435558304954316,0.0003715813954891004
55730.04,-13.392484309655684,0.0003751676214865033
55732.03,-13.353706870900764,0.0004236129966317133
55734.02,-13.317867790744707,0.000448551186297759
55736.01,-13.299380216673226,2.192471329395979e-06
55738.0,-13.253497541639021,0.00045608923686911256
55740.0,-13.223293238929688,0.0004981703497488483
55741.99,-13.189483112013114,0.0005817978245081894
55743.98,-13.156202606570133,0.0006662977913583418
55745.98,-13.122555124511523,0.0007111378907199854
55747.97,-13.090460878656813,0.000678586522039796
55749.96,-13.060418140762764,0.000562602291941296
55751.96,-13.015155384410267,0.000710714451459888
55753.95,-12.97773503552212,0.0007754775117290215
55755.94,-12.942429276644386,0.0007688673260369687
55757.94,-12.91054229877831,0.0007138615085302493
55759.93,-12.894745723971484,0.000666439314260701
55761.92,-12.864572987098274,0.0008389361596426777
55763.92,-12.838879635171288,0.0010539012873341973
55765.91,-12.816661899816015,0.0012247982894891384
55767.9,-12.798782561875665,0.0013326759152749819
55769.9,-12.786679764558198,0.0013712796852607273
55771.89,-12.78024607905529,0.0013518887726082123
55773.88,-12.775914914822884,0.0013418510852546677
55775.88,-12.766195055385444,0.0015107077479564223
55777.87,-12.748031918970478,0.0018517846825462487
55779.86,-12.722260097257333,0.002254005073301313
55781.86,-12.6922535734859,0.0026667311897704284
55783.85,-12.585024108740653,0.0011488628627130874
55784.85,-12.507396257929129,0.000982904163389453
55786.84,-12.609439939506082,0.003696495355084166
55788.84,-12.574815293130284,0.004106528218864876
55790.83,-12.53964908117112,0.004516179424246216
55792.83,-12.504012395667992,0.0049255074532601655
55794.82,-12.469048070770727,0.005325980312885561
55796.81,-12.432593423609156,0.00573342784526569
55798.81,-12.395779996733275,0.0061386886969840475
55800.8,-12.358643759357582,0.006540684870090992
55802.8,-12.321221219876744,0.006938139366671657
55804.79,-12.283550535696374,0.007329737080820392
55806.78,-12.245672100552811,0.007714108116931969
55808.78,-12.207626562647416,0.008089914458397936
55810.77,-12.170533490588362,0.008448403747793088
55812.76,-12.13227556346476,0.008803223823179435
55814.76,-12.093980960221355,0.009145519349403239
55816.75,-12.055693853275915,0.00947400812042385
55818.75,-12.017463929376353,0.009787367554512408
55820.74,-11.979337043970839,0.01008440995187457
55822.73,-11.941368092973995,0.010363858615884482
55824.73,-11.903603016432044,0.010624444406814162
55826.72,-11.867084926463928,0.010860213718746242
55828.72,-11.829888378668446,0.01107993503126909
55830.71,-11.793078110997268,0.011277264222776954
55832.7,-11.756707991591176,0.011450931837493253
55834.7,-11.720845938101252,0.011599745423123588
55836.69,-11.685563360316586,0.011722637002041488
55838.69,-11.650923141883183,0.01181831382990215
55840.68,-11.617005046709947,0.011885771153299782
55842.67,-11.584689327017202,0.011923800568751836
