MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err
55825.460000000145	nan	nan	nan	nan	9.85115234188581e-16	1.1113988650085831e-17	nan	nan	1.7154700125215123e-15	3.724887062264395e-17	nan	nan
55825.51000000015	nan	nan	nan	nan	9.947388417812604e-16	1.1132804137170455e-17	nan	nan	1.7392822941163966e-15	3.734197969027575e-17	nan	nan
55825.56000000015	nan	nan	nan	nan	1.0032797625016527e-15	1.1140834387782061e-17	nan	nan	1.7609137960479879e-15	3.739990183293941e-17	nan	nan
55825.61000000015	nan	nan	nan	nan	1.0107959319818272e-15	1.1138797404506853e-17	nan	nan	1.7804255114856255e-15	3.742542286064957e-17	nan	nan
55825.660000000156	nan	nan	nan	nan	1.0173432215745503e-15	1.1127485943858807e-17	nan	nan	1.7978812077082038e-15	3.7421289147652027e-17	nan	nan
55825.71000000016	nan	nan	nan	nan	1.0229753152455493e-15	1.1107768321163525e-17	nan	nan	1.8133470896679155e-15	3.739020960745659e-17	nan	nan
55825.76000000016	nan	nan	nan	nan	1.0277436126031309e-15	1.1080584261666163e-17	nan	nan	1.8268914822881527e-15	3.733485275712623e-17	nan	nan
55825.810000000165	nan	nan	nan	nan	1.0316971556073952e-15	1.1046933488804633e-17	nan	nan	1.838584530199053e-15	3.725783785515533e-17	nan	nan
55825.86000000017	nan	nan	nan	nan	1.0348825768472246e-15	1.1007854071406514e-17	nan	nan	1.8484979137425213e-15	3.7161718949885546e-17	nan	nan
55825.91000000017	nan	nan	nan	nan	1.0373440743958417e-15	1.096438541455971e-17	nan	nan	1.8567045630490144e-15	3.704895834394019e-17	nan	nan
55825.960000000174	nan	nan	nan	nan	1.03912483990955e-15	1.0917211453344697e-17	nan	nan	1.8632747895581223e-15	3.6921432632356825e-17	nan	nan
55826.01000000018	nan	nan	nan	nan	1.0402688456276225e-15	1.0866258559685345e-17	nan	nan	1.868271573653673e-15	3.6779849697714374e-17	nan	nan
55826.06000000018	nan	nan	nan	nan	1.0408180691153433e-15	1.081132992110865e-17	nan	nan	1.8717573387016635e-15	3.6624676549822506e-17	nan	nan
55826.11000000018	nan	nan	nan	nan	1.0408120894788752e-15	1.0752242460894448e-17	nan	nan	1.8737948279854042e-15	3.645631743199177e-17	nan	nan
55826.160000000185	nan	nan	nan	nan	1.0402881330318876e-15	1.0688855526738888e-17	nan	nan	1.8744468973690515e-15	3.627514434049765e-17	nan	nan
55826.21000000019	nan	nan	nan	nan	1.039281129527821e-15	1.0621087102152079e-17	nan	nan	1.8737763195854162e-15	3.6081520816214124e-17	nan	nan
55826.26000000019	nan	nan	nan	nan	1.0378237775624672e-15	1.0548920394342803e-17	nan	nan	1.871845599933547e-15	3.587581994641903e-17	nan	nan
55826.310000000194	nan	nan	nan	nan	1.035946617905875e-15	1.0472403220379558e-17	nan	nan	1.8687168031950503e-15	3.5658437428395226e-17	nan	nan
55826.3600000002	nan	nan	nan	nan	1.0336781136539448e-15	1.0391642182459793e-17	nan	nan	1.8644513916113232e-15	3.54298004672849e-17	nan	nan
55826.4100000002	nan	nan	nan	nan	1.0310447362388031e-15	1.0306793214520625e-17	nan	nan	1.8591100737815423e-15	3.5190373203425875e-17	nan	nan
55826.4600000002	nan	nan	nan	nan	1.0280710564606607e-15	1.0218049713526063e-17	nan	nan	1.8527526643580083e-15	3.494065929297092e-17	nan	nan
55826.510000000206	nan	nan	nan	nan	1.024779839850793e-15	1.0125629148684917e-17	nan	nan	1.8454379544289663e-15	3.468120219747456e-17	nan	nan
55826.56000000021	nan	nan	nan	nan	1.0211921458017205e-15	1.0029758777562942e-17	nan	nan	1.837223592491471e-15	3.441258367565479e-17	nan	nan
55826.61000000021	nan	nan	nan	nan	1.0173274300444288e-15	9.930660892034065e-18	nan	nan	1.8281659759146896e-15	3.413542091204864e-17	nan	nan
55826.660000000214	nan	nan	nan	nan	1.0132036501854158e-15	9.828537873528003e-18	nan	nan	1.8183201528061608e-15	3.385036266494834e-17	nan	nan
55826.71000000022	nan	nan	nan	nan	1.0088373741679432e-15	9.723557256744859e-18	nan	nan	1.8077397341837874e-15	3.35580847676892e-17	nan	nan
55826.76000000022	nan	nan	nan	nan	1.0042438916514517e-15	9.615836990231574e-18	nan	nan	1.7964768163589377e-15	3.3259285275235766e-17	nan	nan
55826.81000000022	nan	nan	nan	nan	9.994373284650755e-16	9.505431142802786e-18	nan	nan	1.7845819134250762e-15	3.295467950921652e-17	nan	nan
55826.860000000226	nan	nan	nan	nan	9.944307644220284e-16	9.392316444784069e-18	nan	nan	1.7721038997363438e-15	3.264499522110917e-17	nan	nan
55826.91000000023	nan	nan	nan	nan	9.892363549384704e-16	9.276380278070511e-18	nan	nan	1.7590899622516535e-15	3.233096806296799e-17	nan	nan
55826.96000000023	nan	nan	nan	nan	9.83865457029811e-16	9.157411044820643e-18	nan	nan	1.7455855625980979e-15	3.2013337528243394e-17	nan	nan
55827.010000000235	nan	nan	nan	nan	9.783287603983393e-16	9.035092258731247e-18	nan	nan	1.7316344086943061e-15	3.1692843500321607e-17	nan	nan
55827.06000000024	nan	nan	nan	nan	9.72636424435554e-16	8.909002219427765e-18	nan	nan	1.7172784357503492e-15	3.1370223523355795e-17	nan	nan
55827.11000000024	nan	nan	nan	nan	9.66798222067821e-16	8.778621749965788e-18	nan	nan	1.7025577964381175e-15	3.104621088745671e-17	nan	nan
55827.16000000024	nan	nan	nan	nan	9.608236914325367e-16	8.643353197388718e-18	nan	nan	1.6875108599980303e-15	3.072153359646087e-17	nan	nan
55827.21000000025	nan	nan	nan	nan	9.547222964026523e-16	8.502554699828352e-18	nan	nan	1.672174220021632e-15	3.039691426101522e-17	nan	nan
55827.26000000025	nan	nan	nan	nan	9.485035969520555e-16	8.355594571473276e-18	nan	nan	1.656582710614574e-15	3.0073070930793446e-17	nan	nan
55827.31000000025	nan	nan	nan	nan	9.421774302370254e-16	8.20193146216788e-18	nan	nan	1.6407694306126297e-15	2.9750718843909586e-17	nan	nan
55827.360000000255	nan	nan	nan	nan	9.357541030873004e-16	8.041226527344489e-18	nan	nan	1.6247657754842998e-15	2.9430573029553057e-17	nan	nan
55827.41000000026	nan	nan	nan	nan	9.292445962639915e-16	7.873493828597691e-18	nan	nan	1.6086014765160347e-15	2.911335164645772e-17	nan	nan
55827.46000000026	nan	nan	nan	nan	9.226607803850114e-16	7.699293865226664e-18	nan	nan	1.5923046468329534e-15	2.879977987422084e-17	nan	nan
55827.510000000264	nan	nan	nan	nan	9.16015642739689e-16	7.519971211761068e-18	nan	nan	1.5759018337641327e-15	2.8490594093755735e-17	nan	nan
55827.56000000027	nan	nan	nan	nan	9.09323523332038e-16	7.337928463138344e-18	nan	nan	1.5594180770128275e-15	2.818654599286461e-17	nan	nan
55827.61000000027	nan	nan	nan	nan	9.02600357306079e-16	7.156911559510364e-18	nan	nan	1.5428769720476767e-15	2.7888406114059735e-17	nan	nan
55827.66000000027	nan	nan	nan	nan	8.958639193964116e-16	6.982251421707091e-18	nan	nan	1.5263007380728474e-15	2.7596966219089458e-17	nan	nan
55827.710000000276	nan	nan	nan	nan	8.891340641314099e-16	6.820959574201037e-18	nan	nan	1.509710289889653e-15	2.7313039680152588e-17	nan	nan
55827.76000000028	nan	nan	nan	nan	8.824329531380253e-16	6.6815126794437604e-18	nan	nan	1.4931253129017532e-15	2.7037458922087513e-17	nan	nan
55827.81000000028	nan	nan	nan	nan	8.757851905460453e-16	6.573077398949664e-18	nan	nan	1.4765643404631433e-15	2.6771068736459862e-17	nan	nan
55827.860000000284	nan	nan	nan	nan	8.692037569952067e-16	6.499329107081841e-18	nan	nan	1.4600448327112341e-15	2.6514714076405276e-17	nan	nan
55827.91000000029	nan	nan	nan	nan	8.626725115060185e-16	6.451882306175399e-18	nan	nan	1.443583248964104e-15	2.6269219777249267e-17	nan	nan
55827.96000000029	nan	nan	nan	nan	8.561738019315008e-16	6.420858642967607e-18	nan	nan	1.427193648936793e-15	2.6035162837197234e-17	nan	nan
55828.01000000029	nan	nan	nan	nan	8.496927442642378e-16	6.3976419844761434e-18	nan	nan	1.4108859420296069e-15	2.5812609642038084e-17	nan	nan
55828.060000000296	nan	nan	nan	nan	8.432171312257443e-16	6.375513724849184e-18	nan	nan	1.3946688261522284e-15	2.5601521338983143e-17	nan	nan
55828.1100000003	nan	nan	nan	nan	8.367372957192991e-16	6.349783655897346e-18	nan	nan	1.37855030725032e-15	2.5401831874009388e-17	nan	nan
55828.1600000003	nan	nan	nan	nan	8.302459384801207e-16	6.317613384100071e-18	nan	nan	1.3625377671853724e-15	2.5213456518760477e-17	nan	nan
55828.210000000305	nan	nan	nan	nan	8.237379288226784e-16	6.277689611320584e-18	nan	nan	1.3466380277032844e-15	2.5036292087008628e-17	nan	nan
55828.26000000031	nan	nan	nan	nan	8.172100868494846e-16	6.229852758015538e-18	nan	nan	1.3308574100168893e-15	2.4870209295101887e-17	nan	nan
55828.31000000031	nan	nan	nan	nan	8.106609548452934e-16	6.174742551467384e-18	nan	nan	1.3152017895405457e-15	2.4715037745636468e-17	nan	nan
55828.36000000031	nan	nan	nan	nan	8.04090564871956e-16	6.113491630402464e-18	nan	nan	1.2996766453439923e-15	2.457054404387871e-17	nan	nan
55828.410000000316	nan	nan	nan	nan	7.975002087975291e-16	6.047479233772481e-18	nan	nan	1.284287103916637e-15	2.4436403604538082e-17	nan	nan
55828.46000000032	nan	nan	nan	nan	7.908922161887624e-16	5.978146139105431e-18	nan	nan	1.26903797686151e-15	2.4312166782072003e-17	nan	nan
55828.51000000032	nan	nan	nan	nan	7.842697446586352e-16	5.906866126248585e-18	nan	nan	1.2539337921741172e-15	2.4197220068876847e-17	nan	nan
55828.560000000325	nan	nan	nan	nan	7.77636586430046e-16	5.834866269338864e-18	nan	nan	1.2389788187941369e-15	2.4090743257039636e-17	nan	nan
55828.61000000033	nan	nan	nan	nan	7.709969940584876e-16	5.7631870616725274e-18	nan	nan	1.2241770841573534e-15	2.3991663650164795e-17	nan	nan
55828.66000000033	nan	nan	nan	nan	7.643555274732597e-16	5.692673074412141e-18	nan	nan	1.2095323845173054e-15	2.3898608638834977e-17	nan	nan
55828.710000000334	nan	nan	nan	nan	7.577169237547808e-16	5.623985180823074e-18	nan	nan	1.1950482878516664e-15	2.3809858208678026e-17	nan	nan
55828.76000000034	nan	nan	nan	nan	7.510859903810498e-16	5.557626115887793e-18	nan	nan	1.1807281292163747e-15	2.372329922456597e-17	nan	nan
55828.81000000034	nan	nan	nan	nan	7.444675220424446e-16	5.4939721221570625e-18	nan	nan	1.1665749984613913e-15	2.3636383620944413e-17	nan	nan
55828.86000000034	nan	nan	nan	nan	7.378662405638642e-16	5.433304502342696e-18	nan	nan	1.1525917202812811e-15	2.3546092920883282e-17	nan	nan
55828.910000000345	nan	nan	nan	nan	7.312867569491683e-16	5.375835941230623e-18	nan	nan	1.1387808266273536e-15	2.3448911809690843e-17	nan	nan
55828.96000000035	nan	nan	nan	nan	7.247335541107266e-16	5.321727414970017e-18	nan	nan	1.1251445215790445e-15	2.334081381819247e-17	nan	nan
55829.01000000035	nan	nan	nan	nan	7.18210988404126e-16	5.271092420388709e-18	nan	nan	1.1116846388313532e-15	2.321726255620786e-17	nan	nan
55829.060000000354	nan	nan	nan	nan	7.117233076922823e-16	5.223986295722843e-18	nan	nan	1.0984025920320418e-15	2.3073232432808783e-17	nan	nan
55829.11000000036	nan	nan	nan	nan	7.052746832407039e-16	5.180379877607036e-18	nan	nan	1.0852993182787692e-15	2.2903253485636862e-17	nan	nan
55829.16000000036	nan	nan	nan	nan	6.988692523285484e-16	5.1401190759241136e-18	nan	nan	1.0723752151601332e-15	2.2701485934001154e-17	nan	nan
55829.21000000036	nan	nan	nan	nan	6.925111679806947e-16	5.102875659535938e-18	nan	nan	1.0596300718142002e-15	2.24618315389346e-17	nan	nan
55829.260000000366	nan	nan	nan	nan	6.862046517012441e-16	5.068100155870241e-18	nan	nan	1.0470629945636739e-15	2.2178091037654676e-17	nan	nan
55829.31000000037	nan	nan	nan	nan	6.799540444804173e-16	5.034995733023529e-18	nan	nan	1.0346723277768581e-15	2.1844180171466548e-17	nan	nan
55829.36000000037	nan	nan	nan	nan	6.737638506532756e-16	5.002542597865947e-18	nan	nan	1.0224555707001885e-15	2.145442164959231e-17	nan	nan
55829.410000000375	nan	nan	nan	nan	6.676387684077125e-16	4.969616000770469e-18	nan	nan	1.0104092911030718e-15	2.1003937510486312e-17	nan	nan
55829.46000000038	nan	nan	nan	nan	6.6158369988718995e-16	4.935257325866955e-18	nan	nan	9.985290366764346e-16	2.048917674153193e-17	nan	nan
55829.51000000038	nan	nan	nan	nan	6.556037329164015e-16	4.8991759962281165e-18	nan	nan	9.868092452267814e-16	1.9908627899205252e-17	nan	nan
55829.56000000038	nan	nan	nan	nan	6.497040854663424e-16	4.862575872719278e-18	nan	nan	9.752431548061752e-16	1.926378685383356e-17	nan	nan
55829.610000000386	nan	nan	nan	nan	6.43890003103673e-16	4.829399880716792e-18	nan	nan	9.638227150248772e-16	1.8560475097428803e-17	nan	nan
55829.66000000039	nan	nan	nan	nan	6.381665989488165e-16	4.808034450030672e-18	nan	nan	9.52538500884589e-16	1.7810628052727162e-17	nan	nan
55829.71000000039	nan	nan	nan	nan	6.325386251857888e-16	4.813333350332233e-18	nan	nan	9.41379630576131e-16	1.703467317804049e-17	nan	nan
55829.760000000395	nan	nan	nan	nan	6.270101650957227e-16	4.868396071038893e-18	nan	nan	9.303336887700053e-16	1.6264533123070842e-17	nan	nan
55829.8100000004	nan	nan	nan	nan	6.215842350641523e-16	5.0048576080551995e-18	nan	nan	9.1938665702358e-16	1.5546981749896588e-17	nan	nan
55829.8600000004	nan	nan	nan	nan	6.162622872699825e-16	5.259985394875411e-18	nan	nan	9.08522853005914e-16	1.4946318828108704e-17	nan	nan
55829.910000000404	nan	nan	nan	nan	6.11043606013171e-16	5.669793480040267e-18	nan	nan	8.97724880317012e-16	1.4543964622502273e-17	nan	nan
55829.96000000041	nan	nan	nan	nan	6.05924594148219e-16	6.2601590909277595e-18	nan	nan	8.869735907464749e-16	1.4431271006672048e-17	nan	nan
55830.01000000041	1.2249813443193927e-15	1.6511087061753927e-17	2.9691310043456593e-16	3.949164004074376e-18	6.008979650740115e-16	7.040025079611207e-18	1.5337068254858387e-15	5.654066303658183e-17	8.762481089656629e-16	1.4692935146580103e-17	nan	nan
55830.06000000041	1.2145833507737853e-15	1.600125170666002e-17	2.958287412838915e-16	3.8786900958090585e-18	5.959557001751328e-16	7.992109305349792e-18	1.5271775434440495e-15	5.528795408036673e-17	8.655362683361348e-16	1.5354307748944004e-17	nan	nan
55830.110000000415	1.2041689392146474e-15	1.5513147092324883e-17	2.9474223554425705e-16	3.810345381081344e-18	5.910956139317598e-16	9.07479623704042e-18	1.520414853332253e-15	5.416640671700106e-17	8.548483488720006e-16	1.6338801451013013e-17	nan	nan
55830.16000000042	1.193741432283915e-15	1.504683778249069e-17	2.9365390451577433e-16	3.744134951890107e-18	5.863164236052231e-16	1.0249797014188883e-17	1.5134071037952996e-15	5.3173035570934585e-17	8.441977040374727e-16	1.755121713537338e-17	nan	nan
55830.21000000042	1.1833041525974223e-15	1.4602394008072877e-17	2.9256406949450806e-16	3.680063122520106e-18	5.81616857006152e-16	1.148660158663591e-17	1.5061425986176057e-15	5.230430913283317e-17	8.33597685470575e-16	1.8905798765085498e-17	nan	nan
55830.260000000424	1.1728604227573592e-15	1.4179890926571316e-17	2.9147305177238894e-16	3.6181333317163574e-18	5.769956522762673e-16	1.276136252303734e-17	1.4986095950082298e-15	5.155620076418411e-17	8.23061645966649e-16	2.0333466644219445e-17	nan	nan
55830.31000000043	1.1624135653516784e-15	1.3779407202269642e-17	2.9038117263923724e-16	3.558348036078068e-18	5.724515576728653e-16	1.4055324337407907e-17	1.4907963018802174e-15	5.0924255083377995e-17	8.126029424615378e-16	2.1782012473294856e-17	nan	nan
55830.36000000043	1.1519669029558743e-15	1.340102280523623e-17	2.892887533818271e-16	3.500708594944855e-18	5.679833313531936e-16	1.535348842540666e-17	1.4826908781243728e-15	5.04036669520952e-17	8.022349390147041e-16	2.3213564763018253e-17	nan	nan
55830.41000000043	1.1415237581579e-15	1.3044815930795166e-17	2.881961152864322e-16	3.4452151477034505e-18	5.635897411601567e-16	1.664362416940001e-17	1.4742814308770093e-15	4.998936927983127e-17	7.919710097928966e-16	2.4601657754319455e-17	nan	nan
55830.460000000436	1.1310874535320634e-15	1.27108589481907e-17	2.871035796383036e-16	3.3918664834546534e-18	5.592695644104362e-16	1.7915569983683703e-17	1.4655560137815442e-15	4.9676125203398265e-17	7.8182454205510525e-16	2.592875516045729e-17	nan	nan
55830.51000000044	1.1206613116882668e-15	1.2399213335497267e-17	2.8601146772193085e-16	3.3406599045021237e-18	5.550215876818048e-16	1.9160744847271526e-17	1.4565026252439493e-15	4.945861994569621e-17	7.718089391395127e-16	2.7184383204372597e-17	nan	nan
55830.56000000044	1.1102486552346322e-15	1.210992358807557e-17	2.8492010082330483e-16	3.2915910844513633e-18	5.508446066038913e-16	2.0371805315237006e-17	1.4471092066814853e-15	4.9331547819497274e-17	7.61937623451466e-16	2.8363786191864115e-17	nan	nan
55830.610000000444	1.0998528068053833e-15	1.1843010123927631e-17	2.83829800228808e-16	3.2446539224378568e-18	5.467374256479705e-16	2.1542401746721103e-17	1.4373636407648808e-15	4.9289690365227434e-17	7.522240394552827e-16	2.946696749128159e-17	nan	nan
55830.66000000045	1.0894770890655923e-15	1.1598461313726233e-17	2.8274088722754255e-16	3.1998403946644487e-18	5.426988579190115e-16	2.2667002418972248e-17	1.427253749653522e-15	4.932798240119676e-17	7.426816566681887e-16	3.049799065247993e-17	nan	nan
55830.71000000045	1.0791248247117713e-15	1.137622478501271e-17	2.816536831108301e-16	3.1571404055462624e-18	5.387277249486543e-16	2.3740764637809633e-17	1.4167672932236391e-15	4.944156370472035e-17	7.333239726585743e-16	3.146443988317967e-17	nan	nan
55830.76000000045	1.0687993364884843e-15	1.1176198260864572e-17	2.8056850917325574e-16	3.1165416397233807e-18	5.34822856488759e-16	2.4759438920420792e-17	1.4058919672890887e-15	4.9625815018131253e-17	7.24164516047454e-16	3.237696086399402e-17	nan	nan
55830.810000000456	1.0585039471752948e-15	1.0998220229358216e-17	2.7948568671332115e-16	3.0780294170966253e-18	5.309830903065169e-16	2.5719296904518663e-17	1.3946154018147262e-15	4.9876377988291454e-17	7.152168495151028e-16	3.324881932154957e-17	nan	nan
55830.86000000046	1.0482419796081232e-15	1.084206081323818e-17	2.7840553703431464e-16	3.04158655349177e-18	5.272072719799175e-16	2.6617076647197735e-17	1.3829251591220846e-15	5.018915943335842e-17	7.064945728125861e-16	3.409542742278122e-17	nan	nan
55830.91000000046	1.0380167596957889e-15	1.0707412311371133e-17	2.7732838181345495e-16	3.007193180378113e-18	5.234942546947165e-16	2.7449940971202954e-17	1.3708087724871642e-15	5.0560312119232804e-17	6.980113257787873e-16	3.493379944909595e-17	nan	nan
55830.960000000465	1.0278322535975759e-15	1.0593691623059766e-17	2.76254620925169e-16	2.9748165566605013e-18	5.198428990418829e-16	2.821544585552267e-17	1.3582622688349294e-15	5.09843518351484e-17	6.897807913631074e-16	3.5781910751959613e-17	nan	nan
55831.01000000047	1.0176938527986184e-15	1.0499803651814596e-17	2.751848281270414e-16	2.9443985682028715e-18	5.162520728163143e-16	2.891151678146621e-17	1.3453007128142136e-15	5.145187311070296e-17	6.818166986551363e-16	3.6657949277305986e-17	2.6773476487451234e-16	7.066183036656763e-18
55831.06000000047	1.0076064953646853e-15	1.0424299111619801e-17	2.741194783725684e-16	2.915867816022581e-18	5.127206508152897e-16	2.95364315824691e-17	1.3319416852419513e-15	5.1953251832002956e-17	6.741313165177718e-16	3.7577232030105915e-17	2.665741737258613e-16	6.934934021921805e-18
55831.11000000047	9.97573676441864e-16	1.0365178175520723e-17	2.7305877349556245e-16	2.8891335681831533e-18	5.0924751463997e-16	3.0088808800206015e-17	1.3182027001977928e-15	5.2479297838312917e-17	6.667236511466103e-16	3.8534020742522326e-17	2.6540202615847726e-16	6.814129227907483e-18
55831.16000000048	9.875986960228047e-16	1.0320356042508664e-17	2.720028783832028e-16	2.864101018768085e-18	5.058315524951341e-16	3.0567600883710364e-17	1.304101207726326e-15	5.3021315681930625e-17	6.595858292127536e-16	3.9511263217913844e-17	2.642190658398626e-16	6.703235215087879e-18
55831.21000000048	9.776848541938862e-16	1.0287764076045445e-17	2.709519579316766e-16	2.8406741238697194e-18	5.024716589912515e-16	3.0972091822525725e-17	1.2896545965319161e-15	5.3571141939343574e-17	6.527099679759331e-16	4.049153461927496e-17	2.6302603607890044e-16	6.60168088132451e-18
55831.26000000048	9.678354511482687e-16	1.0265379443123019e-17	2.699061770485068e-16	2.8187561293976477e-18	4.991667349467403e-16	3.1301899007124826e-17	1.2748801966663431e-15	5.4121163224732244e-17	6.460882332582815e-16	4.1457714335465365e-17	2.6182367984707055e-16	6.5088633447758576e-18
