MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err
55823.01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.060000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.11000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.16000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.210000000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.26000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.31000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.36000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.410000000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.46000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.51000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.560000000034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.61000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.66000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.71000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.760000000046	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.81000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.86000000005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.910000000054	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55823.96000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55824.01000000006	nan	nan	nan	nan	1.592072628978174e-17	1.0061232740989492e-18	nan	nan	3.756057217153644e-17	5.044517098667012e-18	nan	nan
55824.06000000006	nan	nan	nan	nan	6.955674045888404e-17	1.5935860658849125e-18	nan	nan	1.1512897025634848e-16	5.729479420406809e-18	nan	nan
55824.110000000066	nan	nan	nan	nan	1.234592341227713e-16	2.6179542870503526e-18	nan	nan	1.9361149660884317e-16	7.79775997375238e-18	nan	nan
55824.16000000007	nan	nan	nan	nan	1.7700718944617552e-16	3.577158297377521e-18	nan	nan	2.7244751365086037e-16	1.0225205941931552e-17	nan	nan
55824.21000000007	nan	nan	nan	nan	2.297525640315941e-16	4.429468556401644e-18	nan	nan	3.511764710343602e-16	1.2652478179429258e-17	nan	nan
55824.260000000075	nan	nan	nan	nan	2.8136049392315675e-16	5.1812893231578816e-18	nan	nan	4.2940981803718375e-16	1.497016413132053e-17	nan	nan
55824.31000000008	nan	nan	nan	nan	3.315773782644559e-16	5.84522857269755e-18	nan	nan	5.068146984736153e-16	1.7143882812154328e-17	nan	nan
55824.36000000008	nan	nan	nan	nan	3.802111187887936e-16	6.433623688289053e-18	nan	nan	5.831034011828576e-16	1.916495587868326e-17	nan	nan
55824.41000000008	nan	nan	nan	nan	4.2711772012808827e-16	6.957280369135783e-18	nan	nan	6.580259613850704e-16	2.103476186931816e-17	nan	nan
55824.46000000009	nan	nan	nan	nan	4.721916383932541e-16	7.425331646418206e-18	nan	nan	7.313646699721391e-16	2.2758965252252197e-17	nan	nan
55824.51000000009	nan	nan	nan	nan	5.153585249661263e-16	7.845380362435726e-18	nan	nan	8.029298259913616e-16	2.4345110148602683e-17	nan	nan
55824.56000000009	nan	nan	nan	nan	5.565695939141676e-16	8.223708002470857e-18	nan	nan	8.725563448697462e-16	2.5801516692536716e-17	nan	nan
55824.610000000095	nan	nan	nan	nan	5.957971407231482e-16	8.565485566930823e-18	nan	nan	9.40100981268711e-16	2.7136733660727978e-17	nan	nan
55824.6600000001	nan	nan	nan	nan	6.330309070868744e-16	8.874966610272488e-18	nan	nan	1.0054400086843903e-15	2.835924570254914e-17	nan	nan
55824.7100000001	nan	nan	nan	nan	6.682750857660504e-16	9.155656902376468e-18	nan	nan	1.0684672773572618e-15	2.94772991329892e-17	nan	nan
55824.760000000104	nan	nan	nan	nan	7.015458215386433e-16	9.410460035186052e-18	nan	nan	1.1290986926690282e-15	3.049827718054915e-17	nan	nan
55824.81000000011	nan	nan	nan	nan	7.32869104659282e-16	9.641799921921474e-18	nan	nan	1.1872783765694815e-15	3.1428016117238925e-17	nan	nan
55824.86000000011	nan	nan	nan	nan	7.622789804459642e-16	9.851721576204972e-18	nan	nan	1.2429653953674871e-15	3.227182053172668e-17	nan	nan
55824.91000000011	nan	nan	nan	nan	7.898160175024849e-16	1.0041971536082216e-17	nan	nan	1.2961307323728677e-15	3.303465498508415e-17	nan	nan
55824.960000000116	nan	nan	nan	nan	8.155259905180347e-16	1.021405908462421e-17	nan	nan	1.3467562544745921e-15	3.3721177009632666e-17	nan	nan
55825.01000000012	nan	nan	nan	nan	8.394587543050214e-16	1.0369298543131236e-17	nan	nan	1.3948337799366968e-15	3.433576727224545e-17	nan	nan
55825.06000000012	nan	nan	nan	nan	8.616695685444491e-16	1.0508713514276523e-17	nan	nan	1.4403642321613627e-15	3.488255743091805e-17	nan	nan
55825.110000000124	nan	nan	nan	nan	8.82221101724541e-16	1.063291489972234e-17	nan	nan	1.483356867172896e-15	3.536545607943912e-17	nan	nan
55825.16000000013	nan	nan	nan	nan	9.011782199850112e-16	1.0742385111612503e-17	nan	nan	1.5238285648861857e-15	3.5788173070259506e-17	nan	nan
55825.21000000013	nan	nan	nan	nan	9.18606648739125e-16	1.0837557220882127e-17	nan	nan	1.5618031760172863e-15	3.615424241564263e-17	nan	nan
55825.26000000013	nan	nan	nan	nan	9.345724196633645e-16	1.0918846161461141e-17	nan	nan	1.597310917907526e-15	3.6467043888047213e-17	nan	nan
55825.310000000136	nan	nan	nan	nan	9.491413920018125e-16	1.0986671925088494e-17	nan	nan	1.630387813650749e-15	3.6729823365804976e-17	nan	nan
55825.36000000014	nan	nan	nan	nan	9.62378839023989e-16	1.1041477110163442e-17	nan	nan	1.661075169822494e-15	3.6945711895864376e-17	nan	nan
55825.41000000014	nan	nan	nan	nan	9.74349091874625e-16	1.1083740602052894e-17	nan	nan	1.6894190888324244e-15	3.7117743369273916e-17	nan	nan
