spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_z_fitflux	sdss_z_fitfluxerr	sdss_z_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-10-14_00-00-00_HCT-2m_HFOSC_None.dat	55848.0	8.089025004299405e-16	1.4908154285094282e-17	True	3.4763485734030976e-16	5.067403176197093e-18	True	6.756569951507472e-16	2.453995427580687e-17	True	4.953966284856918e-16	1.741555569301389e-16	True	8.1349979520289625e-16	3.1263200202671196e-17	True	2.9530766842104854e-16	6.8282507580445376e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-10-17_02-24-00_WHT-4.2m_ACAM_None.dat	55851.1	6.143957852884396e-16	9.763647640192656e-18	True	3.4058433801309506e-16	5.162989923067917e-18	True	6.013473411603951e-16	1.0570608953188455e-17	True	3.350293622972677e-16	3.225967759247451e-17	True	6.957098052712432e-16	1.544148999820555e-17	True	2.9402907502428117e-16	7.638205256791884e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-10-24_00-00-00_Ekar_AFOSC_None.dat	55858.0	2.906940731437425e-16	7.286177395474727e-18	True	2.7637348451786346e-16	4.373106021044777e-18	True	4.669345750809465e-16	1.8776813855069932e-17	True	1.323260280603372e-16	2.0656289279721695e-16	True	4.2970703127512357e-16	2.1236681387163896e-17	True	2.486984844275405e-16	7.5960165214047e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/SN_2011fu_2011-10-25_09-25-55_Lick-3m_KAST_UCB-SNDB_0.flm	55859.39	2.758045434734708e-16	7.491980129014907e-18	True	2.587929582184436e-16	3.957177882141332e-18	True	4.462330620354874e-16	2.046063164644665e-17	True	1.0965650002199531e-16	1.573927581104275e-16	True	4.0872231598595607e-16	2.6274574687515684e-17	True	2.374454912103716e-16	6.128400225617438e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-10-29_00-00-00_HCT-2m_HFOSC_None.dat	55863.0	2.1094938493838175e-16	5.2750960376266385e-18	True	2.247050287874079e-16	3.80759909863377e-18	True	3.7269813546890993e-16	1.5733147815950698e-17	True	7.178297741439916e-17	5.800379680652092e-17	True	3.526525664607296e-16	9.405372121116935e-18	True	2.0733985230067882e-16	3.8744782674657386e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-10-30_02-24-00_Ekar_AFOSC_None.dat	55864.1	2.1627148378492634e-16	7.515716993592285e-18	True	2.173189798484371e-16	4.116839673272022e-18	True	3.59688402984996e-16	1.069261868932298e-17	True	6.600005585532614e-17	8.876978982290013e-17	True	3.371470997178097e-16	1.600337836283393e-17	True	2.0346408292076042e-16	4.565592563554891e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-10-31_00-00-00_HCT-2m_HFOSC_None.dat	55865.0	2.1698243060219352e-16	9.218966568080929e-18	True	2.1197003675157878e-16	4.5762701839794654e-18	True	3.5508885110497007e-16	2.8706356416319703e-17	True	6.270796282142703e-17	8.64633659460556e-17	True	3.1957637551851706e-16	4.888260524431706e-17	True	2.0357026653590893e-16	4.454985742485053e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-11-01_21-36-00_CA-2.2m_CAFOS_None.dat	55866.9	2.1022548155025263e-16	9.304226200926451e-18	True	2.0254078456641275e-16	5.490602595106751e-18	True	3.4831238446020935e-16	2.2224105175532362e-17	True	5.902573476261789e-17	5.432497310161489e-18	True	2.977950608726133e-16	3.502832637544077e-17	True	2.0409110478302147e-16	5.745018295899631e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-11-07_00-00-00_WHT-4.2m_ISIS_None.dat	55872.0	1.8697815623647702e-16	5.69701524976125e-17	True	1.823654201624152e-16	4.277654785016605e-18	True	2.6157265210118914e-16	4.196313658091214e-17	True	6.169071018510476e-17	3.100722973910687e-16	True	2.947836818920224e-16	5.903856813919203e-17	True	1.7917638280337034e-16	7.950779585513378e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-11-15_21-36-00_CA-2.2m_CAFOS_None.dat	55880.9	1.670537651429753e-16	5.558502390773702e-18	True	1.4543574206498584e-16	2.1524803945047154e-18	True	2.2022095976055168e-16	8.479770555568183e-18	True	7.236190372087571e-17	4.97545688487042e-16	True	2.1717071110463175e-16	1.8506034739263416e-17	True	1.5281657490657255e-16	3.695005243006445e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-11-20_21-36-00_Ekar_AFOSC_None.dat	55885.9	1.328077315303491e-16	4.713555715304809e-18	True	1.4432324150538228e-16	2.0430757978705197e-18	True	2.0322045079779682e-16	4.718070978007199e-18	True	7.559126142278857e-17	5.185385864946272e-16	True	1.949486187213508e-16	2.1526278439330355e-17	True	1.4561666325347701e-16	1.7741919702099482e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/SN_2011fu_2011-11-26_08-54-14_Lick-3m_KAST_UCB-SNDB_0.flm	55891.37	1.2027327727357383e-16	1.1115462652475437e-17	True	1.255387899751531e-16	3.3646231487880196e-18	True	1.8644184918256349e-16	5.023488632784273e-18	True	7.700867472052901e-17	5.240806933983537e-16	True	1.8618663168565397e-16	3.9301353463462363e-17	True	1.2901568194159106e-16	1.6785935005311218e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-11-29_00-00-00_NOT_ALFOSC_None.dat	55894.0	1.227496881458757e-16	9.737058052415063e-18	True	1.1881260321373482e-16	4.550995889009737e-18	True	1.8042234491417307e-16	1.0881787707189054e-17	True	7.703621295998155e-17	5.239598322019451e-16	True	1.7834118715383138e-16	2.639062879375619e-17	True	1.188598388179384e-16	1.2549301897181824e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/SN_2011fu_2011-12-19_07-09-07_Lick-3m_KAST_UCB-SNDB_0.flm	55914.3	1.2046899055267375e-16	2.4809350424626535e-17	True	8.62284481089375e-17	1.608545664862707e-18	True	1.331201453748988e-16	4.1344392658381135e-18	True	6.144647844470877e-17	2.255430782014938e-16	True	1.3289109044302623e-16	1.3492652496695619e-17	True	8.674635779978844e-17	5.137590535489021e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2011-12-21_21-36-00_NOT_ALFOSC_None.dat	55916.9	1.116045684098994e-16	4.14291699047735e-18	True	8.251183095827738e-17	1.513708028493948e-18	True	1.2494871490721014e-16	1.0225680948097505e-17	True	5.952463121874524e-17	3.586152937839245e-17	True	1.2925955446875896e-16	1.9114628429361953e-17	True	8.190124862724258e-17	6.417336621392863e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2012-01-01_21-36-00_CA-2.2m_CAFOS_None.dat	55927.9	1.0861774348153523e-16	2.5165951148551818e-18	True	6.931644421156832e-17	1.3897279650839272e-18	True	1.0886973213887085e-16	3.530503517492935e-18	True	7.0847809347915e-17	4.699837997932575e-16	False	1.0947480686087469e-16	1.608096816281662e-17	True	6.50101256113363e-17	5.760068579323185e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/2011fu_2012-02-22_19-12-00_Ekar_AFOSC_None.dat	55979.8	4.683737147915118e-17	2.4688167712841396e-18	True	3.129732045393972e-17	1.1942940891391666e-18	True	5.036246219688286e-17	2.718198110531366e-17	True	8.020816620345576e-17	5.269391324027951e-16	False	4.920268767618414e-17	3.021113218342081e-17	True	2.981329290098789e-17	1.2870657225616684e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011fu/SN_2011fu_2012-02-23_03-17-16_Lick-3m_KAST_UCB-SNDB_0.flm	55980.14	4.651973867738324e-17	3.116952772128727e-18	True	3.111580811640685e-17	1.1373023656608989e-18	True	4.995913896082622e-17	2.3907857381327793e-17	True	8.020842177749159e-17	5.269391338927457e-16	False	4.8643260885276494e-17	2.1436746697720984e-17	True	2.9576540525612455e-17	9.507669623350182e-18	True
