#wls	flux	flux_err
3999.9500	4.8435e-16	2.0185e-16
4001.4200	4.8943e-16	2.0267e-16
4002.8900	4.9150e-16	2.0066e-16
4004.3600	4.9051e-16	1.9952e-16
4005.8200	4.9001e-16	2.0006e-16
4007.2900	4.9000e-16	2.0014e-16
4008.7600	4.8977e-16	1.9989e-16
4010.2300	4.9112e-16	1.9822e-16
4011.6900	4.9497e-16	1.9253e-16
4013.1600	4.9959e-16	1.8474e-16
4014.6300	5.0511e-16	1.6982e-16
4016.0900	5.1149e-16	1.5266e-16
4017.5600	5.1724e-16	1.3736e-16
4019.0300	5.2250e-16	1.2407e-16
4020.5000	5.2892e-16	1.2015e-16
4021.9600	5.3698e-16	1.1965e-16
4023.4300	5.4610e-16	1.1956e-16
4024.9000	5.5484e-16	1.1957e-16
4026.3700	5.6209e-16	1.1630e-16
4027.8300	5.6729e-16	1.1664e-16
4029.3000	5.7044e-16	1.1651e-16
4030.7700	5.7185e-16	1.1685e-16
4032.2400	5.7313e-16	1.1702e-16
4033.7000	5.7437e-16	1.1719e-16
4035.1700	5.7507e-16	1.1474e-16
4036.6400	5.7496e-16	1.0241e-16
4038.1000	5.7302e-16	9.1374e-17
4039.5700	5.6891e-16	8.2403e-17
4041.0400	5.6480e-16	7.0502e-17
4042.5100	5.6168e-16	6.0575e-17
4043.9700	5.5880e-16	5.6435e-17
4045.4400	5.5742e-16	5.5428e-17
4046.9100	5.5698e-16	5.8150e-17
4048.3800	5.5607e-16	6.0670e-17
4049.8400	5.5375e-16	6.1239e-17
4051.3100	5.5116e-16	6.0554e-17
4052.7800	5.4958e-16	6.3004e-17
4054.2500	5.4900e-16	6.3389e-17
4055.7100	5.4862e-16	6.1717e-17
4057.1800	5.4825e-16	6.0093e-17
4058.6500	5.4798e-16	6.0174e-17
4060.1100	5.4506e-16	6.1289e-17
4061.5800	5.4048e-16	6.1974e-17
4063.0500	5.3728e-16	5.9080e-17
4064.5200	5.3520e-16	5.7071e-17
4065.9800	5.3264e-16	5.6097e-17
4067.4500	5.3057e-16	5.7512e-17
4068.9200	5.2990e-16	6.0489e-17
4070.3900	5.2847e-16	6.0460e-17
4071.8500	5.2535e-16	5.9013e-17
4073.3200	5.2111e-16	5.8757e-17
4074.7900	5.1724e-16	6.7903e-17
4076.2600	5.1336e-16	8.0371e-17
4077.7200	5.0851e-16	8.7902e-17
4079.1900	5.0396e-16	9.0025e-17
4080.6600	5.0124e-16	9.0034e-17
4082.1200	4.9869e-16	9.0056e-17
4083.5900	4.9557e-16	9.1248e-17
4085.0600	4.9383e-16	9.4673e-17
4086.5300	4.9396e-16	9.5530e-17
4087.9900	4.9591e-16	9.5439e-17
4089.4600	4.9988e-16	9.5812e-17
4090.9300	5.0464e-16	9.5293e-17
4092.4000	5.1033e-16	9.5337e-17
4093.8600	5.1682e-16	9.5346e-17
4095.3300	5.2191e-16	9.5130e-17
4096.8000	5.2547e-16	9.3975e-17
4098.2700	5.2904e-16	9.3851e-17
4099.7300	5.3110e-16	9.4253e-17
4101.2000	5.3239e-16	9.2632e-17
4102.6700	5.3597e-16	8.9543e-17
4104.1300	5.4168e-16	8.8404e-17
4105.6000	5.4722e-16	8.8340e-17
4107.0700	5.5299e-16	8.8002e-17
4108.5400	5.5861e-16	8.8448e-17
4110.0000	5.6270e-16	9.0048e-17
4111.4700	5.6484e-16	9.1972e-17
4112.9400	5.6642e-16	9.3464e-17
4114.4100	5.6753e-16	9.4022e-17
4115.8700	5.6780e-16	9.3938e-17
4117.3400	5.6674e-16	9.2245e-17
4118.8100	5.6433e-16	9.2038e-17
4120.2800	5.6171e-16	9.4241e-17
4121.7400	5.6025e-16	9.5307e-17
4123.2100	5.5875e-16	9.6817e-17
4124.6800	5.5801e-16	9.3615e-17
4126.1400	5.5975e-16	8.5192e-17
4127.6100	5.6200e-16	7.8504e-17
4129.0800	5.6418e-16	7.6148e-17
4130.5500	5.6729e-16	7.6247e-17
4132.0100	5.7094e-16	7.8618e-17
4133.4800	5.7356e-16	8.3274e-17
4134.9500	5.7481e-16	8.4391e-17
4136.4200	5.7481e-16	8.3557e-17
4137.8800	5.7321e-16	8.3146e-17
4139.3500	5.7027e-16	8.1328e-17
4140.8200	5.6671e-16	8.0278e-17
4142.2900	5.6279e-16	8.0234e-17
