MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55829.81000000008	nan	nan	nan	nan	nan	nan	2.233182678998837e-17	8.780536859773873e-19	nan	nan	2.7365600804390786e-17	4.898446260493078e-18	2.757998334727685e-18	3.2955776685018078e-18	8.345955626905257e-18	4.1631039537856256e-18	5.079383089715314e-18	3.829358418339602e-18	2.2704368357856995e-17	4.370526958233857e-19
55829.86000000008	nan	nan	nan	nan	nan	nan	2.6752680374166044e-17	1.0085290199835756e-18	nan	nan	3.2721142178051883e-17	5.6195199403612114e-18	3.3031030591343584e-18	3.779097189598956e-18	9.997216883814603e-18	4.782965023385151e-18	6.08505717850204e-18	4.3968087603942535e-18	2.7198472127224085e-17	5.015623805109844e-19
55829.91000000008	nan	nan	nan	nan	nan	nan	3.130659855617068e-17	1.1372442811018453e-18	nan	nan	3.825608441961303e-17	6.3399923921638274e-18	3.863487822957964e-18	4.256031087650131e-18	1.1699110223601489e-17	5.394981142273836e-18	7.120445804600413e-18	4.956324046663649e-18	3.182244403681975e-17	5.651650117334352e-19
55829.96000000009	nan	nan	nan	nan	nan	nan	3.597725733112279e-17	1.2643788160626238e-18	nan	nan	4.3950539988027383e-17	7.05721205090947e-18	4.437505854431426e-18	4.727312251570582e-18	1.3445381976453385e-17	5.999627111268216e-18	8.181952021803422e-18	5.508955067206338e-18	3.6561040310265595e-17	6.279965686992714e-19
55830.01000000009	nan	nan	nan	nan	nan	nan	4.07522186710281e-17	1.390124452955766e-18	nan	nan	4.9787965315978803e-17	7.76975081590894e-18	5.023916676784801e-18	5.193602543924448e-18	1.5231217743607704e-17	6.597665267786201e-18	9.266861294783428e-18	6.0556077138141815e-18	4.140284241631457e-17	6.901585015478937e-19
55830.06000000009	nan	nan	nan	nan	nan	nan	4.562180332182891e-17	1.5146443802256905e-18	nan	nan	5.575457568272864e-17	8.476982887534729e-18	5.6217422930616316e-18	5.655415503633188e-18	1.7052847605121952e-17	7.189831856382421e-18	1.0373070931364984e-17	6.596988072922831e-18	4.633900927517423e-17	7.517262007712857e-19
55830.110000000095	nan	nan	nan	nan	nan	nan	5.0578312834258204e-17	1.638069171428045e-18	nan	nan	6.183883864779985e-17	9.178760329795088e-18	6.230182133564875e-18	6.113171172262894e-18	1.890726541125784e-17	7.776751201330527e-18	1.1498909071321779e-17	7.133642099714619e-18	5.136247469856439e-17	8.127578273113251e-19
55830.1600000001	nan	nan	nan	nan	nan	nan	5.561549114522165e-17	1.7605027148798357e-18	nan	nan	6.803105424814134e-17	9.875198062930583e-18	6.848561337888761e-18	6.567223719551309e-18	2.0792029506403343e-17	8.358933271064676e-18	1.2643012981356686e-17	7.666000887124542e-18	5.646742789826182e-17	8.73300214814592e-19
55830.2100000001	nan	nan	nan	nan	nan	nan	6.072814925089653e-17	1.8820290885185388e-18	nan	nan	7.432301391783628e-17	1.0566541117534363e-17	7.476298252802373e-18	7.017874941861481e-18	2.2705120682364394e-17	8.936792829659829e-18	1.3804246207908553e-17	8.194417091052418e-18	6.164897283141056e-17	9.333926730790576e-19
55830.260000000104	nan	nan	nan	nan	nan	nan	6.591190095411102e-17	2.002717998250609e-18	nan	nan	8.07077255648054e-17	1.1253087298542377e-17	8.112883339185553e-18	7.465385042919389e-18	2.4644840096590846e-17	9.510672129913398e-18	1.498164156385775e-17	8.719186992754099e-18	6.690289490346334e-17	9.930687734067643e-19
