MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
57651.25000000007	2.6449610710707293e-17	3.045750666161727e-18	nan	nan	nan	nan	2.0190786319265875e-17	2.827971586999955e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.300000000076	3.286917406356591e-17	3.598616212738212e-18	nan	nan	nan	nan	2.5079722330820942e-17	3.2976827805079804e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.35000000008	3.938789031650085e-17	4.071835862720204e-18	nan	nan	nan	nan	3.004884764200625e-17	3.675644009594059e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.40000000008	4.6018875295628625e-17	4.467890188597828e-18	nan	nan	nan	nan	3.511061035521499e-17	3.963937258501766e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.450000000084	5.2775246508398406e-17	4.789738334194167e-18	nan	nan	nan	nan	4.0277459256709087e-17	4.164996215951279e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.50000000009	5.967012334090161e-17	5.0409036472578035e-18	nan	nan	nan	nan	4.556184390508987e-17	4.281664929441878e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.55000000009	6.671662725348844e-17	5.225587325689802e-18	nan	nan	nan	nan	5.097621472332671e-17	4.317283689995837e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.60000000009	7.392788197771766e-17	5.348815637788159e-18	nan	nan	nan	nan	5.653302308913938e-17	4.275818278376929e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.650000000096	8.131701371254457e-17	5.416627601725457e-18	nan	nan	nan	nan	6.224472142915087e-17	4.1620612669694585e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.7000000001	8.889715132105914e-17	5.436308700204133e-18	nan	nan	nan	nan	6.812376330857938e-17	3.981957391329879e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.7500000001	9.668142652686446e-17	5.416670044106091e-18	nan	nan	nan	nan	7.418260352390425e-17	3.743149911330595e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.800000000105	1.0468297411047628e-16	5.368356747569359e-18	nan	nan	nan	nan	8.043369819123035e-17	3.4559312496938033e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.85000000011	1.1291493210620933e-16	5.304137012208756e-18	nan	nan	nan	nan	8.688950484330853e-17	3.134940070195162e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.90000000011	1.2139044199866157e-16	5.2390675720280456e-18	nan	nan	nan	nan	9.356248251736895e-17	2.802180713152826e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57651.95000000011	1.3012264891924074e-16	5.1903547256241124e-18	nan	nan	nan	nan	1.0046509184746838e-16	2.491954827561986e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.00000000012	1.391247018430506e-16	5.176667868304958e-18	nan	nan	nan	nan	1.0760979515487259e-16	2.2564071604686003e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.05000000012	1.484097537855869e-16	5.2167020170887725e-18	nan	nan	nan	nan	1.1500905654295256e-16	2.1624805048845086e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.10000000012	1.579882433452326e-16	5.323494756595988e-18	nan	nan	nan	nan	1.2267213207653817e-16	2.2538802586324248e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.150000000125	1.678597388885271e-16	5.492228224370019e-18	nan	nan	nan	nan	1.3059544012078762e-16	2.4932402835508725e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.20000000013	1.7802109451463048e-16	5.7119083328843864e-18	nan	nan	nan	nan	1.3877219104363252e-16	2.8171415766718743e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.25000000013	1.8846916866010677e-16	5.970717678104829e-18	nan	nan	nan	nan	1.4719559707651773e-16	3.17519285101254e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.300000000134	1.9920082405342192e-16	6.2573719018382844e-18	nan	nan	nan	nan	1.55858872266183e-16	3.5346301658160066e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.35000000014	2.1021292766563228e-16	6.5619132625496436e-18	nan	nan	nan	nan	1.6475523241927597e-16	3.875371273205897e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.40000000014	2.2150235066291423e-16	6.876046494005072e-18	nan	nan	nan	nan	1.7387789505742657e-16	4.185221744385174e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.45000000014	2.3306596836015223e-16	7.193183969752621e-18	nan	nan	nan	nan	1.8322007936493974e-16	4.45689448100941e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.500000000146	2.449006601722833e-16	7.508341388306923e-18	nan	nan	nan	nan	1.9277500614025883e-16	4.686359273569355e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.55000000015	2.570033095673769e-16	7.81797546076017e-18	nan	nan	nan	nan	2.0253589774185305e-16	4.8719680915277716e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.60000000015	2.693708040190589e-16	8.119812740990937e-18	nan	nan	nan	nan	2.1249597804472533e-16	5.0140174289762515e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.650000000154	2.820000349590414e-16	8.412691021240385e-18	nan	nan	nan	nan	2.2264847238518485e-16	5.114564943632883e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.70000000016	2.9488789773026606e-16	8.696419171566378e-18	nan	nan	nan	nan	2.3298660751236316e-16	5.177402073743847e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.75000000016	3.080312915388837e-16	8.97165354417072e-18	nan	nan	nan	nan	2.4350361153882787e-16	5.208123372789159e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
