spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457653.38635_20160921_SALT_RSS_sca.txt	57652.89	3.46165872213413e-16	9.711308096210053e-18	True	2.7203850713163894e-16	9.538409035217527e-17	False	5.96461981633716e-16	1.5906855684108586e-16	False	2.7384517899988864e-16	5.195025663210349e-18	True	1.7847327295581376e-16	1.4556821409448542e-15	False	5.172793436341462e-16	5.385545302029456e-16	False	2.141803902923797e-16	7.424314596372208e-16	False	6.186702194836149e-16	2.2419291990480186e-16	False	4.750905464887944e-16	6.229295708667888e-17	False	6.23604151648028e-16	1.8871744163861207e-16	False	3.9934120602773073e-16	9.092812504379211e-17	False	2.749836517733842e-16	5.77772966141251e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457653.66083_20160921_NTT_EFOSC2_Gr11_Gr16_sca.txt	57653.16	4.250513481744879e-16	1.1188613238205564e-17	True	2.9295231352397694e-16	9.13524216206235e-17	False	6.399208088278145e-16	1.5185689227924478e-16	False	3.356348650278317e-16	5.5728775254609094e-18	True	2.3139935319470985e-16	1.4480515649064376e-15	False	5.540528787426833e-16	4.959342948632753e-16	False	2.8709388232752906e-16	6.923807454934461e-16	False	6.527078299335427e-16	2.1038691596328638e-16	False	4.735435951123772e-16	6.039559582917577e-17	False	6.33301300263256e-16	1.7995098729660855e-16	False	4.025536420770265e-16	8.718976611151384e-17	False	3.390877488846374e-16	5.416969419939128e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457653.69728_20160921_NTT_EFOSC2_Gr11_Gr16_sca.txt	57653.2	4.3731582496744025e-16	1.142424430238175e-17	True	2.9607186341808106e-16	9.075854375915124e-17	False	6.4639657021613205e-16	1.507956232998658e-16	False	3.451217607447675e-16	5.724394755057081e-18	True	2.403666264219412e-16	1.4465691117951576e-15	False	5.597164825358189e-16	4.894747600159446e-16	False	2.9814794315056205e-16	6.849812020630887e-16	False	6.578255627462135e-16	2.0835362594022952e-16	False	4.733096681919121e-16	6.011598504230417e-17	False	6.347491712976036e-16	1.786520295864719e-16	False	4.030291072342558e-16	8.663655200556625e-17	False	3.4877386972551456e-16	5.363717717542559e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457654.67491_20160922_NTT_EFOSC2_Gr11_Gr16_sca.txt	57654.17	7.770057978197933e-16	1.6158131397254555e-17	True	3.7342107187935586e-16	7.665603157018565e-17	False	8.064265543103457e-16	1.2567225419513921e-16	False	6.018847459394948e-16	8.743054376496373e-18	True	5.768245437309957e-16	1.3508875520746951e-15	False	7.160419422978464e-16	3.228358631359165e-16	False	5.871272157497672e-16	5.079998304235018e-16	False	7.880697311591169e-16	1.6034135747262464e-16	False	4.672531612567238e-16	5.3470545677641024e-17	False	6.707632672287082e-16	1.4730557073756395e-16	False	4.1451161177708097e-16	7.33309735258363e-17	False	5.992563869433066e-16	4.096122024260821e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457654.67497_20160922_NOT_ALFOSC_Gr04_sca.txt	57654.18	7.809031380264324e-16	1.6192952068818838e-17	True	3.742356900936382e-16	7.651389892945465e-17	False	8.081065786504638e-16	1.2541980663973575e-16	False	6.048051415925648e-16	8.777217430207428e-18	True	5.817151605247105e-16	1.3489063376131159e-15	False	7.178602118662672e-16	3.210358772294276e-16	False	5.903238973313043e-16	5.062116527314074e-16	False	7.894755271306869e-16	1.598626283143107e-16	False	4.671868147749092e-16	5.3403546137263314e-17	False	6.711436917979598e-16	1.4698553333921292e-16	False	4.146294144323317e-16	7.319546404464702e-17	False	6.019999541166604e-16	4.083370855425204e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457655.62997_20160924_NOT_ALFOSC_Gr04_sca.txt	57655.13	1.1793131178679646e-15	1.6853292968797647e-17	True	4.532606752575952e-16	6.336891359558352e-17	False	9.705745938205623e-16	1.0213566600814266e-16	False	9.066561752436445e-16	1.0915577432328025e-17	True	1.185401303872727e-15	9.444190037228573e-16	True	9.131702398678543e-16	1.4811011703659624e-16	True	9.157818935227074e-16	3.425719097519549e-16	True	9.291990372754055e-16	1.1669942573630601e-16	True	4.605077284423065e-16	4.721119675380656e-17	True	7.081543694161775e-16	1.1723252818136569e-16	True	4.257489468943073e-16	6.060207785629356e-17	True	8.786190038618689e-16	2.9202625377559313e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457655.63372_20160923_NTT_EFOSC2_Gr11_Gr16_sca.txt	57655.14	1.1837460451639662e-15	1.682957956707355e-17	True	4.541099302353077e-16	6.323465510272093e-17	False	9.723152294286597e-16	1.0189846911876345e-16	False	9.10077349986377e-16	1.0925709326624174e-17	True	1.1927715484518612e-15	9.369703357238898e-16	True	9.154836638941122e-16	1.463204800976694e-16	True	9.194454681020212e-16	3.409362694448669e-16	True	9.3073644994935e-16	1.1627542184689934e-16	True	4.60433395273501e-16	4.714802520763333e-17	True	7.085532181384143e-16	1.1692862646543462e-16	True	4.2586513712801564e-16	6.047330047177765e-17	True	8.817043599403305e-16	2.908662790265944e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457656.69251_20160924_NTT_EFOSC2_Gr11_sca.txt	57656.19	1.6567143254485286e-15	1.3040916290432398e-17	True	5.4534670525171445e-16	4.9717191303132165e-17	False	1.1586801106269238e-15	7.806980603626753e-17	False	1.2823311341014585e-15	1.026252793689636e-17	True	1.6142232830910399e-15	1.4111332665739088e-16	True	1.193894270031148e-15	1.952046625654421e-17	True	1.3338316544739764e-15	1.8773692285204864e-16	True	1.1003045234677479e-15	7.746168596204322e-17	True	4.521450108094289e-16	4.08020472289533e-17	True	7.515302379178307e-16	8.68776626004704e-17	True	4.3793960138184035e-16	4.7653696957580297e-17	True	1.2271380228942094e-15	1.814758008994802e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457659.02090_20160926_FTN_FLOYDS_redblu_sca.txt	57658.52	2.6866858848465534e-15	4.048961946737645e-17	True	7.629862070178618e-16	2.6048958072384493e-17	True	1.5985292848522102e-15	3.62753505785256e-17	True	2.1881186230070135e-15	2.8227290781408443e-17	True	6.379473243565305e-16	1.2260678794751139e-15	True	1.492094125650711e-15	2.365574214429781e-16	True	2.4532558308989712e-15	9.804276479032684e-17	True	1.5507805563826852e-15	5.3621124420441923e-17	True	4.3015098847476946e-16	2.9527136496104296e-17	True	8.54412350634881e-16	4.5236540578525113e-17	True	4.636637375708071e-16	2.895906732532115e-17	True	2.113279920122153e-15	9.150615222339913e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2016gkg/SN2016gkg_2457660.53280_20160928_NOT_ALFOSC_Gr04_sca.txt	57660.03	3.343922465331131e-15	6.435629200001356e-17	True	9.15088327030268e-16	1.9021386426669087e-17	True	1.9012109593580327e-15	2.3339527555224793e-17	True	2.8440559934597335e-15	3.913667564913633e-17	True	1.4954447915887271e-16	1.4498894531351473e-15	False	1.4091063147426718e-15	4.984666395276019e-16	False	3.1916886878228696e-15	1.1067909381094769e-16	True	1.9360143947837106e-15	6.076034563382385e-17	True	4.135315828682132e-16	2.5003127950829244e-17	True	9.300127143046653e-16	3.9698633276110185e-17	True	4.799544212775352e-16	2.6709909398086518e-17	True	2.648584698312369e-15	9.5126777743727e-17	True
