MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
57260.602799999964	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57260.65279999997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57260.70279999997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57260.75279999997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57260.802799999976	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57260.85279999998	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57260.90279999998	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57260.952799999985	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.00279999999	nan	nan	nan	nan	nan	nan	nan	nan	1.1391303296207113e-15	1.3229875113571606e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.05279999999	nan	nan	nan	nan	nan	nan	nan	nan	1.3260638664486014e-15	1.259926416064428e-17	nan	nan	6.431642931565799e-16	3.857138750178554e-18	1.0165385668438358e-15	4.908531009288318e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.10279999999	nan	nan	nan	nan	nan	nan	nan	nan	1.5126772230493892e-15	1.295753843500843e-17	nan	nan	7.089034657915199e-16	3.7936974934428246e-18	1.1338466868441877e-15	4.874674906450503e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.152799999996	nan	nan	nan	nan	nan	nan	nan	nan	1.6976815490841016e-15	1.4066311664498342e-17	nan	nan	7.742205489709896e-16	3.897720109503145e-18	1.250090031119882e-15	5.1010808675812066e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.2028	nan	nan	nan	nan	nan	nan	nan	nan	1.88015803775136e-15	1.563917493475404e-17	nan	nan	8.388455737996434e-16	4.12999262226334e-18	1.3646877019458719e-15	5.510336025843469e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.2528	nan	nan	nan	nan	nan	nan	nan	nan	2.059420144253141e-15	1.7453234106206563e-17	nan	nan	9.02559922644609e-16	4.448992698196951e-18	1.4772438772875361e-15	6.029318703319177e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.302800000005	nan	nan	nan	nan	nan	nan	nan	nan	2.2349647731891768e-15	1.936601191299376e-17	nan	nan	9.652182222509255e-16	4.819991920889919e-18	1.5874372529676712e-15	6.604692498212451e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.35280000001	nan	nan	nan	nan	nan	nan	nan	nan	2.4063968677873343e-15	2.1294164550300256e-17	nan	nan	1.0266822904705634e-15	5.21837508468869e-18	1.6949972046062707e-15	7.202230707832702e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.40280000001	nan	nan	nan	nan	nan	nan	nan	nan	2.5734696677250983e-15	2.318970480898849e-17	nan	nan	1.0868373798253641e-15	5.62778433640564e-18	1.7997905016301964e-15	7.80010453331624e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.452800000014	nan	nan	nan	nan	nan	nan	nan	nan	2.7359550512590962e-15	2.5027705472056304e-17	nan	nan	1.1456283194007315e-15	6.037118494700493e-18	1.901707057867067e-15	8.385717655954155e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.50280000002	nan	nan	nan	nan	nan	nan	nan	nan	2.8937210903103077e-15	2.679460478321124e-17	nan	nan	1.2030092511770557e-15	6.43950915279569e-18	2.0006368310439283e-15	8.952676566481866e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
